Ungdomar utanför gymnasieskolan;–//RG|NOM//punct//3 ett//DT|NEU|SIN|IND//det//3 förtydligat//PC|PRF|NEU|SIN|IND|NOM//amod//3 ansvar//NN|NEU|SIN|IND|NOM//ROOT//3 för//PP//case//5 stat//NN|UTR|SIN|IND|NOM//nmod//3 och//KN//cc//7 kommun//NN|UTR|SIN|IND|NOM//conj//5
Ungdomar utanför gymnasieskolan;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//2 som//HP|-|-|-//nsubj//7 varken//KN//cc//7 arbetar//VB|PRS|AKT//acl:relcl//2 eller//KN//cc//9 studerar//VB|PRS|AKT//conj//7
Ungdomar utanför gymnasieskolan;Stockholm//PM|NOM//ROOT//0 2013//RG|NOM//nummod//0

Till statsrådet och biträdande utbildningsministern;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 20//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 2012//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//acl//12 och//KN//cc//16 föreslå//VB|INF|AKT//conj//14 hur//HA//advmod//27 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//27 med//PP//case//20 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//18 som//HP|-|-|-//nsubj//23 varken//KN//cc//23 arbetar//VB|PRS|AKT//acl:relcl//18 eller//KN//cc//25 studerar//VB|PRS|AKT//conj//23 kan//VB|PRS|AKT//aux//27 utvecklas//VB|INF|SFO//ccomp//16 .//MAD//punct//4
Till statsrådet och biträdande utbildningsministern;Ann-Marie//PM|NOM//nmod//30 Begler//PM|NOM//appos//4 ,//MID//punct//30 generaldirektör//NN|UTR|SIN|IND|NOM//conj//30 ,//MID//punct//30 Skolinspektionen//NN|UTR|SIN|DEF|NOM//conj//30 ,//MID//punct//30 förordnades//VB|PRT|SFO//conj//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//38 dag//NN|UTR|SIN|IND|NOM//obj//36 som//KN//mark//41 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//41 utredare//NN|UTR|SIN|IND|NOM//obl//36 .//MAD//punct//1
Till statsrådet och biträdande utbildningsministern;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//6 2//RO|NOM//nummod//6 oktober//NN|UTR|SIN|IND|NOM//nmod//8 2010//RG|NOM//nummod//8 Nihad//PM|NOM//obl//2 Bunar//PM|NOM//flat:name//8 ,//MID//punct//11 professor//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//14 Stockholms//PM|GEN//nmod:poss//14 universitet//NN|NEU|SIN|IND|NOM//conj//8 ,//MID//punct//16 Olof//PM|NOM//conj//8 Bäckman//PM|NOM//flat:name//16 ,//MID//punct//16 professor//NN|UTR|SIN|IND|NOM//acl//16 ,//MID//punct//22 Stockholms//PM|GEN//nmod:poss//22 universitet//NN|NEU|SIN|IND|NOM//conj//16 ,//MID//punct//24 Karin//PM|NOM//conj//8 Flyckt//PM|NOM//flat:name//24 ,//MID//punct//27 utredare//NN|UTR|SIN|IND|NOM//conj//24 ,//MID//punct//29 Socialstyrelsen//NN|UTR|SIN|DEF|NOM//conj//24 ,//MID//punct//31 Caroline//PM|NOM//conj//8 Hall//PM|NOM//flat//31 ,//MID//punct//34 fil//NN|AN//conj//8 .//MID//punct//8
Till statsrådet och biträdande utbildningsministern;dr//NN|AN//conj//8 ,//MID//punct//36 Institutet//NN|NEU|SIN|DEF|NOM//conj//8 för//PP//case//40 arbetsmarknads-//NN|UTR|-|-|SMS//nmod//38 och//KN//cc//43 utbildningspolitisk//JJ|POS|UTR|SIN|IND|NOM//amod//43 utvärdering//NN|UTR|SIN|IND|NOM//conj//40 ,//MID//punct//8 Pia//PM|NOM//nmod:poss//52 Lannerheim//PM|NOM//flat:name//45 Hellberg//PM|NOM//flat:name//45 ,//MID//punct//49 planeringssekreterare//NN|UTR|SIN|IND|NOM//conj//45 ,//MID//punct//51 Malmö//PM|NOM//conj//45 stad//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//54 Petra//PM|NOM//conj//8 Jansson//PM|NOM//flat:name//54 ,//MID//punct//54 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//58 projektledare//NN|UTR|SIN|IND|NOM//nmod//59 Unga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//8 in//AB//nmod//8 ,//MID//punct//8 Arbetsförmedlingen//NN|UTR|SIN|DEF|NOM//conj//8 ,//MID//punct//8 Lena//PM|NOM//appos//8 Jutdal//PM|NOM//flat:name//64 ,//MID//punct//67 utredare//NN|UTR|SIN|IND|NOM//conj//64 ,//MID//punct//70 Sveriges//PM|GEN//nmod:poss//70 Kommuner//NN|UTR|PLU|IND|NOM//conj//64 och//KN//cc//72 Landsting//PM|NOM//conj//70 ,//MID//punct//74 Therese//PM|NOM//conj//8 Karlberg//PM|NOM//flat:name//74 ,//MID//punct//77 verksamhetsområdeschef//NN|UTR|SIN|IND|NOM//conj//74 ,//MID//punct//79 Försäkringskassan//NN|UTR|SIN|DEF|NOM//conj//8 ,//MID//punct//81 Maria//PM|NOM//conj//8 Netz//PM|NOM//flat:name//81 ,//MID//punct//84 projektledare//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//86 Communicare//PM|NOM//conj//8 ,//MID//punct//88 Thomas//PM|NOM//conj//8 Rotter//PM|NOM//flat:name//88 ,//MID//punct//91 undervisningsråd//NN|NEU|SIN|IND|NOM//conj//8 ,//MID//punct//93 Skolverket//PM|NOM//conj//8 ,//MID//punct//95 Kristina//PM|NOM//conj//8 Stilmark//PM|NOM//flat//95 ,//MID//punct//98 arbetsledare//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//101 Hudiksvalls//PM|GEN//amod//101 kommun//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//103 Oscar//PM|NOM//conj//8 Svensson//PM|NOM//flat:name//103 ,//MID//punct//106 utredare//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//108 Ungdomsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//8 ,//MID//punct//110 Rodolfo//PM|NOM//conj//8 Vera//PM|NOM//flat//110 ,//MID//punct//113 samordnare//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//115 Västerås//PM|GEN//amod//116 stad//NN|UTR|SIN|IND|NOM//conj//8 och//KN//cc//118 Lena//PM|NOM//conj//8 Östlund//PM|NOM//flat:name//118 ,//MID//punct//121 handläggare//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//123 Folkbildningsrådet//NN|NEU|SIN|DEF|NOM//conj//8 .//MAD//punct//2
Till statsrådet och biträdande utbildningsministern;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//dep//2 den//DT|UTR|SIN|DEF//det//6 2//RO|NOM//nummod//6 oktober//NN|UTR|SIN|IND|NOM//nmod//9 2010//RG|NOM//nummod//8 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//9 Anna//PM|NOM//nmod//39 Castberg//PM|NOM//flat:name//9 ,//MID//punct//12 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//12 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//15 Maria//PM|NOM//conj//9 Götherström//PM|NOM//flat:name//15 ,//MID//punct//15 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//9 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//21 Andreas//PM|NOM//conj//9 Hermansson//PM|NOM//flat:name//21 ,//MID//punct//21 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//9 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//27 Karin//PM|NOM//appos//9 Lundström//PM|NOM//flat:name//27 ,//MID//punct//27 Arbetsmarknadsdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//9 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//33 Elisabet//PM|NOM//conj//9 Modée//PM|NOM//flat:name//9 ,//MID//punct//36 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//9 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//39 Jan//PM|NOM//dep//3 Schierbeck//PM|NOM//flat:name//39 ,//MID//punct//42 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//39 ,//MID//punct//42 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//45 Magnus//PM|NOM//conj//39 Sjöström//PM|NOM//flat:name//45 ,//MID//punct//45 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//39 ,//MID//punct//48 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//51 Karin//PM|NOM//conj//39 Stillerud//PM|NOM//flat:name//51 ,//MID//punct//51 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//51 ,//MID//punct//51 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//57 Kristina//PM|NOM//nmod//69 Söderström//PM|NOM//flat:name//57 ,//MID//punct//57 Arbetsmarknadsdepartementet//NN|NEU|SIN|DEF|NOM//conj//57 ,//MID//punct//62 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//63 Hanna//PM|NOM//conj//57 Ågren//PM|NOM//flat:name//63 ,//MID//punct//63 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//57 och//KN//cc//68 ämnessakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//57 Tyri//PM|NOM//conj//39 Öhman//PM|NOM//flat:name//69 ,//MID//punct//72 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//39 .//MAD//punct//2
Till statsrådet och biträdande utbildningsministern;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 1//RO|NOM//nummod//6 augusti//NN|UTR|SIN|IND|NOM//obl//2 2012//RG|NOM//nummod//8 Gabriel//PM|NOM//nsubj:pass//27 Brandström//PM|NOM//flat:name//8 ,//MID//punct//11 undervisningsråd//NN|NEU|SIN|IND|NOM//conj//8 ,//MID//punct//13 Skolverket//PM|NOM//conj//8 och//KN//cc//15 Eva//PM|NOM//conj//8 Franzén//PM|NOM//flat:name//15 ,//MID//punct//18 departementssekreterare//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//20 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//8 .//MID//punct//8
Till statsrådet och biträdande utbildningsministern;Mikael//PM|NOM//appos//8 Hellstadius//PM|NOM//flat:name//22 ,//MID//punct//25 konsult//NN|UTR|SIN|IND|NOM//conj//22 ,//MID//punct//22 anställdes//VB|PRT|SFO//conj//2 som//KN//case//29 sekreterare//NN|UTR|SIN|IND|NOM//obl//27 på//PP//case//31 deltid//NN|UTR|SIN|IND|NOM//nmod//29 fr.o.m.//AB|AN//case//35 den//DT|UTR|SIN|DEF//det//35 1//RO|NOM//nummod//35 november//NN|UTR|SIN|IND|NOM//obl//27 2012//RG|NOM//nummod//35 .//MAD//punct//38
