Fler nyanlända elever ska uppnå behörighet till gymnasiet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 elever//NN|UTR|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 kommer//VB|PRS|AKT//acl:relcl//4 till//PP//case//8 Sverige//PM|NOM//obl//6 under//PP//case//12 grundskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//12 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 årskurser//NN|UTR|PLU|IND|NOM//obl//6
Till statsrådet och chefen för Utbildningsdepartementet;Den//DT|UTR|SIN|DEF//det//25 18//RG|NOM//nummod//25 april//NN|UTR|SIN|IND|NOM//obl//27 2017//RG|NOM//nummod//25 anställdes//VB|PRT|SFO//parataxis//2 Mikael//PM|NOM//nsubj:pass//27 Hellstadius//PM|NOM//flat:name//28 på//PP//case//31 deltid//NN|UTR|SIN|IND|NOM//obl//27 .//MAD//punct//2
Till statsrådet och chefen för Utbildningsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 här//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//5 Fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//5 nyanlända//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obj//1 elever//NN|UTR|PLU|IND|NOM//nsubj//8 ska//VB|PRS|AKT//aux//8 uppnå//VB|INF|AKT//conj//1 behörighet//NN|UTR|SIN|IND|NOM//obj//8 till//PP//case//11 gymnasiet//NN|NEU|SIN|DEF|NOM//obl//8 (//PAD//punct//13 SOU2017:54//NN|UTR|SIN|IND|NOM//appos//11 )//PAD//punct//13 .//MAD//punct//1
Till statsrådet och chefen för Utbildningsdepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 härmed//AB//advmod//19 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//1
Till statsrådet och chefen för Utbildningsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 maj//NN|UTR|SIN|IND|NOM//obl//0 2017//RG|NOM//nummod//2
Till statsrådet och chefen för Utbildningsdepartementet;Ebba//PM|NOM//ROOT//0 Östlin//PM|NOM//flat:name//0 ///MID//cc//3 Kristina//PM|NOM//conj//0 Cunningham//PM|NOM//flat//3
Till statsrådet och chefen för Utbildningsdepartementet;Mikael//PM|NOM//ROOT//0 Hellstadius//PM|NOM//flat:name//0
Till statsrådet och chefen för Utbildningsdepartementet;Kristina//PM|NOM//nmod//1 Söderberg//PM|NOM//ROOT//1


1.1 Förslag till lag om ändring i skollagen (2010:800);Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//case//5 skollagen//NN|UTR|SIN|DEF|NOM//obl//1 (//PAD//punct//5 2010:800//RG|NOM//appos//5 )//PAD//punct//5 dels//KN//mark//32  //_SP////9 att//SN//mark//32 3//RG|NOM//nummod//13 kap.//NN|AN//nmod//14 1//RG|NOM//nsubj//32 ,//MID//punct//14 12//RG|NOM//nummod//17 b//NN|NEU|SIN|IND|NOM//nmod//14 och//KN//cc//17 12//RG|NOM//nummod//17 d//NN|NEU|SIN|IND|NOM//case//22 §//NN|AN//nmod//22 §//NN|AN//nmod//14 och//KN//cc//22 17//RG|NOM//nummod//22 kap.//NN|AN//nmod//26 10//RG|NOM//nmod//14 och//KN//cc//26 11//RG|NOM//nummod//26 §//NN|AN//nmod//30 §//NN|AN//nmod//14 ska//VB|PRS|AKT//aux//32 ha//VB|INF|AKT//advcl//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 lydelse//NN|UTR|SIN|IND|NOM//obj//32 ,//MID//punct//32 dels//KN//advmod//43  //_SP////36 att//SN//mark//43 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//43 i//PP//case//41 lagen//NN|UTR|SIN|DEF|NOM//obl//43 ska//VB|PRS|AKT//aux//43 införas//VB|INF|SFO//conj//32 sex//RG|NOM//nummod//46 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 paragrafer//NN|UTR|PLU|IND|NOM//nsubj:pass//43 ,//MID//punct//46 3//RG|NOM//nummod//49 kap.//NN|AN//nmod//51 12//RG|NOM//nummod//51 g//NN|AN//nmod//46 –//NN|AN//punct//51 12//RG|NOM//nummod//51 i//PP//case//56 §//NN|AN//nmod//56 §//NN|AN//nmod//53 ,//MID//punct//51 10//RG|NOM//nummod//59 kap.//NN|AN//nmod//60 19//RG|NOM//nmod//51 a//NN|NEU|SIN|IND|NOM//case//62 §//NN|AN//obl//43 ,//MID//punct//62 12//RG|NOM//nummod//65 kap.//NN|AN//nmod//66 19//RG|NOM//nmod//62 a//NN|NEU|SIN|IND|NOM//case//68 §//NN|AN//nmod//62 och//KN//cc//68 13//RG|NOM//nummod//71 kap.//NN|AN//nmod//72 20//RG|NOM//nummod//68 a//NN|NEU|SIN|IND|NOM//case//74 §//NN|AN//obl//43 ,//MID//punct//32 och//KN//cc//82 närmast//AB|SUV//advmod//82 före//PP//advmod//81 3//RG|NOM//nummod//80 kap.//NN|AN//nmod//81 12//RG|NOM//nummod//82 g–12//NN|UTR|PLU|IND|NOM//conj//32 i//PP//case//87 §//NN|AN//nmod//85 §//NN|AN//nmod:poss//87 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//87 rubriker//NN|UTR|PLU|IND|NOM//nmod//82 av//PP//case//90 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 lydelse//NN|UTR|SIN|IND|NOM//nmod//87 .//MAD//punct//1
