Kemikommittén föreslår följande viktiga hörnstenar i kemikaliepolitiken: Försiktighetsprincipen;Försik//NN|UTR|SIN|IND|NOM//nmod:poss//1 tighetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 ska//VB|PRS|AKT//aux//3 användas//VB|INF|SFO//ROOT//3
Det internationella arbetet;I//PP//case//2 kapitel//NN|NEU|SIN|IND|NOM//nmod//2 2//RG|NOM//obl//5 har//VB|PRS|AKT//aux//5 vi//PN|UTR|PLU|DEF|SUB//nsubj//5 föreslagit//VB|SUP|AKT//ROOT//5 mål//NN|NEU|SIN|IND|NOM//obj//5 för//PP//case//10 den//DT|UTR|SIN|DEF//det//10 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 kemikaliepolitiken//NN|UTR|SIN|DEF|NOM//obl//5 .//MAD//punct//5
Det internationella arbetet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//13 redovisar//VB|PRS|AKT//parataxis//5 i//PP//case//16 detta//DT|NEU|SIN|DEF//det//16 kapitel//NN|NEU|SIN|IND|NOM//obl//13 några//DT|UTR/NEU|PLU|IND//det//19 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 hörnstenar//NN|UTR|PLU|IND|NOM//nmod//16 för//PP//case//21 kemikaliepolitiken//NN|UTR|SIN|DEF|NOM//nmod//19 .//MAD//punct//13
Det internationella arbetet;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//24 utgör//VB|PRS|AKT//conj//13 tillsammans//AB//advmod//24 med//PP//case//27 målen//NN|NEU|PLU|DEF|NOM//obl//24 grunden//NN|UTR|SIN|DEF|NOM//obj//24 för//PP//case//32 den//DT|UTR|SIN|DEF//det//32 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 kemikaliepolitiken//NN|UTR|SIN|DEF|NOM//nmod//28 och//KN//cc//36 för//PP//case//36 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//36 förslag//NN|NEU|PLU|IND|NOM//conj//32 till//PP//case//38 åtgärder//NN|UTR|PLU|IND|NOM//nmod//36 på//PP//case//41 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//41 nivå//NN|UTR|SIN|IND|NOM//nmod//38 ,//MID//punct//24 inom//PP//case//44 EU//PM|NOM//obl//24 och//KN//cc//46 internationellt//AB|POS//conj//44 .//MAD//punct//13

Försiktighetsprincipen;4.1//RG|NOM//nmod//1 Försiktighetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 ska//VB|PRS|AKT//aux//3 användas//VB|INF|SFO//ROOT//3
Försiktighetsprincipen;Med//PP//case//1 försiktighetsprincipen//NN|UTR|SIN|DEF|NOM//obl//2 avser//VB|PRS|AKT//ROOT//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//2 ett//DT|NEU|SIN|IND//det//5 synsätt//NN|NEU|SIN|IND|NOM//obj//2 och//KN//cc//8 en//DT|UTR|SIN|IND//det//8 strategi//NN|UTR|SIN|IND|NOM//conj//5 som//HP|-|-|-//nsubj//10 innebär//VB|PRS|AKT//acl:relcl//8 att//SN//mark//16 man//PN|UTR|SIN|IND|SUB//nsubj//16 i//PP//advmod//16 förväg//NN|UTR|SIN|IND|NOM//fixed//13 ska//VB|PRS|AKT//aux//16 vidta//VB|INF|AKT//ccomp//10 de//DT|UTR/NEU|PLU|DEF//det//18 åtgärder//NN|UTR|PLU|IND|NOM//obj//16 som//HP|-|-|-//nsubj:pass//20 behövs//VB|PRS|SFO//acl:relcl//18 för//PP//mark//23 att//IE//mark//23 undvika//VB|INF|AKT//advcl//20 skada//NN|UTR|SIN|IND|NOM//obj//23 på//PP//case//26 människor//NN|UTR|PLU|IND|NOM//nmod//24 eller//KN//cc//28 miljön//NN|UTR|SIN|DEF|NOM//conj//26 i//PP//mark//33 stället//NN|NEU|SIN|DEF|NOM//fixed//29 för//PP//fixed//29 att//IE//mark//33 åtgärda//VB|INF|AKT//advcl//23 först//AB//advmod//33 när//HA//mark//38 en//DT|UTR|SIN|IND//det//37 skada//NN|UTR|SIN|IND|NOM//nsubj:pass//38 inträffat//VB|SUP|AKT//advcl//33 .//MAD//punct//2
Försiktighetsprincipen;Enligt//PP//case//42 vår//PS|UTR|SIN|DEF//nmod:poss//42 uppfattning//NN|UTR|SIN|IND|NOM//obl//43 omfattar//VB|PRS|AKT//parataxis//2 detta//PN|NEU|SIN|DEF|SUB/OBJ//iobj//43 de//DT|UTR/NEU|PLU|DEF//det//47 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 försiktighetsmått//NN|NEU|PLU|IND|NOM//obj//43 man//PN|UTR|SIN|IND|SUB//nsubj:pass//49 förväntas//VB|PRS|SFO//acl:relcl//47 iaktta//VB|INF|AKT//xcomp//49 i//PP//case//52 miljösammanhang//NN|NEU|SIN|IND|NOM//obl//50 och//KN//cc//56 som//HP|-|-|-//nsubj:pass//56 kan//VB|PRS|AKT//aux//56 sägas//VB|INF|SFO//conj//43 vara//VB|INF|AKT//cop//60 miljöbalkens//NN|UTR|SIN|DEF|GEN//nmod:poss//60 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 hänsynsregel//NN|UTR|SIN|IND|NOM//xcomp//56 (//PAD//punct//60 2//RG|NOM//nummod//63 kap//NN|AN//appos//60 ,//MID//punct//63 3//RG|NOM//nummod//66 §//NN|AN//appos//63 i//PP//case//68 miljöbalksförslaget//NN|NEU|SIN|DEF|NOM//nmod//66 )//PAD//punct//63 .//MAD//punct//60
Försiktighetsprincipen;Som//KN//case//73 en//DT|UTR|SIN|IND//det//73 del//NN|UTR|SIN|IND|NOM//obl//76 av//PP//case//75 försiktighetsprincipen//NN|UTR|SIN|DEF|NOM//nmod//73 ingår//VB|PRS|AKT//conj//2 att//SN//mark//80 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//80 ska//VB|PRS|AKT//aux//80 vidtas//VB|INF|SFO//ccomp//76 redan//AB//advmod//80 vid//PP//case//85 en//DT|UTR|SIN|IND//det//85 skälig//JJ|POS|UTR|SIN|IND|NOM//amod//85 misstanke//NN|UTR|SIN|IND|NOM//obl//80 om//PP//mark//92 att//IE//mark//88 skada//VB|INF|AKT//nsubj//92 eller//KN//cc//90 olägenhet//NN|UTR|SIN|IND|NOM//conj//88 kan//VB|PRS|AKT//aux//92 uppkomma//VB|INF|AKT//acl//85 .//MAD//punct//2
Försiktighetsprincipen;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//1 innebär//VB|PRS|AKT//ROOT//1 också//AB//advmod//1 att//SN//mark//7 omvänd//PC|PRF|UTR|SIN|IND|NOM//amod//5 bevisbörda//NN|UTR|SIN|IND|NOM//fixed//3 ska//VB|PRS|AKT//aux//7 tillämpas//VB|INF|SFO//ccomp//1 vid//PP//case//9 misstanke//NN|UTR|SIN|IND|NOM//obl//7 om//PP//case//11 miljöproblem//NN|NEU|PLU|IND|NOM//nmod//9 .//MAD//punct//1
Försiktighetsprincipen;Försiktighetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj//5 i//PP//case//4 denna//DT|UTR|SIN|DEF//det//4 breda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 mening//NN|UTR|SIN|IND|NOM//nmod//0 motsvarar//VB|PRS|AKT//ROOT//5 också//AB//advmod//5 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//8 aktsamhet//NN|UTR|SIN|IND|NOM//obj//5 och//KN//cc//10 kravet//NN|NEU|SIN|DEF|NOM//conj//8 på//PP//case//12 försiktighetsmått//NN|NEU|SIN|IND|NOM//nmod//10 i//PP//case//16 5//RG|NOM//nummod//15 §//NN|AN//nmod//16 lagen//NN|UTR|SIN|DEF|NOM//nmod//12 (//PAD//punct//18 1985:426//RG|NOM//appos//16 )//PAD//punct//18 om//PP//case//22 kemiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 produkter//NN|UTR|PLU|IND|NOM//nmod//16 ,//MID//punct//5 (//PAD//punct//25 LKP//PM|NOM//appos//5 )//PAD//punct//25 (//PAD//punct//28 se//VB|IMP|AKT//parataxis//5 avsnitt//NN|NEU|SIN|IND|NOM//nmod//30 5.9//RG|NOM//obj//28 )//PAD//punct//28 .//MAD//punct//35
