Försenad årsredovisning och bokföringsbrott, m.m.;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 redovisning//NN|UTR|SIN|IND|NOM//nmod//2
Försenad årsredovisning och bokföringsbrott, m.m.;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 14//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//1 2007//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//acl//12 över//PL//case//17 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 redovisningsfrågor//NN|UTR|PLU|IND|NOM//obl//14 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//21 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//21 utredare//NN|UTR|SIN|IND|NOM//obl//22 förordnades//VB|PRT|SFO//parataxis//1 regeringsrådet//NN|NEU|SIN|DEF|NOM//nmod//24 Margit//PM|NOM//nsubj:pass//22 Knutsson//PM|NOM//flat//24 .//MAD//punct//22
Till statsrådet och chefen för Justitiedepartementet;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 medverkande//NN|UTR|PLU|IND|NOM//nsubj:pass//32 i//PP//case//31 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 arbete//NN|NEU|SIN|IND|NOM//nmod//28 anges//VB|PRS|SFO//parataxis//22 på//PP//case//35 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 sida//NN|UTR|SIN|IND|NOM//obl//32 .//MAD//punct//22
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//7 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 redovisning//NN|UTR|SIN|IND|NOM//nmod//4 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 slutbetänkandet//NN|NEU|SIN|DEF|NOM//obj//3 Försenad//PC|PRF|UTR|SIN|IND|NOM//amod//6 årsredovisning//NN|UTR|SIN|IND|NOM//obj//3 och//KN//cc//8 bokföringsbrott//NN|NEU|PLU|IND|NOM//conj//6 ,//MID//punct//10 m.m.//AB|AN//conj//6  //_SP////10 (//PAD//punct//13 SOU//PM|NOM//appos//6 2009:46//RG|NOM//conj//6 )//PAD//punct//3 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2009//RG|NOM//nummod//2
Till statsrådet och chefen för Justitiedepartementet;Margit//PM|NOM//ROOT//0 Knutsson//PM|NOM//flat:name//0 /Johan//RG|NOM//nmod//3 Krantz//PM|NOM//nmod//0

Förteckning över vilka som har deltagit i utredningens arbete;Särskild//PC|PRF|UTR|SIN|IND|NOM//amod//1 utredare//NN|UTR|SIN|IND|NOM//ROOT//1
Förteckning över vilka som har deltagit i utredningens arbete;Regeringsrådet//NN|NEU|SIN|DEF|NOM//nmod//1 Margit//PM|NOM//ROOT//1 Knutsson//PM|NOM//flat:name//1 ,//MID//punct//1 fr.o.m.//AB|AN//case//7 den//DT|UTR|SIN|DEF//det//7 14//RG|NOM//nummod//7 juni//NN|UTR|SIN|IND|NOM//advcl//1 2007//RG|NOM//nummod//7
