
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;Reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//6 om//PP//case//2 stridsåtgärder//NN|UTR|PLU|IND|NOM//nmod//0 enligt//PP//case//4 lex//NN|UTR|SIN|IND|NOM//nmod//2 Laval//PM|NOM//flat//4 ersätts//VB|PRS|SFO//ROOT//6 av//PP//case//10 en//DT|UTR|SIN|IND//det//10 ny//JJ|POS|UTR|SIN|IND|NOM//amod//10 regel//NN|UTR|SIN|IND|NOM//obl//6 ,//MID//punct//13 som//HP|-|-|-//nsubj//13 gäller//VB|PRS|AKT//advcl//6 när//HA//mark//19 en//DT|UTR|SIN|IND//det//17 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//17 arbetstagarorganisation//NN|UTR|SIN|IND|NOM//nsubj//19 vill//VB|PRS|AKT//aux//19 vidta//VB|INF|AKT//advcl//13 en//DT|UTR|SIN|IND//det//21 stridsåtgärd//NN|UTR|SIN|IND|NOM//obj//19 mot//PP//case//24 en//DT|UTR|SIN|IND//det//24 arbetsgivare//NN|UTR|SIN|IND|NOM//nmod//21 i//PP//case//26 syfte//NN|NEU|SIN|IND|NOM//nmod//24 att//IE//mark//30 genom//PP//case//29 kollektivavtal//NN|NEU|SIN|IND|NOM//obl//30 få//VB|INF|AKT//acl//24 till//PP//compound:prt//30 stånd//NN|NEU|SIN|IND|NOM//fixed//31 en//DT|UTR|SIN|IND//det//34 reglering//NN|UTR|SIN|IND|NOM//obj//30 av//PP//case//36 villkoren//NN|NEU|PLU|DEF|NOM//nmod//34 för//PP//case//39 utstationerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 arbetstagare//NN|UTR|PLU|IND|NOM//nmod//36 .//MAD//punct//6
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;En//DT|UTR|SIN|IND//det//43 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//43 stridsåtgärd//NN|UTR|SIN|IND|NOM//nsubj:pass//45 får//VB|PRS|AKT//aux//45 vidtas//VB|INF|SFO//parataxis//6 bara//AB//advmod//45 om//PP//case//49 de//DT|UTR/NEU|PLU|DEF//det//49 villkor//NN|NEU|PLU|IND|NOM//obl//45 som//HP|-|-|-//nsubj:pass//51 krävs//VB|PRS|SFO//acl:relcl//49 motsvaras//VB|PRS|SFO//xcomp//51 av//PP//case//54 minimivillkoren//NN|UTR|SIN|DEF|NOM//obl:agent//52 ,//MID//punct//57 inklusive//PP//case//57 minimilön//NN|UTR|SIN|IND|NOM//conj//54 ,//MID//punct//57 eller//KN//cc//62 ,//MID//punct//62 vid//PP//case//62 uthyrning//NN|UTR|SIN|IND|NOM//conj//54 ,//MID//punct//64 villkoren//NN|NEU|PLU|DEF|NOM//conj//62 ,//MID//punct//67 inklusive//PP//case//67 lön//NN|UTR|SIN|IND|NOM//conj//62 ,//MID//punct//71 i//PP//case//71 tillämpligt//JJ|POS|NEU|SIN|IND|NOM//amod//71 branschavtal//NN|NEU|SIN|IND|NOM//conj//54 och//KN//cc//73 faller//VB|PRS|AKT//conj//52 inom//PP//case//78 den//DT|UTR|SIN|DEF//det//78 s.k.//AB|AN//amod//78 hårda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//78 kärnan//NN|UTR|SIN|DEF|NOM//obl//73 enligt//PP//case//80 utstationeringsdirektivet//NN|NEU|SIN|DEF|NOM//obl//73 .//MID//punct//6
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;Stridsåtgärden//NN|UTR|SIN|DEF|NOM//nsubj//84 är//VB|PRS|AKT//cop//84 tillåten//JJ|POS|UTR|SIN|IND|NOM//parataxis//6 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//mark//92 av//PP//fixed//85 om//SN//case//90 de//DT|UTR/NEU|PLU|DEF//det//90 utstationerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//90 arbetstagarna//NN|UTR|PLU|DEF|NOM//nsubj//92 redan//AB//advmod//92 har//VB|PRS|AKT//advcl//84 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//94 villkor//NN|NEU|PLU|IND|NOM//obj//92 ,//MID//punct//102 och//KN//cc//102 de//DT|UTR/NEU|PLU|DEF//det//99 krävda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//99 villkoren//NN|NEU|PLU|DEF|NOM//nsubj//102 får//VB|PRS|AKT//aux//102 inte//AB//advmod//102 hindra//VB|INF|AKT//conj//84 tillämpningen//NN|UTR|SIN|DEF|NOM//obj//102 av//PP//case//105 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//nmod//103 för//PP//case//107 arbetstagarna//NN|UTR|PLU|DEF|NOM//nmod//109 förmånligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//109 villkor//NN|NEU|PLU|IND|NOM//obl//102 .//MAD//punct//111
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;Finns//VB|PRS|SFO//parataxis//84 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//111 i//PP//case//116 den//DT|UTR|SIN|DEF//det//116 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//116 branschen//NN|UTR|SIN|DEF|NOM//obl//111 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//120 tillämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//120 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//120 kollektivavtal//NN|NEU|PLU|IND|NOM//obl//111 ,//MID//punct//111 avses//VB|PRS|SFO//conj//84 villkoren//NN|NEU|PLU|DEF|NOM//nsubj:pass//122 i//PP//case//126 det//DT|NEU|SIN|DEF//det//126 kollektivavtal//NN|NEU|SIN|IND|NOM//obl//122 som//HP|-|-|-//nsubj//128 har//VB|PRS|AKT//acl:relcl//126 de//PN|UTR/NEU|PLU|DEF|SUB//obj//128 för//PP//case//131 arbetsgivarsidan//NN|UTR|SIN|DEF|NOM//obl//128 mest//AB|SUV//advmod//133 förmånliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//134 villkoren//NN|NEU|PLU|DEF|NOM//obj//128 .//MAD//punct//84
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;En//DT|UTR|SIN|IND//det//137 stridsåtgärd//NN|UTR|SIN|IND|NOM//nsubj//145 som//HP|-|-|-//nsubj:pass//139 vidtas//VB|PRS|SFO//acl:relcl//137 i//PP//case//143 strid//NN|UTR|SIN|IND|NOM//fixed//140 mot//PP//fixed//140 bestämmelsen//NN|UTR|SIN|DEF|NOM//obl//139 är//VB|PRS|AKT//cop//145 olovlig//JJ|POS|UTR|SIN|IND|NOM//parataxis//84 enligt//PP//case//147 lagen//NN|UTR|SIN|DEF|NOM//obl//145 (//PAD//punct//149 1976:580//RG|NOM//appos//147 )//PAD//punct//149 om//PP//case//152 medbestämmande//NN|NEU|SIN|IND|NOM//advcl//145 i//PP//case//154 arbetslivet//NN|NEU|SIN|DEF|NOM//obl//152 .//MID//punct//84
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;Detta//DT|NEU|SIN|DEF//det//157 förbud//NN|NEU|SIN|IND|NOM//nsubj//165 mot//PP//case//159 stridsåtgärder//NN|UTR|PLU|IND|NOM//nmod//157 vid//PP//case//161 utstationering//NN|UTR|SIN|IND|NOM//nmod//159 ska//VB|PRS|AKT//aux//165 dock//AB//advmod//165 bara//AB//advmod//165 gälla//VB|INF|AKT//parataxis//84 när//HA//mark//171 den//DT|UTR|SIN|DEF//det//169 utstationerande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//169 arbetsgivaren//NN|UTR|SIN|DEF|NOM//nsubj//171 är//VB|PRS|AKT//cop//171 etablerad//PC|PRF|UTR|SIN|IND|NOM//advcl//165 inom//PP//case//173 EES//PM|NOM//obl//171 eller//KN//cc//175 Schweiz//PM|NOM//conj//173 ,//MID//punct//165 dvs.//AB|AN//advmod//178 inte//AB//advmod//181 vid//PP//case//181 s.k.//AB|AN//amod//181 tredjelandsutstationering//NN|UTR|SIN|IND|NOM//obl//165 .//MAD//punct//84
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;Kollektivavtal//NN|NEU|SIN|IND|NOM//nsubj//10 som//HP|-|-|-//nsubj//2 reglerar//VB|PRS|AKT//acl:relcl//0 villkoren//NN|NEU|PLU|DEF|NOM//obj//2 för//PP//case//6 utstationerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 arbetstagare//NN|UTR|PLU|IND|NOM//nmod//3 –//RG|NOM//punct//8 utstationeringskollektivavtal//NN|NEU|PLU|IND|NOM//obl//2 –//RG|NOM//punct//0 får//VB|PRS|AKT//ROOT//10 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 rättsverkningar//NN|UTR|PLU|IND|NOM//obj//10 i//PP//case//17 förhållande//NN|NEU|SIN|IND|NOM//fixed//13 till//PP//fixed//13 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 kollektivavtal//NN|NEU|PLU|IND|NOM//obl//10 .//MAD//punct//10
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;Bestämmelserna//NN|UTR|PLU|DEF|NOM//obj//10 om//PP//mark//25 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//25 ska//VB|PRS|AKT//aux//25 dock//AB//advmod//25 bara//AB//advmod//25 tillämpas//VB|INF|SFO//acl:relcl//19 på//PP//case//27 kollektivavtal//NN|NEU|SIN|IND|NOM//obl//25 som//HP|-|-|-//nsubj:pass//30 har//VB|PRS|AKT//aux//30 slutits//VB|SUP|SFO//acl:relcl//27 efter//PP//case//32 ikraftträdandet//NN|NEU|SIN|DEF|NOM//obl//30 .//MAD//punct//10
Stridsåtgärder är alltid tillåtna för att uppnå ett s.k. utstationeringskollektivavtal med minimivillkor enligt tillämpligt svenskt branschavtal;Har//VB|PRS|AKT//aux//3 ett//DT|NEU|SIN|IND//det//2 utstationeringskollektivavtal//NN|NEU|SIN|IND|NOM//nsubj:pass//3 slutits//VB|SUP|SFO//ROOT//3 efter//PP//case//5 stridsåtgärder//NN|UTR|PLU|IND|NOM//obl//3 eller//KN//cc//7 varsel//NN|NEU|PLU|IND|NOM//conj//5 om//PP//case//10 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//10 åtgärder//NN|UTR|PLU|IND|NOM//nmod//7 ,//MID//punct//12 innebär//VB|PRS|AKT//conj//3 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//12 inte//AB//advmod//12 skyldigheter//NN|UTR|PLU|IND|NOM//obj//12 för//PP//case//17 arbetsgivaren//NN|UTR|SIN|DEF|NOM//nmod//15 i//PP//case//22 förhållande//NN|NEU|SIN|IND|NOM//fixed//18 till//PP//fixed//18 en//DT|UTR|SIN|IND//det//22 arbetstagarorganisation//NN|UTR|SIN|IND|NOM//obl//12 ,//MID//punct//25 dennes//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//25 förtroendemän//NN|UTR|PLU|IND|NOM//conj//22 eller//KN//cc//28 det//DT|NEU|SIN|DEF//det//28 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//22 enligt//PP//case//31 annan//JJ|POS|UTR|SIN|IND|NOM//amod//31 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//28 än//KN//mark//33 utstationeringslagen//NN|UTR|SIN|DEF|NOM//nmod//31 .//MID//punct//3
