6 Delning av investeringsfond;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//8 ://MID//punct//1
6 Delning av investeringsfond;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 kan//VB|PRS|AKT//aux//5 i//PP//case//4 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 situationer//NN|UTR|PLU|IND|NOM//obl//5 uppstå//VB|INF|AKT//ROOT//5 ett//DT|NEU|SIN|IND//det//7 behov//NN|NEU|SIN|IND|NOM//obj//5 av//PP//mark//10 att//IE//mark//10 dela//VB|INF|AKT//acl//7 upp//PL//compound:prt//10 en//DT|UTR|SIN|IND//det//14 stor//JJ|POS|UTR|SIN|IND|NOM//amod//14 fond//NN|UTR|SIN|IND|NOM//obj//10 i//PP//case//20 två//RG|NOM//nummod//20 eller//KN//cc//18 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//16 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 fonder//NN|UTR|PLU|IND|NOM//obl//10 .//MAD//punct//5
6 Delning av investeringsfond;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 kan//VB|PRS|AKT//aux//25 t.ex.//AB|AN//advmod//25 vara//VB|INF|AKT//conj//5 så//AB//advmod//25 att//SN//fixed//26 en//DT|UTR|SIN|IND//det//29 fond//NN|UTR|SIN|IND|NOM//nsubj//31 har//VB|PRS|AKT//aux//31 vuxit//VB|SUP|AKT//ccomp//25 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//31 så//AB//advmod//34 stor//JJ|POS|UTR|SIN|IND|NOM//xcomp//31 att//SN//mark//39 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//39 inte//AB//advmod//39 kan//VB|PRS|AKT//aux//39 agera//VB|INF|AKT//acl//34 på//PP//case//41 värdepappersmarknaden//NN|UTR|SIN|DEF|NOM//obl//39 utan//PP//mark//45 att//SN//mark//45 fonden//NN|UTR|SIN|DEF|NOM//nsubj//45 påverkar//VB|PRS|AKT//advcl//39 kursrörelserna//NN|UTR|PLU|DEF|NOM//obj//45 .//MAD//punct//25
6 Delning av investeringsfond;Enligt//PP//case//2 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 bestämmelser//NN|UTR|PLU|IND|NOM//obl//3 får//VB|PRS|AKT//ROOT//3 ett//DT|NEU|SIN|IND//det//5 fondbolag//NN|NEU|SIN|IND|NOM//obj//3 ,//MID//punct//3 efter//PP//case//8 tillstånd//NN|NEU|SIN|IND|NOM//obl//3 från//PP//case//10 Finansinspektionen//NN|UTR|SIN|DEF|NOM//nmod//8 ,//MID//punct//12 dela//VB|INF|AKT//conj//3 en//DT|UTR|SIN|IND//det//14 fond//NN|UTR|SIN|IND|NOM//obj//12 .//MAD//punct//3
6 Delning av investeringsfond;För//PP//mark//24 att//SN//fixed//16 ett//DT|NEU|SIN|IND//det//19 tillstånd//NN|NEU|SIN|IND|NOM//nsubj:pass//24 till//PP//case//21 delning//NN|UTR|SIN|IND|NOM//nmod//19 ska//VB|PRS|AKT//aux//24 kunna//VB|INF|AKT//aux//24 lämnas//VB|INF|SFO//advcl//3 krävs//VB|PRS|SFO//mark//29 att//SN//mark//29 delningen//NN|UTR|SIN|DEF|NOM//nsubj//29 är//VB|PRS|AKT//cop//29 förenlig//JJ|POS|UTR|SIN|IND|NOM//ccomp//24 med//PP//case//32 andelsägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//32 intressen//NN|NEU|PLU|IND|NOM//obl//29 .//MAD//punct//3
6 Delning av investeringsfond;Så//AB//advmod//37 är//VB|PRS|AKT//cop//37 inte//AB//advmod//37 fallet//NN|NEU|SIN|DEF|NOM//parataxis//3 om//PP//mark//45 t.ex.//AB|AN//advmod//40 förvaltningskostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//45 efter//PP//case//43 en//DT|UTR|SIN|IND//det//43 delning//NN|UTR|SIN|IND|NOM//nmod//40 skulle//VB|PRT|AKT//aux//45 bli//VB|INF|AKT//acl//37 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//45 för//PP//case//48 andelsägarna//NN|UTR|PLU|DEF|NOM//obl//45 .//MAD//punct//37
6 Delning av investeringsfond;Rådande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 uppfattning//NN|UTR|SIN|IND|NOM//nsubj//52 är//VB|PRS|AKT//conj//3 också//AB//advmod//52 att//SN//mark//65 de//DT|UTR/NEU|PLU|DEF//det//56 fonder//NN|UTR|PLU|IND|NOM//nsubj//65 som//HP|-|-|-//nsubj//58 uppkommer//VB|PRS|AKT//acl:relcl//56 efter//PP//case//61 en//DT|UTR|SIN|IND//det//61 delning//NN|UTR|SIN|IND|NOM//obl//58 i//PP//case//63 princip//NN|UTR|SIN|IND|NOM//nmod//61 bör//VB|PRS|AKT//aux//65 ha//VB|INF|AKT//ccomp//52 samma//DT|UTR/NEU|SIN/PLU|IND//det//67 sammansättning//NN|UTR|SIN|IND|NOM//obj//65 på//PP//case//69 tillgångarna//NN|UTR|PLU|DEF|NOM//nmod//67 och//KN//cc//74 vara//VB|INF|AKT//cop//74 ungefär//AB//advmod//73 lika//AB//advmod//74 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//65 .//MAD//punct//52
6 Delning av investeringsfond;Utgångspunkten//NN|UTR|SIN|DEF|NOM//ROOT//0 i//PP//advmod//0 dag//NN|UTR|SIN|IND|NOM//fixed//1 är//VB|PRS|AKT//cop//0 ,//MID//punct//7 som//KN//case//7 vid//PP//case//7 sammanläggning//NN|UTR|SIN|IND|NOM//nmod//0 av//PP//case//9 fonder//NN|UTR|PLU|IND|NOM//nmod//7 och//KN//cc//11 ändring//NN|UTR|SIN|IND|NOM//conj//9 av//PP//case//13 fondbestämmelser//NN|UTR|PLU|IND|NOM//nmod//11 ,//MID//punct//7 att//SN//mark//21 de//DT|UTR/NEU|PLU|DEF//det//18 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 fonderna//NN|UTR|PLU|DEF|NOM//nsubj//21 inte//AB//advmod//21 får//VB|PRS|AKT//aux//21 ha//VB|INF|AKT//acl//7 annan//JJ|POS|UTR|SIN|IND|NOM//amod//23 karaktär//NN|UTR|SIN|IND|NOM//obj//21 än//KN//mark//27 den//DT|UTR|SIN|DEF//det//27 gamla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 fonden//NN|UTR|SIN|DEF|NOM//acl//23 .//MAD//punct//0
6 Delning av investeringsfond;Grunden//NN|UTR|SIN|DEF|NOM//nmod//0 för//PP//case//31 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//29 är//VB|PRS|AKT//cop//29 att//SN//mark//35 andelsägarna//NN|UTR|PLU|DEF|NOM//nsubj//35 gått//VB|SUP|AKT//acl//0 in//PL//compound:prt//35 i//PP//case//40 den//DT|UTR|SIN|DEF//det//40 gamla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 fonden//NN|UTR|SIN|DEF|NOM//obl//35 med//PP//case//42 vetskap//NN|UTR|SIN|IND|NOM//nmod//40 om//PP//mark//47 vilka//HD|UTR/NEU|PLU|IND//det//45 villkor//NN|NEU|PLU|IND|NOM//dislocated//47 som//HP|-|-|-//nsubj//47 gällde//VB|PRT|AKT//advcl//35 för//PP//case//51 just//AB//advmod//51 den//DT|UTR|SIN|DEF//det//51 fonden//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//0
6 Delning av investeringsfond;Av//PP//case//5 8//RG|NOM//nummod//2 kap.//NN|AN//nmod//5 1//RG|NOM//nummod//4 §//NN|AN//nmod//5 LIF//PM|NOM//obl//6 framgår//VB|PRS|AKT//ROOT//6 att//SN//mark//20 ett//DT|NEU|SIN|IND//det//9 fondbolag//NN|NEU|SIN|IND|NOM//nsubj//20 som//HP|-|-|-//nsubj//12 har//VB|PRS|AKT//aux//12 fått//VB|SUP|AKT//acl:relcl//9 tillstånd//NN|NEU|SIN|IND|NOM//obj//12 till//PP//case//15 delning//NN|UTR|SIN|IND|NOM//obl//12 av//PP//case//17 fond//NN|UTR|SIN|IND|NOM//nmod//15 genast//AB//advmod//20 ska//VB|PRS|AKT//aux//20 underrätta//VB|INF|AKT//ccomp//6 andelsägarna//NN|UTR|PLU|DEF|NOM//obj//20 om//PP//case//25 den//DT|UTR|SIN|DEF//det//25 planerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//25 åtgärden//NN|UTR|SIN|DEF|NOM//obl//20 och//KN//cc//28 inspektionens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 beslut//NN|NEU|SIN|IND|NOM//conj//25 .//MAD//punct//6
6 Delning av investeringsfond;Denna//DT|UTR|SIN|DEF//det//31 information//NN|UTR|SIN|IND|NOM//nsubj//34 ska//VB|PRS|AKT//aux//34 också//AB//advmod//34 finnas//VB|INF|SFO//parataxis//6 att//IE//mark//36 tillgå//VB|INF|AKT//advcl//34 hos//PP//case//38 fondbolaget//NN|NEU|SIN|DEF|NOM//obl//36 och//KN//cc//40 förvaringsinstitutet//NN|NEU|SIN|DEF|NOM//conj//38 .//MAD//punct//6
