
Bilaga 1 / Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 21//RG|NOM//nummod//5 februari//NN|UTR|SIN|IND|NOM//obl//0 2008//RG|NOM//nummod//5 .//MAD//punct//0
Bilaga 1 / Samråd m.m.;Skyddslagsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 (//PAD//punct//0 Fö//PM|NOM//nmod//3 2007:01//RG|NOM//appos//0 )//PAD//punct//0 har//VB|PRS|AKT//ROOT//5 i//PP//advmod//5 uppdrag//NN|NEU|SIN|IND|NOM//fixed//6 att//IE//mark//9 göra//VB|INF|AKT//advcl//5 en//DT|UTR|SIN|IND//det//11 översyn//NN|UTR|SIN|IND|NOM//obj//9 av//PP//case//13 lagen//NN|UTR|SIN|DEF|NOM//nmod//11 (//PAD//punct//15 1990:217//RG|NOM//conj//13 )//PAD//punct//15 om//PP//case//18 skydd//NN|NEU|SIN|IND|NOM//obl//9 för//PP//case//21 samhällsviktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 anläggningar//NN|UTR|PLU|IND|NOM//nmod//18 m.m.//AB|AN//nmod//18
Bilaga 1 / Samråd m.m.;I//PP//case//24 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//18 ingår//VB|PRS|AKT//conj//5 bl.a.//AB|AN//advmod//25 att//IE//mark//28 överväga//VB|INF|AKT//xcomp//25 om//SN//mark//32 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//32 är//VB|PRS|AKT//cop//32 påkallat//PC|PRF|NEU|SIN|IND|NOM//advcl//25 och//KN//cc//34 lämpligt//JJ|POS|NEU|SIN|IND|NOM//conj//32 att//IE//mark//36 införa//VB|INF|AKT//acl//34 en//DT|UTR|SIN|IND//det//38 möjlighet//NN|UTR|SIN|IND|NOM//obj//36 att//IE//mark//40 förklara//VB|INF|AKT//acl//38 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 fordon//NN|NEU|PLU|IND|NOM//obj//40 –//PAD//punct//5 t.ex.//AB|AN//advmod//45 fordon//NN|NEU|PLU|IND|NOM//appos//5 som//HP|-|-|-//nsubj:pass//47 används//VB|PRS|SFO//acl:relcl//45 vid//PP//case//50 bevakningsbolagens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 transporter//NN|UTR|PLU|IND|NOM//obl//47 och//KN//cc//52 hantering//NN|UTR|SIN|IND|NOM//conj//50 i//PP//advmod//47 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//53 av//PP//case//56 sedlar//NN|UTR|PLU|IND|NOM//obl//47 och//KN//cc//58 mynt//NN|NEU|PLU|IND|NOM//conj//56 –//PAD//punct//61 som//KN//mark//61 skyddsobjekt//NN|NEU|SIN|IND|NOM//appos//45 .//MAD//punct//45
Bilaga 1 / Samråd m.m.;Eftersom//SN//mark//67 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 förslag//NN|NEU|SIN|IND|NOM//nsubj//67 kan//VB|PRS|AKT//aux//67 få//VB|INF|AKT//advcl//75 betydelse//NN|UTR|SIN|IND|NOM//obj//67 för//PP//case//70 tillståndsplikten//NN|UTR|SIN|DEF|NOM//obl//67 vid//PP//case//72 kameraövervakning//NN|UTR|SIN|IND|NOM//nmod//70 ska//VB|PRS|AKT//aux//75 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//75 hålla//VB|INF|AKT//conj//5 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//75 underrättad//PC|PRF|UTR|SIN|IND|NOM//xcomp//75 om//PP//case//79 arbetet//NN|NEU|SIN|DEF|NOM//obl//77 i//PP//case//82 den//DT|UTR|SIN|DEF//det//82 utredningen//NN|UTR|SIN|DEF|NOM//nmod//79 .//MAD//punct//5
Bilaga 1 / Samråd m.m.;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//4 ska//VB|PRS|AKT//aux//4 under//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//obl//4 samråda//VB|INF|AKT//ROOT//4 med//PP//case//7 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 organisationer//NN|UTR|PLU|IND|NOM//obl//4 .//MAD//punct//4

Bilaga 1 / Redovisning av uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 redovisa//VB|INF|AKT//ROOT//2 resultatet//NN|NEU|SIN|DEF|NOM//obj//2 av//PP//case//5 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//3 senast//AB|SUV//case//9 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//9 oktober//NN|UTR|SIN|IND|NOM//nmod//3 2009//RG|NOM//nummod//9 .//MAD//punct//2
Bilaga 1 / Redovisning av uppdraget;(//PAD//punct//13 Justitiedepartementet//PM|NOM//appos//2 )//PAD//punct//13


Bilaga 2 / Sammanställning av länsstyrelsernas enkätsvar;*//MID//punct//2 Postkontor//NN|NEU|PLU|IND|NOM//nsubj//2 innefattar//VB|PRS|AKT//ROOT//2 även//AB//advmod//2 post//NN|UTR|SIN|IND|NOM//obj//2 i//PP//case//6 butik//NN|UTR|SIN|IND|NOM//nmod//4 .//MAD//punct//2
