
Bilaga 1 / Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 21//RG|NOM//nummod//5 februari//NN|UTR|SIN|IND|NOM//obl//0 2008//RG|NOM//nummod//5 .//MAD//punct//0
Bilaga 3 / Tillstånd till allmän kameraövervakning av utrymmen på tre färjor som trafikerar Visby, Nynäshamn och Oskarshamn. Kamerorna tilläts vara påslagna endast vid nödsituationer, med undantag för två kameror som tilläts vara påslagna även vid ombordstigning och avstigning.;Med//PP//case//104 beaktande//NN|NEU|SIN|IND|NOM//obl//3 av//PP//mark//108 att//SN//mark//108 besättningen//NN|UTR|SIN|DEF|NOM//nsubj//108 hade//VB|PRT|AKT//acl//104 kontinuerlig//JJ|POS|UTR|SIN|IND|NOM//amod//110 övervakning//NN|UTR|SIN|IND|NOM//obj//108 under//PP//case//112 färd//NN|UTR|SIN|IND|NOM//obl//108 samt//KN//cc//117 av//PP//case//115 vad//HP|NEU|SIN|IND//dislocated//117 som//HP|-|-|-//nsubj//117 framkommit//VB|SUP|AKT//conj//108 rörande//PP//case//119 beredskap//NN|UTR|SIN|IND|NOM//obl//117 för//PP//case//121 incidenter//NN|UTR|PLU|IND|NOM//nmod//119 och//KN//cc//123 nödsituationer//NN|UTR|PLU|IND|NOM//conj//121 fann//VB|PRT|AKT//conj//3 kammarrätten//NN|UTR|SIN|DEF|NOM//obj//124 att//SN//mark//131 intresset//NN|NEU|SIN|DEF|NOM//nsubj//131 av//PP//case//129 kameraövervakning//NN|UTR|SIN|IND|NOM//nmod//127 inte//AB//advmod//131 vägde//VB|PRT|AKT//ccomp//124 tyngre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//131 än//KN//mark//134 integritetsintresset//NN|NEU|SIN|DEF|NOM//obl//131 .//MAD//punct//3
Bilaga 3 / Tillstånd till allmän kameraövervakning av utrymmen på tre färjor som trafikerar Visby, Nynäshamn och Oskarshamn. Kamerorna tilläts vara påslagna endast vid nödsituationer, med undantag för två kameror som tilläts vara påslagna även vid ombordstigning och avstigning.;Vid//PP//case//137 ombordstigning//NN|UTR|SIN|IND|NOM//obl//3 och//KN//cc//139 avstigning//NN|UTR|SIN|IND|NOM//conj//137 samt//KN//cc//146 i//PP//case//143 de//DT|UTR/NEU|PLU|DEF//det//143 fall//NN|NEU|PLU|IND|NOM//obl//146 en//DT|UTR|SIN|IND//det//145 nödsituation//NN|UTR|SIN|IND|NOM//nsubj//146 uppstod//VB|PRT|AKT//conj//137 var//VB|PRT|AKT//cop//149 däremot//AB//advmod//149 intresset//NN|NEU|SIN|DEF|NOM//obj//3 av//PP//case//151 kameraövervakning//NN|UTR|SIN|IND|NOM//nmod//149 så//AB//advmod//153 starkt//AB|POS//advmod//149 och//KN//cc//155 omedelbart//AB|POS//conj//153 att//SN//mark//159 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//159 fick//VB|PRT|AKT//aux//159 anses//VB|INF|SFO//acl:relcl//149 överväga//VB|INF|AKT//xcomp//159 passagerarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//162 intresse//NN|NEU|SIN|IND|NOM//obj//160 av//PP//mark//166 att//IE//mark//166 inte//AB//advmod//166 bli//VB|INF|AKT//advcl//160 övervakade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//166 .//MAD//punct//3
Bilaga 3 / Tillstånd till allmän kameraövervakning av utrymmen på tre färjor som trafikerar Visby, Nynäshamn och Oskarshamn. Kamerorna tilläts vara påslagna endast vid nödsituationer, med undantag för två kameror som tilläts vara påslagna även vid ombordstigning och avstigning.;Med//PP//case//170 ändring//NN|UTR|SIN|IND|NOM//obl//177 av//PP//case//173 länsrättens//NN|UTR|SIN|DEF|GEN//nmod:poss//173 domar//NN|UTR|PLU|IND|NOM//nmod//170 och//KN//cc//176 länsstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//176 beslut//NN|NEU|SIN|IND|NOM//conj//173 förordnade//VB|PRT|AKT//conj//3 kammarrätten//NN|UTR|SIN|DEF|NOM//obj//177 att//SN//mark//185 de//DT|UTR/NEU|PLU|DEF//det//182 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//182 kamerorna//NN|UTR|PLU|DEF|NOM//nsubj//185 fick//VB|PRT|AKT//aux//185 vara//VB|INF|AKT//cop//185 påslagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//178 endast//AB//advmod//188 vid//PP//case//188 nödsituationer//NN|UTR|PLU|IND|NOM//obl//185 med//PP//case//190 undantag//NN|NEU|SIN|IND|NOM//obl//185 av//PP//case//193 två//RG|NOM//nummod//193 kameror//NN|UTR|PLU|IND|NOM//nmod//190 som//HP|-|-|-//nsubj//197 fick//VB|PRT|AKT//aux//197 vara//VB|INF|AKT//cop//197 påslagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//193 även//AB//advmod//200 vid//PP//case//200 ombordstigning//NN|UTR|SIN|IND|NOM//obl//197 och//KN//cc//202 avstigning//NN|UTR|SIN|IND|NOM//conj//200 .//MID//punct//3
Bilaga 3 / Tillstånd till allmän kameraövervakning av utrymmen på tre färjor som trafikerar Visby, Nynäshamn och Oskarshamn. Kamerorna tilläts vara påslagna endast vid nödsituationer, med undantag för två kameror som tilläts vara påslagna även vid ombordstigning och avstigning.;Kammarrätten//NN|UTR|SIN|DEF|NOM//nsubj//205 avslog//VB|PRT|AKT//parataxis//3 överklagandena//NN|NEU|PLU|DEF|NOM//obj//205 i//PP//advmod//205 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//207 .//MAD//punct//205
Bilaga 3 / Tillstånd till allmän kameraövervakning av utrymmen på tre färjor som trafikerar Visby, Nynäshamn och Oskarshamn. Kamerorna tilläts vara påslagna endast vid nödsituationer, med undantag för två kameror som tilläts vara påslagna även vid ombordstigning och avstigning.;(//PAD//punct//214 Kammarrättens//NN|UTR|SIN|DEF|GEN//nmod:poss//212 mål//NN|NEU|SIN|IND|NOM//nmod//214 nr//NN|AN//nmod//214 1713-07//RG|NOM//appos//205 ,//MID//punct//216 1717-07//RG|NOM//conj//214 ,//MID//punct//218 3181-07//RG|NOM//conj//214 )//PAD//punct//214 .//MAD//punct//3

Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//3 Skåne//PM|NOM//amod//3 län//NN|NEU|SIN|IND|NOM//nmod//0 beviljade//VB|PRT|AKT//ROOT//4 i//PP//case//6 beslut//NN|NEU|SIN|IND|NOM//nmod//7 Finnlines//PM|NOM//nmod:poss//9 Management//PM|NOM//nmod//9 AB//PM|NOM//obj//4 (//PAD//punct//9 bolaget//NN|NEU|SIN|DEF|NOM//appos//9 )//PAD//punct//13 tillstånd//NN|NEU|SIN|IND|NOM//conj//9 att//IE//mark//15 använda//VB|INF|AKT//acl//13 47//RG|NOM//nummod//17 övervakningskameror//NN|UTR|PLU|IND|NOM//obj//15 för//PP//case//19 övervakning//NN|UTR|SIN|IND|NOM//nmod//17 dygnet//NN|NEU|SIN|DEF|NOM//obj//15 runt//AB//case//22 ombord//AB//obl//15 på//PP//case//25 M/S//PM|NOM//amod//25 Finntrader//NN|UTR|PLU|IND|NOM//obl//15 .//MID//punct//9
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Ändamålet//NN|NEU|SIN|DEF|NOM//nsubj//30 med//PP//case//29 övervakningen//NN|UTR|SIN|DEF|NOM//nmod//27 angavs//VB|PRT|SFO//conj//4 vara//VB|INF|AKT//cop//33 att//IE//mark//33 höja//VB|INF|AKT//xcomp//30 säkerheten//NN|UTR|SIN|DEF|NOM//obj//33 i//PP//case//38 enlighet//NN|UTR|SIN|IND|NOM//fixed//35 med//PP//fixed//35 ISPS-reglerna//NN|UTR|PLU|DEF|NOM//obl//33 för//PP//case//40 terroristskydd//NN|NEU|SIN|IND|NOM//nmod//38 mot//PP//case//42 fartyg//NN|NEU|PLU|IND|NOM//nmod//40 .//MAD//punct//4
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Tillståndet//NN|NEU|SIN|DEF|NOM//conj//4 innefattade//VB|PRT|AKT//conj//4 rätt//NN|UTR|SIN|IND|NOM//xcomp//45 att//IE//mark//48 spela//VB|INF|AKT//acl//46 in//PL//compound:prt//48 och//KN//cc//51 bevara//VB|INF|AKT//conj//48 bilder//NN|UTR|PLU|IND|NOM//obj//51 .//MAD//punct//4
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Justitiekanslern//NN|UTR|SIN|DEF|NOM//nsubj//1 överklagade//VB|PRT|AKT//ROOT//1 beslutet//NN|NEU|SIN|DEF|NOM//obj//1 i//PP//case//5 den//DT|UTR|SIN|DEF//det//5 del//NN|UTR|SIN|IND|NOM//obl//1 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//7 avsåg//VB|PRT|AKT//acl:relcl//5 15//RG|NOM//nummod//9 kameror//NN|UTR|PLU|IND|NOM//obj//7 för//PP//case//11 övervakning//NN|UTR|SIN|IND|NOM//nmod//9 av//PP//case//13 korridorer//NN|UTR|PLU|IND|NOM//nmod//11 i//PP//case//15 anslutning//NN|UTR|SIN|IND|NOM//nmod//13 till//PP//case//17 hytter//NN|UTR|PLU|IND|NOM//nmod//13 ,//MID//punct//19 korridoren//NN|UTR|SIN|DEF|NOM//conj//9 utanför//PP//case//21 restaurangen//NN|UTR|SIN|DEF|NOM//nmod//19 samt//KN//cc//23 hissar//NN|UTR|PLU|IND|NOM//conj//21 .//MAD//punct//1
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Justitiekanslern//NN|UTR|SIN|DEF|NOM//nsubj//26 yrkade//VB|PRT|AKT//parataxis//1 i//PP//advmod//26 första//RO|NOM//fixed//27 hand//NN|UTR|SIN|IND|NOM//fixed//27 att//SN//mark//33 tillståndet//NN|NEU|SIN|DEF|NOM//nsubj:pass//33 skulle//VB|PRT|AKT//aux//33 förenas//VB|INF|SFO//advcl//26 med//PP//case//35 villkor//NN|NEU|PLU|IND|NOM//obl//33 att//SN//mark//42 dessa//DT|UTR/NEU|PLU|DEF//det//38 kameror//NN|UTR|PLU|IND|NOM//nsubj//42 endast//AB//advmod//42 fick//VB|PRT|AKT//aux//42 vara//VB|INF|AKT//cop//42 påslagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//33 i//PP//case//44 nödsituationer//NN|UTR|PLU|IND|NOM//obl//42 .//MAD//punct//26
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;För//PP//mark//51 det//DT|NEU|SIN|DEF//det//48 fall//NN|NEU|SIN|IND|NOM//fixed//46 tillstånden//NN|NEU|PLU|DEF|NOM//nsubj:pass//51 inte//AB//advmod//51 förenades//VB|PRT|SFO//advcl//54 med//PP//case//53 villkor//NN|NEU|PLU|IND|NOM//obl//51 yrkade//VB|PRT|AKT//conj//26 Justitiekanslern//NN|UTR|SIN|DEF|NOM//obj//54 i//PP//case//58 andra//RO|NOM//amod//58 hand//NN|UTR|SIN|IND|NOM//obl//54 att//SN//mark//63 ansökan//NN|UTR|SIN|IND|NOM//nsubj//63 om//PP//case//62 tillstånd//NN|NEU|SIN|IND|NOM//nmod//60 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//54 dessa//DT|UTR/NEU|PLU|DEF//det//65 kameror//NN|UTR|PLU|IND|NOM//obj//63 skulle//VB|PRT|AKT//aux//67 avslås//VB|INF|SFO//conj//26 .//MAD//punct//26
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Bolaget//NN|NEU|SIN|DEF|NOM//obj//26 ,//MID//punct//72 som//HP|-|-|-//nsubj//72 ifrågasatte//VB|PRT|AKT//acl:relcl//69 att//SN//mark//75 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//75 krävdes//VB|PRT|SFO//ccomp//72 tillståndsplikt//NN|UTR|SIN|IND|NOM//xcomp//75 för//PP//case//78 övervakning//NN|UTR|SIN|IND|NOM//obl//75 i//PP//case//80 hyttkorridorer//NN|UTR|PLU|IND|NOM//nmod//78 ,//MID//punct//69 motsatte//VB|PRT|AKT//conj//26 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//82 inte//AB//advmod//82 att//SN//mark//87 tillståndet//NN|NEU|SIN|DEF|NOM//nsubj:pass//87 förenades//VB|PRT|SFO//ccomp//82 med//PP//case//89 villkor//NN|NEU|PLU|IND|NOM//obl//87 ,//MID//punct//97 att//SN//mark//97 de//DT|UTR/NEU|PLU|DEF//det//94 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 kamerorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//97 endast//AB//advmod//97 fick//VB|PRT|AKT//aux//97 användas//VB|INF|SFO//advcl//87 i//PP//case//99 nödsituationer//NN|UTR|PLU|IND|NOM//obl//97 samt//KN//cc//102 att//SN//mark//102 inspelat//PC|PRF|NEU|SIN|IND|NOM//conj//26 material//NN|NEU|SIN|IND|NOM//obj//102 endast//AB//advmod//106 fick//VB|PRT|AKT//aux//106 användas//VB|INF|SFO//conj//26 vid//PP//case//110 ”//PM|NOM//punct//110 man-över-bord//PM|NOM//amod//110 situation//NN|UTR|SIN|IND|NOM//obl//106 ”//RG|NOM//punct//26 ,//MID//punct//115 när//HA//mark//115 person//NN|UTR|SIN|IND|NOM//nsubj:pass//115 saknas//VB|PRS|SFO//advcl//26 och//KN//cc//118 vid//PP//case//118 terroristhot//NN|UTR|SIN|IND|NOM//conj//115 .//MAD//punct//1
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Bolaget//NN|NEU|SIN|DEF|NOM//nsubj//121 anförde//VB|PRT|AKT//parataxis//1 att//SN//mark//126 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//126 var//VB|PRT|AKT//cop//126 absolut//AB|POS//advmod//126 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//121 att//IE//mark//129 kontinuerligt//AB|POS//advmod//129 spela//VB|INF|AKT//csubj//126 in//PL//compound:prt//129 material//NN|NEU|SIN|IND|NOM//obj//129 för//PP//case//133 utredning//NN|UTR|SIN|IND|NOM//obl//129 av//PP//case//136 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//136 situationer//NN|UTR|PLU|IND|NOM//nmod//133 .//MAD//punct//1
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Vad//HP|NEU|SIN|IND//obj//1 gällde//VB|PRT|AKT//discourse//34 frågan//NN|UTR|SIN|DEF|NOM//nsubj//1 om//PP//mark//6 övervakningen//NN|UTR|SIN|DEF|NOM//nsubj//6 var//VB|PRT|AKT//cop//6 tillståndspliktig//JJ|POS|UTR|SIN|IND|NOM//advmod//7 konstaterade//VB|PRT|AKT//amod//15 länsrätten//NN|UTR|SIN|DEF|NOM//nsubj//7 att//IE//mark//13 på//PP//case//12 ett//DT|NEU|SIN|IND//det//12 passagerarfartyg//NN|NEU|SIN|IND|NOM//obl//13 är//VB|PRS|AKT//cop//15 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 passagerarna//NN|UTR|PLU|DEF|NOM//dislocated//34 som//HP|-|-|-//nsubj//19 är//VB|PRS|AKT//cop//19 den//DT|UTR|SIN|DEF//det//19 allmänhet//NN|UTR|SIN|IND|NOM//acl:relcl//15 som//HP|-|-|-//obj//24 lagen//NN|UTR|SIN|DEF|NOM//nsubj//24 om//PP//case//23 kameraövervakning//NN|UTR|SIN|IND|NOM//nmod//21 avser//VB|PRS|AKT//acl:relcl//19 att//IE//mark//26 skydda//VB|INF|AKT//xcomp//24 .//MAD//punct//15
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Därtill//AB//advmod//34 kommer//VB|PRS|AKT//aux//34 att//SN//mark//34 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 inte//AB//advmod//34 är//VB|PRS|AKT//cop//34 möjligt//JJ|POS|NEU|SIN|IND|NOM//ROOT//34 att//IE//mark//36 avtala//VB|INF|AKT//csubj//34 bort//PL//compound:prt//36 skyddet//NN|NEU|SIN|DEF|NOM//obj//36 .//MAD//punct//34
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Länsrätten//NN|UTR|SIN|DEF|NOM//nsubj//41 fann//VB|PRT|AKT//parataxis//34 att//SN//mark//45 kameraövervakningen//NN|UTR|SIN|DEF|NOM//nsubj//45 var//VB|PRT|AKT//cop//45 tillståndspliktig//JJ|POS|UTR|SIN|IND|NOM//ccomp//41 .//MID//punct//41
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Eftersom//SN//mark//50 bolaget//NN|NEU|SIN|DEF|NOM//nsubj//50 inte//AB//advmod//50 motsatte//VB|PRT|AKT//advcl//94 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//50 att//SN//mark//58 de//DT|UTR/NEU|PLU|DEF//det//55 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 kamerorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//58 endast//AB//advmod//58 fick//VB|PRT|AKT//aux//58 användas//VB|INF|SFO//ccomp//50 i//PP//case//60 nödsituationer//NN|UTR|PLU|IND|NOM//obl//58 och//KN//cc//89 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//61 ,//MID//punct//68 enligt//PP//case//65 länsrätten//NN|UTR|SIN|DEF|NOM//obl//68 ,//MID//punct//68 var//VB|PRT|AKT//cop//68 fråga//NN|UTR|SIN|IND|NOM//acl:relcl//62 om//PP//case//72 ett//DT|NEU|SIN|IND//det//72 starkt//JJ|POS|NEU|SIN|IND|NOM//amod//72 integritetsintresse//NN|NEU|SIN|IND|NOM//obl//68 ändrade//VB|PRT|AKT//amod//74 länsrätten//NN|UTR|SIN|DEF|NOM//nsubj//68 det//DT|NEU|SIN|DEF//det//77 beviljade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//77 tillståndet//NN|NEU|SIN|DEF|NOM//obj//68 så//SN//mark//84 att//SN//fixed//78 kamerorna//NN|UTR|PLU|DEF|NOM//nsubj//84 endast//AB//advmod//84 fick//VB|PRT|AKT//aux//84 vara//VB|INF|AKT//cop//84 påslagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//68 vid//PP//case//86 nödsituationer//NN|UTR|PLU|IND|NOM//obl//84 .//MAD//punct//68
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Vad//HP|NEU|SIN|IND//obj//89 gällde//VB|PRT|AKT//conj//50 frågan//NN|UTR|SIN|DEF|NOM//nsubj//94 om//PP//case//93 kontinuerlig//JJ|POS|UTR|SIN|IND|NOM//amod//93 inspelning//NN|UTR|SIN|IND|NOM//nmod//90 ansåg//VB|PRT|AKT//conj//41 inte//AB//advmod//94 länsrätten//NN|UTR|SIN|DEF|NOM//nsubj//97 visat//VB|SUP|AKT//xcomp//94 att//SN//mark//105 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//105 ,//MID//punct//105 enligt//PP//case//102 de//DT|UTR/NEU|PLU|DEF//obl//105 av//PP//case//104 bolaget//NN|NEU|SIN|DEF|NOM//nmod//102 åberopade//VB|PRT|AKT//ccomp//97 säkerhetsreglerna//NN|UTR|PLU|DEF|NOM//obj//105 ,//MID//punct//108 fanns//VB|PRT|SFO//conj//105 behov//NN|NEU|SIN|IND|NOM//nsubj//108 av//PP//case//112 inspelning//NN|UTR|SIN|IND|NOM//nmod//112 dygnet//NN|NEU|SIN|DEF|NOM//nmod//109 runt//AB//advmod//108 .//MAD//punct//105
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Justitiekanslerns//PM|GEN//nsubj//121 i//PP//case//120 första//RO|NOM//fixed//116 hand//NN|UTR|SIN|IND|NOM//fixed//116 framställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//120 yrkande//NN|NEU|SIN|IND|NOM//nmod//115 bifölls//VB|PRT|SFO//parataxis//105 således//AB//advmod//121 .//MAD//punct//34
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Bolaget//NN|NEU|SIN|DEF|NOM//nsubj//1 överklagade//VB|PRT|AKT//ROOT//1 domen//NN|UTR|SIN|DEF|NOM//obj//1 till//PP//case//4 Kammarrätten//PM|NOM//obl//1 i//PP//case//6 Göteborg//PM|NOM//nmod//4 och//KN//cc//8 yrkade//VB|PRT|AKT//conj//1 i//PP//advmod//8 första//RO|NOM//fixed//9 hand//NN|UTR|SIN|IND|NOM//fixed//9 att//SN//mark//16 länsrättens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 dom//NN|UTR|SIN|IND|NOM//nsubj:pass//16 skulle//VB|PRT|AKT//aux//16 upphävas//VB|INF|SFO//ccomp//8 på//PP//case//19 den//DT|UTR|SIN|DEF//det//19 grund//NN|UTR|SIN|IND|NOM//obl//16 att//SN//mark//26 kameraövervakning//NN|UTR|SIN|IND|NOM//nsubj//26 på//PP//case//23 fartyget//NN|NEU|SIN|DEF|NOM//nmod//21 inte//AB//advmod//26 var//VB|PRT|AKT//cop//26 tillståndspliktig//JJ|POS|UTR|SIN|IND|NOM//advcl//16 .//MAD//punct//1
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;I//PP//case//30 andra//RO|NOM//amod//30 hand//NN|UTR|SIN|IND|NOM//obl//31 yrkade//VB|PRT|AKT//conj//1 bolaget//NN|NEU|SIN|DEF|NOM//nsubj//31 att//SN//mark//37 kontinuerlig//JJ|POS|UTR|SIN|IND|NOM//amod//35 inspelning//NN|UTR|SIN|IND|NOM//nsubj:pass//37 skulle//VB|PRT|AKT//aux//37 tillåtas//VB|INF|SFO//advcl//31 .//MAD//punct//1
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Kammarrätten//NN|UTR|SIN|DEF|NOM//nsubj//40 konstaterade//VB|PRT|AKT//parataxis//1 att//SN//mark//45 bolagets//NN|NEU|SIN|DEF|GEN//nmod:poss//43 passagerarverksamhet//NN|UTR|SIN|IND|NOM//nsubj//45 var//VB|PRT|AKT//aux:pass//45 riktad//PC|PRF|UTR|SIN|IND|NOM//ccomp//40 mot//PP//case//47 allmänheten//NN|UTR|SIN|DEF|NOM//obl//45 och//KN//cc//52 att//SN//mark//52 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 inte//AB//advmod//52 framkommit//VB|SUP|AKT//conj//40 att//SN//mark//65 den//DT|UTR|SIN|DEF//det//55 krets//NN|UTR|SIN|IND|NOM//nsubj//65 som//HP|-|-|-//nsubj//57 hade//VB|PRT|AKT//acl:relcl//55 rätt//PL//obj//57 att//IE//mark//60 sluta//VB|INF|AKT//acl//58 befraktningsavtal//NN|NEU|SIN|IND|NOM//obj//60 med//PP//case//63 bolaget//NN|NEU|SIN|DEF|NOM//obl//60 var//VB|PRT|AKT//cop//65 avgränsad//PC|PRF|UTR|SIN|IND|NOM//ccomp//52 .//MAD//punct//40
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Enligt//PP//case//68 kammarrätten//NN|UTR|SIN|DEF|NOM//obl//70 var//VB|PRT|AKT//cop//70 M/S//PM|NOM//conj//1 Finntrader//NN|UTR|PLU|IND|NOM//nsubj//70 därmed//AB//advmod//70 ,//MID//punct//70 i//PP//case//76 de//DT|UTR/NEU|PLU|DEF//det//76 delar//NN|UTR|PLU|IND|NOM//obl//1 som//HP|-|-|-//nsubj//79 var//VB|PRT|AKT//cop//79 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//76 ,//MID//punct//82 att//IE//mark//82 anse//VB|INF|AKT//advcl//79 som//KN//case//85 en//DT|UTR|SIN|IND//det//85 plats//NN|UTR|SIN|IND|NOM//obl//82 dit//HA//advmod//88 allmänheten//NN|UTR|SIN|DEF|NOM//nsubj//88 har//VB|PRS|AKT//acl:relcl//76 tillträde//NN|NEU|SIN|IND|NOM//obj//88 .//MAD//punct//1
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;Kammarrätten//NN|UTR|SIN|DEF|NOM//nsubj//101 ,//MID//punct//91 som//HP|-|-|-//nsubj//96 i//PP//advmod//96 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//94 instämde//VB|PRT|AKT//acl:relcl//91 i//PP//case//99 länsrättens//NN|UTR|SIN|DEF|GEN//nmod:poss//99 bedömning//NN|UTR|SIN|IND|NOM//obl//96 ,//MID//punct//91 avslog//VB|PRT|AKT//parataxis//1 överklagandet//NN|NEU|SIN|DEF|NOM//obj//101 .//MAD//punct//101
Bilaga 3 / Passagerarfartyg har ansetts vara en plats dit allmänheten har tillträde. Tillstånd har medgetts till övervakning av korridorer och hissar i nödsituationer.;(//PAD//punct//108 Kammarrättens//NN|UTR|SIN|DEF|GEN//nmod:poss//106 mål//NN|NEU|SIN|IND|NOM//nmod//108 nr//NN|AN//nmod//108 8039-08//RG|NOM//appos//101 )//PAD//punct//108 .//MAD//punct//1

