Till statsrådet Ulrica Messing;Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nsubj//11 är//VB|PRS|AKT//cop//11 med//PP//case//10 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//11 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//2 .//MAD//punct//2
Till statsrådet Ulrica Messing;Umeå//PM|NOM//ROOT//0 i//PP//case//2 september//NN|UTR|SIN|IND|NOM//obl//0 2004//RG|NOM//nummod//2
Till statsrådet Ulrica Messing;Anders//PM|NOM//nmod//1 Iacobæus//PM|NOM//nsubj//2 /Lovisa//NN|UTR|SIN|DEF|NOM//ROOT//2 Hansson//PM|NOM//obj//2
Till statsrådet Ulrica Messing;Mattias//PM|NOM//ROOT//0 Steen//PM|NOM//flat//0
Till statsrådet Ulrica Messing;Förteckning//NN|UTR|SIN|IND|NOM//ROOT//0 över//PP//case//2 vilka//HP|UTR/NEU|PLU|IND//nmod//0 som//HP|-|-|-//nsubj//5 har//VB|PRS|AKT//aux//5 deltagit//VB|SUP|AKT//acl:relcl//2 i//PP//case//8 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 arbete//NN|NEU|SIN|IND|NOM//obl//5 med//PP//case//10 slutbetänkandet//NN|NEU|SIN|DEF|NOM//obl//5 En//DT|UTR|SIN|IND//det//13 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//13 järnvägslagstiftning//NN|UTR|SIN|IND|NOM//nmod//0  //_SP////13 (//PAD//punct//17 SOU//PM|NOM//nmod//17 2004:92//RG|NOM//appos//13 )//PAD//punct//0
Till statsrådet Ulrica Messing;Särskild//PC|PRF|UTR|SIN|IND|NOM//amod//1 utredare//NN|UTR|SIN|IND|NOM//ROOT//1
Till statsrådet Ulrica Messing;Hovrättspresidenten//NN|UTR|SIN|DEF|NOM//nmod//1 Anders//PM|NOM//nmod:poss//2 Iacobæus//PM|NOM//ROOT//2
Till statsrådet Ulrica Messing;Experter//NN|UTR|PLU|IND|NOM//ROOT//0
Till statsrådet Ulrica Messing;Direktören//NN|UTR|SIN|DEF|NOM//nmod//1 Ove//PM|NOM//ROOT//1 Andersson//PM|NOM//flat:name//1 ,//MID//punct//1 f.d.//JJ|AN//amod//5 Järnvägsinspektionen//NN|UTR|SIN|DEF|NOM//conj//1 Avdelningsrådet//PM|NOM//nmod//7 Stig-Arne//PM|NOM//conj//1 Ankner//PM|NOM//flat//7 ,//MID//punct//7 Konkurrensverket//PM|NOM//nmod//11 Direktören//NN|UTR|SIN|DEF|NOM//nmod//12 Stefan//PM|NOM//nmod//7 Back//PM|NOM//flat//12 ,//MID//punct//12 Sveriges//PM|GEN//nmod:poss//16 Transportindustriförbund//NN|NEU|SIN|IND|NOM//conj//7
Till statsrådet Ulrica Messing;Utredaren//NN|UTR|SIN|DEF|NOM//nmod//1 Christina//PM|NOM//ROOT//1 Bergström//PM|NOM//flat:name//1 ,//MID//punct//5 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 Lokaltrafikföreningen//NN|UTR|SIN|DEF|NOM//conj//1 fr.o.m.//AB|AN//case//9 den//DT|UTR|SIN|DEF//det//9 16//RG|NOM//nummod//9 februari//NN|UTR|SIN|IND|NOM//advcl//1 2004//RG|NOM//nummod//9
Till statsrådet Ulrica Messing;Dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 direktören//NN|UTR|SIN|DEF|NOM//ROOT//1 ,//MID//punct//3 Sven//PM|NOM//conj//1 Bårström//PM|NOM//flat:name//3 ,//MID//punct//3 f.d.//JJ|AN//conj//1 Tågtrafikledningen//NN|UTR|SIN|DEF|NOM//nsubj//6 Enhetschefen//NN|UTR|SIN|DEF|NOM//conj//1 Lotta//PM|NOM//flat//8 Danin//PM|NOM//conj//1 ,//MID//punct//1 Konsumentverket//NN|NEU|SIN|DEF|NOM//nmod//13 Avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//14 Lena//PM|NOM//appos//1 Ericsson//PM|NOM//flat:name//14 ,//MID//punct//17 Banverket//NN|NEU|SIN|DEF|NOM//conj//14
Till statsrådet Ulrica Messing;Ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//1 Peter//PM|NOM//ROOT//1 Fäldt//PM|NOM//flat:name//1 ,//MID//punct//1 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//5 Rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//appos//1 Anna//PM|NOM//flat//5 Förander//PM|NOM//flat//6 ,//MID//punct//5 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//10 Transportansvarige//JJ|POS|MAS|SIN|DEF|NOM//conj//1 Lars//PM|NOM//flat:name//10 Hallsten//PM|NOM//flat:name//11 ,//MID//punct//11 Föreningen//NN|UTR|SIN|DEF|NOM//nmod//16 Svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//16 Näringsliv//NN|NEU|SIN|IND|NOM//appos//11 Ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//18 Kersti//PM|NOM//conj//1 Karlsson//PM|NOM//flat:name//18 ,//MID//punct//21 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//18
Till statsrådet Ulrica Messing;Dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 direktören//NN|UTR|SIN|DEF|NOM//nmod//3 Helena//PM|NOM//nmod//7 Leufstadius//PM|NOM//flat:name//3 ,//MID//punct//4 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 Lokaltrafikföreningen//NN|UTR|SIN|DEF|NOM//ROOT//7 ,//MID//punct//7 t.o.m.//AB|AN//advmod//12 den//DT|UTR|SIN|DEF//det//12 16//RG|NOM//nummod//12 februari//NN|UTR|SIN|IND|NOM//appos//7 2004//RG|NOM//nummod//12
Till statsrådet Ulrica Messing;Kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//1 Ulrika//PM|NOM//ROOT//1 Rosenberg//PM|NOM//flat:name//1 ,//MID//punct//4 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//5 Carl//PM|NOM//conj//1 Silfverswärd//PM|NOM//flat:name//5 ,//MID//punct//8 Banverket//NN|NEU|SIN|DEF|NOM//conj//1
Till statsrådet Ulrica Messing;Verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 direktören//NN|UTR|SIN|DEF|NOM//nmod//2 Peder//PM|NOM//ROOT//2 Wadman//PM|NOM//flat:name//2 ,//MID//punct//2 Branschföreningen//NN|UTR|SIN|DEF|NOM//compound//6 Tågoperatörerna//NN|UTR|PLU|DEF|NOM//appos//2
Till statsrådet Ulrica Messing;Chefssamordnaren//NN|UTR|SIN|DEF|NOM//nmod//1 Pär-Erik//PM|NOM//ROOT//1 Westin//PM|NOM//flat:name//1 ,//MID//punct//1 Rikstrafiken//PM|NOM//appos//1
Till statsrådet Ulrica Messing;Sekreterare//NN|UTR|SIN|IND|NOM//ROOT//0
Till statsrådet Ulrica Messing;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//1 Lovisa//PM|NOM//ROOT//1 Hansson//PM|NOM//flat:name//1
Till statsrådet Ulrica Messing;Kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//1 Mattias//PM|NOM//ROOT//1 Steen//PM|NOM//flat:name//1
Till statsrådet Ulrica Messing;Assistenter//NN|UTR|PLU|IND|NOM//ROOT//0
Till statsrådet Ulrica Messing;Anita//PM|NOM//ROOT//0 Arnell//PM|NOM//flat//0
Till statsrådet Ulrica Messing;Christina//PM|NOM//nsubj:pass//9 Jarl//PM|NOM//flat:name//0 4.3//RG|NOM//conj//0 Bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//0 i//PP//case//5 järnvägstrafiklagen//NN|UTR|SIN|DEF|NOM//nmod//3 (//PAD//punct//7 1985:192//RG|NOM//appos//5 )//PAD//punct//7 förs//VB|PRS|SFO//ROOT//9 4.5//RG|NOM//nmod//11 Allmänt//AB|POS//obj//9 om//PP//case//13 skadeståndsansvar//NN|NEU|SIN|IND|NOM//nmod//11 vid//PP//case//15 person-//NN|UTR|-|-|SMS//nmod//13 och//KN//punct//9

sig för att bedriva järnvägstrafik på det svenska järnvägsnätet och till den dominerande ställning Banverket i dag har som förvaltare av infrastruktur innehåller författningsförslaget bestämmelser som reglerar ansvarsförhållandet mellan infrastrukturförvaltare och järnvägsföretag.;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//13 som//HP|-|-|-//nsubj//2 har//VB|PRS|AKT//acl:relcl//0 rätt//PL//obj//2 att//IE//mark//5 bedriva//VB|INF|AKT//acl//3 eller//KN//cc//7 organisera//VB|INF|AKT//conj//5 trafik//NN|UTR|SIN|IND|NOM//obj//5 på//PP//case//11 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 järnvägsnät//NN|NEU|PLU|IND|NOM//obl//5 kan//VB|PRS|AKT//aux//13 ansöka//VB|INF|AKT//ROOT//13 om//PP//case//15 infrastrukturkapacitet//NN|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//13 bl.a.//AB|AN//advmod//21 i//PP//case//21 form//NN|UTR|SIN|IND|NOM//fixed//18 av//PP//fixed//18 tågläge//NN|NEU|SIN|IND|NOM//obl//13 ,//MID//punct//24 hos//PP//case//24 infrastrukturförvaltaren//NN|UTR|SIN|DEF|NOM//conj//21 .//MAD//punct//13
sig för att bedriva järnvägstrafik på det svenska järnvägsnätet och till den dominerande ställning Banverket i dag har som förvaltare av infrastruktur innehåller författningsförslaget bestämmelser som reglerar ansvarsförhållandet mellan infrastrukturförvaltare och järnvägsföretag.;Enligt//PP//case//28 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 järnvägslag//NN|NEU|SIN|IND|NOM//obl//38 skall//VB|PRS|AKT//aux//38 infrastrukturförvaltaren//NN|UTR|SIN|DEF|NOM//nsubj//38 i//PP//case//34 samband//NN|NEU|SIN|IND|NOM//fixed//31 med//PP//fixed//31 tilldelning//NN|UTR|SIN|IND|NOM//nmod//30 av//PP//case//37 ett//DT|NEU|SIN|IND//det//37 tågläge//NN|NEU|SIN|IND|NOM//nmod//34 träffa//VB|INF|AKT//parataxis//13 ett//DT|NEU|SIN|IND//det//40 trafikeringsavtal//NN|NEU|SIN|IND|NOM//obj//38 med//PP//case//42 järnvägsföretaget//NN|NEU|SIN|DEF|NOM//nmod//40 eller//KN//cc//45  //_SP////43 den//PN|UTR|SIN|DEF|SUB/OBJ//conj//42 som//HP|-|-|-//nsubj//47 har//VB|PRS|AKT//acl:relcl//45 auktorisation//NN|UTR|SIN|IND|NOM//obj//47 .//MAD//punct//38
