Utredningen om tullens dimensionering m.m.;”//PAD//punct//2 En//DT|UTR|SIN|IND//det//2 gräns//NN|UTR|SIN|IND|NOM//ROOT//2 –//RG|NOM//punct//5 en//DT|UTR|SIN|IND//det//5 myndighet//NN|UTR|SIN|IND|NOM//appos//2 ?//MAD//punct//5 ”//RG|NOM//punct//2

1. Innehållsförteckning;1//RG|NOM//discourse//239 .//MAD//punct//0
1. Innehållsförteckning;Innehållsförteckning//NN|UTR|SIN|IND|NOM//nsubj//239 _//PM|NOM//punct//2 _//PM|NOM//nmod//5 _//PM|NOM//nmod//6 _//PM|NOM//appos//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//nmod//46 _//PM|NOM//appos//2 _//PM|NOM//nmod//48 5//RG|NOM//nummod//49 2//RG|NOM//nummod//2 .//MID//punct//2
1. Innehållsförteckning;Sammanfattning//NN|UTR|SIN|IND|NOM//appos//2 _//PM|NOM//nmod//53 _//PM|NOM//nmod//54 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//nmod//98 _//PM|NOM//nmod//99 _//PM|NOM//nmod//2 7//RG|NOM//nummod//101 3//RG|NOM//nummod//2 .//MAD//punct//2
1. Innehållsförteckning;Bakgrund//NN|UTR|SIN|IND|NOM//appos//2 _//PM|NOM//nmod//105 _//PM|NOM//nmod//106 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//conj//2 _//PM|NOM//nmod//155 _//PM|NOM//nmod//156 _//PM|NOM//nmod//2 25//RG|NOM//nummod//158 4//RG|NOM//nmod//2 .//MID//punct//2
1. Innehållsförteckning;Vårt//PS|NEU|SIN|DEF//nmod:poss//161 angreppssätt//NN|NEU|SIN|IND|NOM//conj//2 –//PAD//punct//161 utifrån//AB//advmod//199 och//KN//fixed//163 in//PM|NOM//fixed//163 _//PM|NOM//conj//163 _//PM|NOM//nmod//168 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//conj//163 _//PM|NOM//fixed//163 49//RG|NOM//nummod//200 5//RG|NOM//nmod//161 .//MID//punct//161
1. Innehållsförteckning;Tullverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//203 processer//NN|UTR|PLU|IND|NOM//conj//161 ,//MID//punct//203 dvs//AB|AN//advmod//233 arbetsflöden//NN|NEU|PLU|IND|NOM//nmod//233 _//PM|NOM//nmod//208 _//PM|NOM//nmod//209 _//PM|NOM//nmod//210 _//PM|NOM//nmod//211 _//PM|NOM//nmod//212 _//PM|NOM//nmod//213 _//PM|NOM//nmod//214 _//PM|NOM//nmod//215 _//PM|NOM//nmod//216 _//PM|NOM//nmod//217 _//PM|NOM//nmod//218 _//PM|NOM//nmod//219 _//PM|NOM//nmod//220 _//PM|NOM//nmod//221 _//PM|NOM//nmod//222 _//PM|NOM//nmod//223 _//PM|NOM//nmod//224 _//PM|NOM//nmod//225 _//PM|NOM//nmod//226 _//PM|NOM//nmod//227 _//PM|NOM//nmod//228 _//PM|NOM//nmod//229 _//PM|NOM//nmod//230 _//PM|NOM//nmod//231 _//PM|NOM//nmod//232 _//PM|NOM//nmod//233 _//PM|NOM//nmod//234 _//PM|NOM//nmod//235 _//PM|NOM//nmod//203 55//RG|NOM//nummod//237 6//RG|NOM//nmod//203 .//MAD//punct//161
1. Innehållsförteckning;Utvärdering//NN|UTR|SIN|IND|NOM//nsubj:pass//499 av//PP//case//243 verksamheten//NN|UTR|SIN|DEF|NOM//det//243 åren//NN|NEU|PLU|DEF|NOM//nmod//243 1993/94//RG|NOM//nmod//239 –//NN|AN//punct//243 1997//RG|NOM//nummod//246 _//PM|NOM//nmod//247 _//PM|NOM//nmod//248 _//PM|NOM//nmod//249 _//PM|NOM//nmod//250 _//PM|NOM//nmod//251 _//PM|NOM//nmod//252 _//PM|NOM//nmod//253 _//PM|NOM//nmod//254 _//PM|NOM//nmod//255 _//PM|NOM//nmod//256 _//PM|NOM//nmod//257 _//PM|NOM//nmod//258 _//PM|NOM//nmod//259 _//PM|NOM//nmod//260 _//PM|NOM//nmod//261 _//PM|NOM//nmod//262 _//PM|NOM//nmod//264 _//PM|NOM//nmod//264 _//PM|NOM//nmod//265 _//PM|NOM//nmod//266 59//RG|NOM//nummod//267 7//RG|NOM//nmod//243 .//MAD//punct//239
1. Innehållsförteckning;Utvärdering//NN|UTR|SIN|IND|NOM//appos//239 av//PP//case//271 klarering//NN|UTR|SIN|IND|NOM//nmod//269 och//KN//cc//273 revision//NN|UTR|SIN|IND|NOM//conj//271 _//PM|NOM//nmod//275 _//PM|NOM//nmod//276 _//PM|NOM//nmod//277 _//PM|NOM//nmod//278 _//PM|NOM//nmod//269 _//PM|NOM//nmod//280 _//PM|NOM//nmod//269 _//PM|NOM//nmod//282 _//PM|NOM//nmod//269 _//PM|NOM//nmod//284 _//PM|NOM//nmod//269 _//PM|NOM//nmod//286 _//PM|NOM//nmod//269 _//PM|NOM//nmod//288 _//PM|NOM//nmod//269 _//PM|NOM//nmod//290 _//PM|NOM//nmod//269 _//PM|NOM//nmod//292 _//PM|NOM//nmod//269 _//PM|NOM//nmod//294 _//PM|NOM//nmod//269 _//PM|NOM//nmod//296 _//PM|NOM//nmod//269 _//PM|NOM//nmod//298 _//PM|NOM//nmod//269 _//PM|NOM//nmod//300 _//PM|NOM//nmod//269 _//PM|NOM//nmod//302 _//PM|NOM//nmod//303 _//PM|NOM//nmod//269 67//RG|NOM//nummod//305 8//RG|NOM//nmod//269 .//MAD//punct//239
1. Innehållsförteckning;Utvärdering//NN|UTR|SIN|IND|NOM//appos//239 av//PP//case//309 gränskontroll//NN|UTR|SIN|IND|NOM//nmod//307 ,//MID//punct//311 underrättelse//NN|UTR|SIN|IND|NOM//conj//309 och//KN//cc//313 spaning//NN|UTR|SIN|IND|NOM//conj//309 _//PM|NOM//nmod//315 _//PM|NOM//nmod//316 _//PM|NOM//nmod//317 _//PM|NOM//nmod//318 _//PM|NOM//nmod//319 _//PM|NOM//nmod//320 _//PM|NOM//nmod//321 _//PM|NOM//nmod//322 _//PM|NOM//nmod//323 _//PM|NOM//nmod//324 _//PM|NOM//nmod//325 _//PM|NOM//nmod//327 _//PM|NOM//nmod//327 _//PM|NOM//nmod//328 77//RG|NOM//nmod//307 9//RG|NOM//nummod//328 .//MAD//punct//239
