Utredningen om tullens dimensionering m.m.;”//PAD//punct//2 En//DT|UTR|SIN|IND//det//2 gräns//NN|UTR|SIN|IND|NOM//ROOT//2 –//RG|NOM//punct//5 en//DT|UTR|SIN|IND//det//5 myndighet//NN|UTR|SIN|IND|NOM//appos//2 ?//MAD//punct//5 ”//RG|NOM//punct//2
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Kostnadsutvecklingen;Tullverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 kostnad//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//3 infrastruktur//NN|UTR|SIN|IND|NOM//nmod//1 ,//MID//punct//5 klarering//NN|UTR|SIN|IND|NOM//conj//3 ,//MID//punct//7 revision//NN|UTR|SIN|IND|NOM//conj//3 ,//MID//punct//9 uppbörd//NN|UTR|SIN|IND|NOM//conj//3
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Kostnadsutvecklingen;Gränskontroll//NN|UTR|SIN|IND|NOM//ROOT//0 ,//MID//punct//2 underrättelse//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//4 spaning//NN|UTR|SIN|IND|NOM//conj//0
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Kostnadsutvecklingen;Ledning//NN|UTR|SIN|IND|NOM//ROOT//0  //_SP////0 Övrigt//JJ|POS|NEU|SIN|IND|NOM//conj//0

6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//4 för//PP//case//2 klarering//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//4 minskat//VB|SUP|AKT//ROOT//4 med//PP//case//7 23//RG|NOM//nummod//7 %//NN|AN//obl//4 ,//MID//punct//7 volymerna//NN|UTR|PLU|DEF|NOM//obl//4 med//PP//case//12 60//RG|NOM//nummod//12 %//NN|AN//nmod//9
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//4 för//PP//case//2 klareringen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//4 minskat//VB|SUP|AKT//ROOT//4 med//PP//case//8 ca//AB|AN//advmod//7 23//RG|NOM//nummod//8 %//NN|AN//obl//4 .//MAD//punct//4
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Som//KN//case//12 en//DT|UTR|SIN|IND//det//12 jämförelse//NN|UTR|SIN|IND|NOM//obl//15 ska//VB|PRS|AKT//aux//15 dock//AB//advmod//15 erinras//VB|INF|SFO//conj//4 att//SN//mark//19 deklarationsvolymerna//NN|UTR|PLU|DEF|NOM//nsubj//19 har//VB|PRS|AKT//aux//19 minskat//VB|SUP|AKT//advcl//15 med//PP//case//22 60//RG|NOM//nummod//22 %//NN|AN//obl//19 .//MAD//punct//15
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;I//PP//case//26 denna//DT|UTR|SIN|DEF//det//26 jämförelse//NN|UTR|SIN|IND|NOM//obl//29 har//VB|PRS|AKT//aux//29 vi//PN|UTR|PLU|DEF|SUB//nsubj//29 lagt//VB|SUP|AKT//conj//4 in//PL//compound:prt//29 även//AB//advmod//29 revision//NN|UTR|SIN|IND|NOM//obj//29 ,//MID//punct//34 statistik//NN|UTR|SIN|IND|NOM//conj//32 och//KN//cc//36 uppbörd//NN|UTR|SIN|IND|NOM//conj//32 under//PP//case//39 begreppet//NN|NEU|SIN|DEF|NOM//nmod//39 klarering//NN|UTR|SIN|IND|NOM//nmod//36 .//MAD//punct//4
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Den//DT|UTR|SIN|DEF//det//43 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//43 verksamhet//NN|UTR|SIN|IND|NOM//parataxis//4 som//HP|-|-|-//nsubj//46 har//VB|PRS|AKT//aux//46 minskat//VB|SUP|AKT//acl:relcl//43 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//48 kostnader//NN|UTR|PLU|IND|NOM//obj//46 i//PP//case//50 takt//NN|UTR|SIN|IND|NOM//obl//46 med//PP//case//52 volymminskningen//NN|UTR|SIN|DEF|NOM//nmod//50 är//VB|PRS|AKT//cop//54 uppbörden//NN|UTR|SIN|DEF|NOM//nsubj//43 .//MAD//punct//43
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//58 har//VB|PRS|AKT//aux//58 ökat//VB|SUP|AKT//conj//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//60 styckkostnader//NN|UTR|PLU|IND|NOM//obj//58 .//MAD//punct//4
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//4 för//PP//case//2 gränskontroll//NN|UTR|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//4 oförändrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//4
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//10 för//PP//case//2 gränskontrollen//NN|UTR|SIN|DEF|NOM//nmod//0 ,//MID//punct//5 inklusive//PP//case//5 brottsbekämpning//NN|UTR|SIN|IND|NOM//conj//2 är//VB|PRS|AKT//cop//10 i//PP//advmod//10 stort//AB//fixed//7 sett//PC|PRF|NEU|SIN|IND|NOM//fixed//7 oförändrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//10 under//PP//case//12 perioden//NN|UTR|SIN|DEF|NOM//obl//10 .//MAD//punct//10
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Vi//PN|UTR|PLU|DEF|SUB//nsubj//15 konstaterar//VB|PRS|AKT//parataxis//10 att//SN//mark//19 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//19 är//VB|PRS|AKT//cop//19 förvånande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//15 .//MAD//punct//15
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//22 stämmer//VB|PRS|AKT//parataxis//15 inte//AB//advmod//22 med//PP//case//26 den//DT|UTR|SIN|DEF//det//26 uppfattning//NN|UTR|SIN|IND|NOM//obl//22 som//HP|-|-|-//nsubj//28 finns//VB|PRS|SFO//acl:relcl//26 internt//AB|POS//obj//28 i//PP//case//31 organisationen//NN|UTR|SIN|DEF|NOM//nmod//29 –//RG|NOM//punct//34 såväl//KN//advmod//34 centralt//AB|POS//appos//26 som//KN//mark//37 i//PP//case//37 regionerna//NN|UTR|PLU|DEF|NOM//nmod//34 –//RG|NOM//punct//34 och//KN//cc//41 som//HP|-|-|-//nsubj:pass//41 framförts//VB|SUP|SFO//conj//34 till//PP//case//43 oss//PN|UTR|PLU|DEF|OBJ//obl//41 .//MAD//punct//22
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Allmänt//AB|POS//dep//22 finns//VB|PRS|SFO//conj//22 en//DT|UTR|SIN|IND//det//48 uppfattning//NN|UTR|SIN|IND|NOM//nsubj//46 att//SN//mark//55 resurserna//NN|UTR|PLU|DEF|NOM//nsubj//55 för//PP//case//52 gränskontroll//NN|UTR|SIN|IND|NOM//nmod//50 och//KN//cc//54 brottsbekämpning//NN|UTR|SIN|IND|NOM//conj//52 minskat//VB|SUP|AKT//acl//48 avsevärt//AB|POS//advmod//55 .//MAD//punct//15
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;En//DT|UTR|SIN|IND//det//1 förklaring//NN|UTR|SIN|IND|NOM//nsubj//6 till//PP//case//3 missuppfattningen//NN|UTR|SIN|DEF|NOM//nmod//1 kan//VB|PRS|AKT//aux//6 möjligen//AB//advmod//6 vara//VB|INF|AKT//ROOT//6 att//SN//mark//17 den//DT|UTR|SIN|DEF//det//9 verksamhet//NN|UTR|SIN|IND|NOM//nsubj//17 som//HP|-|-|-//nsubj//11 syns//VB|PRS|SFO//acl:relcl//9 mest//AB|SUV//advmod//11 –//PAD//punct//9 kontroll//NN|UTR|SIN|IND|NOM//appos//9 –//RG|NOM//punct//17 har//VB|PRS|AKT//aux//17 minskat//VB|SUP|AKT//ccomp//6 och//KN//cc//19 resurserna//NN|UTR|PLU|DEF|NOM//conj//17 till//PP//case//21 underrättelse-//NN|UTR|-|-|SMS//obl//17 och//KN//cc//23 spaningsverksamheten//NN|UTR|SIN|DEF|NOM//conj//21 har//VB|PRS|AKT//aux//25 ökat//VB|SUP|AKT//conj//17 .//MAD//punct//6
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;En//DT|UTR|SIN|IND//det//2 annan//JJ|POS|UTR|SIN|IND|NOM//amod//2 förklaring//NN|UTR|SIN|IND|NOM//nsubj:pass//3 erhålls//VB|PRS|SFO//ROOT//3 vid//PP//case//7 en//DT|UTR|SIN|IND//det//7 noggrannare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 analys//NN|UTR|SIN|IND|NOM//obl//3 av//PP//case//9 kostnaderna//NN|UTR|PLU|DEF|NOM//nmod//7 ,//MID//punct//9 som//HP|-|-|-//nsubj//12 visar//VB|PRS|AKT//acl:relcl//9 att//SN//mark//18 personalkostnaden//NN|UTR|SIN|DEF|NOM//nsubj//18 per//PP//case//16 timme//NN|UTR|SIN|IND|NOM//nmod//14 har//VB|PRS|AKT//aux//18 ökat//VB|SUP|AKT//ccomp//12 betydligt//AB//advmod//20 mer//AB|KOM//advmod//18 än//KN//case//22 inflationen//NN|UTR|SIN|DEF|NOM//obl//18 .//MAD//punct//3
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//26 har//VB|PRS|AKT//aux//26 mötts//VB|SUP|SFO//parataxis//3 med//PP//case//29 en//DT|UTR|SIN|IND//det//29 reduktion//NN|UTR|SIN|IND|NOM//obl//26 av//PP//case//31 antalet//NN|NEU|SIN|DEF|NOM//nmod//29 anställda//NN|UTR|PLU|IND|NOM//conj//26 bl.a.//AB|AN//advmod//32 i//PP//case//35 gränskontrollen//NN|UTR|SIN|DEF|NOM//obl//32 .//MAD//punct//26
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Totalt//AB|POS//advmod//38 arbetas//VB|PRS|SFO//conj//26 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//38 således//AB//advmod//41 färre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 timmar//NN|UTR|PLU|IND|NOM//nsubj:pass//38 i//PP//case//46 den//DT|UTR|SIN|DEF//det//46 direkta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 kontrollverksamheten//NN|UTR|SIN|DEF|NOM//nmod//42 men//KN//cc//48 fler//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//38 i//PP//case//50 underrättelseverksamheten//NN|UTR|SIN|DEF|NOM//obl//48 .//MAD//punct//3
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Ur//PP//case//2 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 synvinkel//NN|UTR|SIN|IND|NOM//obl//7 är//VB|PRS|AKT//cop//7 dock//AB//advmod//7 de//DT|UTR/NEU|PLU|DEF//det//7 interna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//22 och//KN//cc//9 kostnadsfördelningen//NN|UTR|SIN|DEF|NOM//conj//7 av//PP//case//12 underordnat//PC|PRF|NEU|SIN|IND|NOM//amod//12 intresse//NN|NEU|SIN|IND|NOM//nmod//9 .//MAD//punct//7
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Det//PN|NEU|SIN|DEF|SUB/OBJ//parataxis//7 som//HP|-|-|-//nsubj//18 är//VB|PRS|AKT//cop//18 av//PP//case//18 intresse//NN|NEU|SIN|IND|NOM//acl:cleft//7 är//VB|PRS|AKT//cop//22 den//DT|UTR|SIN|DEF//det//22 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//22 kostnaden//NN|UTR|SIN|DEF|NOM//ROOT//22 och//KN//cc//25 vilken//HD|UTR|SIN|IND//det//25 samhällsnytta//NN|UTR|SIN|IND|NOM//conj//22 som//HP|-|-|-//nsubj:pass//27 uppnåtts//VB|SUP|SFO//acl:relcl//25 för//PP//case//30 denna//DT|UTR|SIN|DEF//det//30 kostnad//NN|UTR|SIN|IND|NOM//obl//27 .//MAD//punct//22
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Vi//PN|UTR|PLU|DEF|SUB//nsubj//33 konstaterar//VB|PRS|AKT//parataxis//22 därför//AB//mark//45 att//SN//fixed//34 resursförbrukningen//NN|UTR|SIN|DEF|NOM//nsubj//45 före//PP//case//38 EU-inträdet//NN|NEU|SIN|DEF|NOM//nmod//36 respektive//AB//cc//41 år//NN|NEU|SIN|IND|NOM//nmod//41 1997//RG|NOM//conj//38 är//VB|PRS|AKT//cop//45 i//PP//advmod//45 stort//AB//amod//45 oförändrad//JJ|POS|UTR|SIN|IND|NOM//advcl//33 .//MAD//punct//33
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Till//PP//case//49 vilken//HD|UTR|SIN|IND//det//49 samhällsnytta//NN|UTR|SIN|IND|NOM//obl//52 som//HP|-|-|-//nsubj:pass//51 uppnåtts//VB|SUP|SFO//acl:relcl//49 återkommer//VB|PRS|AKT//parataxis//33 vi//PN|UTR|PLU|DEF|SUB//nsubj//52 i//PP//case//56 det//DT|NEU|SIN|DEF//det//56 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//52 .//MAD//punct//33
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Ledningskostnadernas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 andel//NN|UTR|SIN|IND|NOM//nsubj//7 av//PP//case//3 budgeten//NN|UTR|SIN|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//7 i//PP//advmod//7 stort//AB//fixed//5 oförändrad//PC|PRF|UTR|SIN|IND|NOM//ROOT//7
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Ledningskostnadernas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 andel//NN|UTR|SIN|IND|NOM//nsubj//7 av//PP//case//3 budgeten//NN|UTR|SIN|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//7 i//PP//case//7 stort//AB//amod//7 oförändrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//7 och//KN//cc//10 för//PP//case//10 1997//RG|NOM//nummod//13 ca//AB|AN//advmod//12 7//RG|NOM//nummod//13 %//NN|AN//appos//7 av//PP//case//16 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 budgeten//NN|UTR|SIN|DEF|NOM//nmod//13 .//MAD//punct//7
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Dessa//DT|UTR/NEU|PLU|DEF//det//19 kostnader//NN|UTR|PLU|IND|NOM//nsubj//21 har//VB|PRS|AKT//aux//21 minskat//VB|SUP|AKT//parataxis//7 ungefär//AB//advmod//23 lika//AB//advmod//24 mycket//AB|POS//advmod//21 som//KN//case//28 Tullverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//28 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 budget//NN|UTR|SIN|IND|NOM//obl//21 sedan//PP//case//30 året//NN|NEU|SIN|DEF|NOM//nmod//28 före//PP//case//32 EUinträdet//NN|NEU|SIN|DEF|NOM//nmod//30 .//MAD//punct//7
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 kostnader//NN|UTR|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 ökat//VB|SUP|AKT//ROOT//3 med//PP//case//6 100//RG|NOM//nummod//6 %//NN|AN//obl//3
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 kostnader//NN|UTR|PLU|IND|NOM//nsubj//25 –//RG|NOM//punct//1 vilket//HP|NEU|SIN|IND//nsubj//4 omfattar//VB|PRS|AKT//acl:relcl//1 bl.a.//AB|AN//advmod//4 avvecklingskostnader//NN|UTR|PLU|IND|NOM//obj//4 ,//MID//punct//8 sanktioner//NN|UTR|PLU|IND|NOM//conj//6 ,//MID//punct//10 uppgifter//NN|UTR|PLU|IND|NOM//conj//6 för//PP//case//14 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//14 räkning//NN|UTR|SIN|IND|NOM//nmod//10 ,//MID//punct//16 tulluppgifter//NN|UTR|PLU|IND|NOM//conj//4 för//PP//case//19 Norges//PM|GEN//nmod:poss//19 räkning//NN|UTR|SIN|IND|NOM//nmod//16 och//KN//cc//22 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 naturvårdsuppgifter//NN|UTR|PLU|IND|NOM//conj//19 –//RG|NOM//punct//1 har//VB|PRS|AKT//aux//25 ökat//VB|SUP|AKT//advcl//50 med//PP//case//28 100//RG|NOM//nummod//28 %//NN|AN//obl//25 .//MID//punct//25
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Då//HA//mark//35 dessa//DT|UTR/NEU|PLU|DEF//det//32 kostnader//NN|UTR|PLU|IND|NOM//nsubj//35 är//VB|PRS|AKT//cop//35 förhållandevis//AB//advmod//35 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//25 i//PP//case//37 förhållande//NN|NEU|SIN|IND|NOM//obl//35 till//PP//case//39 helheten//NN|UTR|SIN|DEF|NOM//obl//35 (//PAD//punct//35 drygt//AB|POS//advmod//42 4//RG|NOM//nummod//43 %//NN|AN//nmod//45 år//NN|NEU|SIN|IND|NOM//nmod//45 1997//RG|NOM//obl//35 )//PAD//punct//25 har//VB|PRS|AKT//aux//50 vi//PN|UTR|PLU|DEF|SUB//nsubj//50 inte//AB//advmod//50 gjort//VB|SUP|AKT//ROOT//50 någon//DT|UTR|SIN|IND//det//53 djupare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 granskning//NN|UTR|SIN|IND|NOM//obj//50 av//PP//case//55 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//53 .//MAD//punct//50
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Totala resursförbrukningen;Ökningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//58 förklaras//VB|PRS|SFO//parataxis//50 åtminstone//AB//advmod//60 delvis//AB//advmod//58 av//PP//case//63 tillkommande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 uppgifter//NN|UTR|PLU|IND|NOM//obl//58 i//PP//case//65 exportkontrollen//NN|UTR|SIN|DEF|NOM//nmod//63 för//PP//case//68 Jordbruksverkets//PM|GEN//nmod:poss//68 räkning//NN|UTR|SIN|IND|NOM//nmod//65 .//MAD//punct//50

6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;I//PP//case//4 de//DT|UTR/NEU|PLU|DEF//det//4 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 fyra//RG|NOM//nummod//4 kapitlen//NN|NEU|PLU|DEF|NOM//obl//5 finns//VB|PRS|SFO//ROOT//5 en//DT|UTR|SIN|IND//det//7 utvärdering//NN|UTR|SIN|IND|NOM//nsubj//5 av//PP//case//10 Tullverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 klarering//NN|UTR|SIN|IND|NOM//nmod//7 ,//MID//punct//12 gränskontroll//NN|UTR|SIN|IND|NOM//conj//10 och//KN//cc//14 resursallokering//NN|UTR|SIN|IND|NOM//conj//10 .//MID//punct//5
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;De//DT|UTR/NEU|PLU|DEF//det//17 slutsatser//NN|UTR|PLU|IND|NOM//parataxis//5 som//HP|-|-|-//obj//20 vi//PN|UTR|PLU|DEF|SUB//nsubj//20 drar//VB|PRS|AKT//acl:relcl//17 av//PP//case//22 utvärderingen//NN|UTR|SIN|DEF|NOM//obl//20 är//VB|PRS|AKT//cop//17 ://MAD//punct//5
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Helhetssynen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 behöver//VB|PRS|AKT//aux//2 utvecklas//VB|INF|SFO//ROOT//2
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Den//DT|UTR|SIN|DEF//det//2 interna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 resursfördelningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 behöver//VB|PRS|AKT//aux//4 utvecklas//VB|INF|SFO//ROOT//4
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Strategiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 utvecklingsprojekt//NN|NEU|PLU|IND|NOM//nsubj:pass//3 bör//VB|PRS|AKT//aux//3 ledas//VB|INF|SFO//ROOT//3 med//PP//case//7 en//DT|UTR|SIN|IND//det//7 fastare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 hand//NN|UTR|SIN|IND|NOM//obl//3 från//PP//case//9 Generaltullstyrelsen//PM|NOM//nmod//7
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Generaltullstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 roll//NN|UTR|SIN|IND|NOM//ROOT//1 som//HP|-|-|-//nsubj:pass//6 strategiskt//JJ|POS|NEU|SIN|IND|NOM//amod//4 ledningsorgan//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 behöver//VB|PRS|AKT//aux//6 utvecklas//VB|INF|SFO//acl:relcl//1
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//5 helhetssynen//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 behöver//VB|PRS|AKT//aux//5 utvecklas//VB|INF|SFO//ccomp//1 ,//MID//punct//5 vilket//HP|NEU|SIN|IND//nsubj//8 anknyter//VB|PRS|AKT//appos//5 till//PP//case//10 svårigheterna//NN|UTR|PLU|DEF|NOM//obl//8 att//IE//mark//12 prioritera//VB|INF|AKT//advcl//8 rätt//PL//advmod//12 .//MID//punct//1
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 innebär//VB|PRS|AKT//parataxis//1 att//SN//mark//19 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//19 behövs//VB|PRS|SFO//ccomp//16 en//DT|UTR|SIN|IND//det//21 strategi//NN|UTR|SIN|IND|NOM//nsubj:pass//19 för//PP//mark//24 att//IE//mark//24 prioritera//VB|INF|AKT//advcl//19 resurserna//NN|UTR|PLU|DEF|NOM//obj//24 rätt//AB//advmod//24 .//MAD//punct//1
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 märks//VB|PRS|SFO//ROOT//1 på//PP//case//4 såväl//KN//advmod//4 kontroll//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//6 underrättelse//NN|UTR|SIN|IND|NOM//conj//4 som//HP|-|-|-//mark//9 för//PP//case//9 klarering//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//11 revision//NN|UTR|SIN|IND|NOM//conj//9 .//MAD//punct//1
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 finns//VB|PRS|SFO//parataxis//1 en//DT|UTR|SIN|IND//det//16 vilja//NN|UTR|SIN|IND|NOM//nsubj//14 hos//PP//case//19 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 byråer//NN|UTR|PLU|IND|NOM//obl//14 att//IE//mark//21 medverka//VB|INF|AKT//acl//19 i//PP//case//23 prioriteringen//NN|UTR|SIN|DEF|NOM//obl//21 men//KN//cc//28 enligt//PP//case//27 vår//PS|UTR|SIN|DEF//nmod:poss//27 uppfattning//NN|UTR|SIN|IND|NOM//obl//28 tyngs//VB|PRS|SFO//conj//21 den//DT|UTR|SIN|DEF//det//31 centrala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 ledningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//28 alltför//AB//advmod//33 mycket//AB|POS//advmod//28 av//PP//case//37 rent//AB|POS//advmod//36 operativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 uppgifter//NN|UTR|PLU|IND|NOM//obl//28 ,//MID//punct//37 som//HP|-|-|-//nsubj//43 egentligen//AB//advmod//43 är//VB|PRS|AKT//cop//43 en//DT|UTR|SIN|IND//det//43 del//NN|UTR|SIN|IND|NOM//acl:relcl//37 av//PP//case//45 produktionen//NN|UTR|SIN|DEF|NOM//nmod//43 .//MID//punct//14
6. Utvärdering av verksamheten åren 1993/94 – 1997 / Slutsatser av utvärderingen – helhetssynen behöver utvecklas;Så//AB//advmod//48 långt//AB|POS//advmod//51 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 är//VB|PRS|AKT//cop//51 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//58 och//KN//cc//53 rimligt//JJ|POS|NEU|SIN|IND|NOM//conj//51 bör//VB|PRS|AKT//aux//58 därför//AB//advmod//58 operativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//58 föras//VB|INF|SFO//conj//14 över//PL//compound:prt//58 till//PP//case//63 den//DT|UTR|SIN|DEF//det//63 regionala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 nivån//NN|UTR|SIN|DEF|NOM//obl//58 .//MAD//punct//1
