
6.1 Utsläpp av växthusgaser i Sverige;Sveriges//PM|GEN//nmod:poss//1 utsläpp//NN|NEU|SIN|IND|NOM//nsubj:pass//4 av//PP//case//3 växthusgaser//NN|UTR|PLU|IND|NOM//nmod//1 rapporteras//VB|PRS|SFO//ROOT//4 årligen//AB//advmod//4 till//PP//case//8 bl.a.//AB|AN//advmod//8 FN//PM|NOM//obl//4 ://MID//punct//8 s//PM|NOM//nummod//11 klimatkonvention//NN|UTR|SIN|IND|NOM//obl//4 (//PAD//punct//11 UNFCCC//PM|NOM//appos//11 )//PAD//punct//11 .//MAD//punct//4
6.1 Utsläpp av växthusgaser i Sverige;Rapporteringen//NN|UTR|SIN|DEF|NOM//nsubj//17 ligger//VB|PRS|AKT//conj//4 till//PP//case//21 grund//NN|UTR|SIN|IND|NOM//fixed//18 för//PP//fixed//18 bedömning//NN|UTR|SIN|IND|NOM//obl//17 av//PP//mark//25 hur//HA//advmod//25 Sverige//PM|NOM//nsubj//25 klarar//VB|PRS|AKT//acl//21 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//27 åtaganden//NN|NEU|PLU|IND|NOM//obj//25 enligt//PP//case//29 konventionen//NN|UTR|SIN|DEF|NOM//obl//25 .//MAD//punct//17
6.1 Utsläpp av växthusgaser i Sverige;Utsläppsinventeringen//NN|UTR|SIN|DEF|NOM//nsubj//32 följer//VB|PRS|AKT//parataxis//17 riktlinjer//NN|UTR|PLU|IND|NOM//obj//32 framtagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//32 av//PP//case//37 Intergovernmental//PM|NOM//nmod//37 Panel//PM|NOM//obl//34 of//UO//case//40 Climate//PM|NOM//nmod//40 Change//PM|NOM//nmod//37 (//PAD//punct//37 IPCC//PM|NOM//appos//37 )//PAD//punct//37 för//PP//case//45 rapportering//NN|UTR|SIN|IND|NOM//obl//34 till//PP//case//47 klimatkonventionen//NN|UTR|SIN|DEF|NOM//nmod//45 .//MAD//punct//17
6.1 Utsläpp av växthusgaser i Sverige;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//50 står//VB|PRS|AKT//parataxis//17 dock//AB//advmod//50 länderna//NN|NEU|PLU|DEF|NOM//nsubj//50 fritt//AB|POS//advmod//50 att//IE//mark//55 använda//VB|INF|AKT//advcl//50 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//57 metodik//NN|UTR|SIN|IND|NOM//obj//55 för//PP//case//59 beräkningar//NN|UTR|PLU|IND|NOM//obl//55 bara//AB//advmod//63 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//63 är//VB|PRS|AKT//cop//63 dokumenterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//50 och//KN//cc//65 går//VB|PRS|AKT//conj//63 att//IE//mark//67 granska//VB|INF|AKT//xcomp//65 .//MAD//punct//17
6.1 Utsläpp av växthusgaser i Sverige;De//DT|UTR/NEU|PLU|DEF//nsubj//2 mänskligt//AB|POS//advmod//2 betingade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nsubj//14 (//PAD//punct//2 antropogena//NN|NEU|PLU|DEF|NOM//appos//2 )//PAD//punct//4 utsläpp//NN|NEU|PLU|IND|NOM//obj//2 av//PP//case//8 växthusgaser//NN|UTR|PLU|IND|NOM//nmod//6 som//HP|-|-|-//nsubj//10 ingår//VB|PRS|AKT//acl:relcl//8 i//PP//case//12 Kyotoprotokollet//NN|NEU|SIN|DEF|NOM//obl//10 är//VB|PRS|AKT//cop//14 koldioxid//NN|UTR|SIN|IND|NOM//ROOT//14 (//PAD//punct//16 CO//NN|AN//appos//14 )//PAD//punct//16 ,//MID//punct//19 metan//NN|UTR|SIN|IND|NOM//conj//14 (//PAD//punct//19 CH//PM|NOM//nummod//19 )//PAD//punct//19 ,//MID//punct//24 dikväveoxid//NN|UTR|SIN|IND|NOM//conj//14 (//PAD//punct//24 N//PM|NOM//nmod//24 O//NN|AN//flat:name//26 )//PAD//punct//24 ,//MID//punct//32 ofullständigt//AB|POS//advmod//31 halogenerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//32 fluorkarboner//NN|UTR|PLU|IND|NOM//conj//14 (//PAD//punct//32 HFC//PM|NOM//appos//32 )//PAD//punct//34 ,//MID//punct//37 fluorkarboner//NN|UTR|PLU|IND|NOM//conj//32 (//PAD//punct//37 FC//PM|NOM//nmod//37 )//PAD//punct//37 och//KN//cc//42 svavelhexafluorid//NN|UTR|SIN|IND|NOM//conj//32 (//PAD//punct//42 SF//PM|NOM//appos//42 )//PAD//punct//42 .//MAD//punct//32
6.1 Utsläpp av växthusgaser i Sverige;Utsläppen//NN|NEU|PLU|DEF|NOM//nsubj:pass//48 redovisas//VB|PRS|SFO//conj//14 enligt//PP//case//50 IPCC//PM|NOM//obl//48 ://MID//punct//50 s//NN|AN//nummod//53 riktlinjer//NN|UTR|PLU|IND|NOM//obl//48 .//MID//punct//14
6.1 Utsläpp av växthusgaser i Sverige;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj:pass//56 reviderades//VB|PRT|SFO//parataxis//14 senast//AB|SUV//case//58 1996//RG|NOM//obl//56 i//PP//case//60 fråga//NN|UTR|SIN|IND|NOM//obl//56 om//PP//compound:prt//56 bl.a.//AB|AN//advmod//63 metoder//NN|UTR|PLU|IND|NOM//obl//56 för//PP//case//65 beräkning//NN|UTR|SIN|IND|NOM//nmod//63 av//PP//case//67 metan//NN|UTR|SIN|IND|NOM//nmod//65 och//KN//cc//69 dikväveoxid//NN|UTR|SIN|IND|NOM//conj//67 från//PP//case//71 jordbruk//NN|NEU|SIN|IND|NOM//nmod//69 .//MAD//punct//14
6.1 Utsläpp av växthusgaser i Sverige;I//PP//case//2 Tabell//NN|UTR|SIN|IND|NOM//nmod//2 6.1//RG|NOM//obl//3 redovisas//VB|PRS|SFO//ROOT//3 de//DT|UTR/NEU|PLU|DEF//det//6 dominerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 utsläppskällorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//3 av//PP//case//8 växthusgaser//NN|UTR|PLU|IND|NOM//nmod//6 i//PP//case//10 Sverige//PM|NOM//nmod//8 .//MAD//punct//3
6.1 Utsläpp av växthusgaser i Sverige;Utsläpp//NN|NEU|PLU|IND|NOM//nsubj//20 från//PP//case//2 bränslen//NN|NEU|PLU|IND|NOM//nmod//0 som//HP|-|-|-//nsubj:pass//4 sålts//VB|SUP|SFO//acl:relcl//2 i//PP//case//6 Sverige//PM|NOM//obl//4 för//PP//case//8 användning//NN|UTR|SIN|IND|NOM//obl//4 inom//PP//case//11 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//11 sjö-//NN|UTR|-|-|SMS//nmod//8 och//KN//cc//13 luftfart//NN|UTR|SIN|IND|NOM//conj//11 (//PAD//punct//0 så//AB//advmod//16 kallad//PC|PRF|UTR|SIN|IND|NOM//amod//18 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//18 bunkring//NN|UTR|SIN|IND|NOM//appos//0 )//PAD//punct//0 ingår//VB|PRS|AKT//ROOT//20 enligt//PP//case//24 klimatkonventionens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 riktlinjer//NN|UTR|PLU|IND|NOM//obl//20 inte//AB//advmod//20 i//PP//case//29 det//DT|NEU|SIN|DEF//det//29 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 åtagandet//NN|NEU|SIN|DEF|NOM//obl//20 och//KN//cc//32 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//32 redovisas//VB|PRS|SFO//conj//20 därför//AB//advmod//34 separat//AB|POS//advmod//32 .//MAD//punct//32
