i lokal och regional kollektivtrafik;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0
i lokal och regional kollektivtrafik;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0

Till statsrådet Åsa Torstensson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 5//RO|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 2008//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 lämna//VB|INF|AKT//acl//12 förslag//NN|NEU|SIN|IND|NOM//obj//14 till//PP//case//19 en//DT|UTR|SIN|IND//det//19 ny//JJ|POS|UTR|SIN|IND|NOM//amod//19 reglering//NN|UTR|SIN|IND|NOM//nmod//15 av//PP//case//25 den//DT|UTR|SIN|DEF//det//25 lokala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 och//KN//cc//24 regionala//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//22 kollektivtrafiken//NN|UTR|SIN|DEF|NOM//nmod//19 ,//MID//punct//29 inklusive//PP//case//29 förstärkta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//29 rättigheter//NN|UTR|PLU|IND|NOM//obl//14 för//PP//case//31 resenärerna//NN|UTR|PLU|DEF|NOM//nmod//29 .//MAD//punct//1
Till statsrådet Åsa Torstensson;Generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//1 Ulf//PM|NOM//nsubj:pass//3 Lundin//PM|NOM//flat:name//1 förordnades//VB|PRT|SFO//ROOT//3 från//PP//case//9 och//KN//fixed//4 med//PP//fixed//4 den//DT|UTR|SIN|DEF//det//9 5//RO|NOM//nummod//9 juni//NN|UTR|SIN|IND|NOM//obl//3 2008//RG|NOM//nummod//9 som//KN//case//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 utredare//NN|UTR|SIN|IND|NOM//appos//9 .//MAD//punct//3
Till statsrådet Åsa Torstensson;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 17//RG|NOM//nummod//10 juni//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//10 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//13 Ulf//PM|NOM//appos//10 Andersson//PM|NOM//flat:name//13 ,//MID//punct//13 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 direktören//NN|UTR|SIN|DEF|NOM//nmod//18 Lars-Börje//PM|NOM//conj//13 Björfjäll//PM|NOM//flat:name//18 ,//MID//punct//13 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//22 Susanne//PM|NOM//appos//13 Fahlgren//PM|NOM//flat:name//22 ,//MID//punct//26 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 Anna//PM|NOM//conj//13 Förander//PM|NOM//flat:name//26 ,//MID//punct//13 förbundsdirektören//NN|UTR|SIN|DEF|NOM//nmod//30 Anna//PM|NOM//conj//13 Grönlund//PM|NOM//flat:name//30 ,//MID//punct//30 förbundsordföranden//NN|UTR|SIN|DEF|NOM//nmod//34 Lennart//PM|NOM//flat:name//13 Hamnered//PM|NOM//flat:name//34 ,//MID//punct//37 kommunalrådet//NN|NEU|SIN|DEF|NOM//conj//10 Eva//PM|NOM//nsubj//37 Hellstrand//PM|NOM//flat//38 ,//MID//punct//42 juristen//NN|UTR|SIN|DEF|NOM//nmod//42 Henrik//PM|NOM//conj//10 Hoffmeister//PM|NOM//flat:name//42 ,//MID//punct//42 generalsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//46 Kurt//PM|NOM//conj//10 Hultgren//PM|NOM//flat:name//46 ,//MID//punct//46 planeraren//NN|UTR|SIN|DEF|NOM//nmod//50 Margareta//PM|NOM//appos//10 Husfeldt//PM|NOM//flat:name//50 ,//MID//punct//50 regionfullmäktigeledamoten//NN|UTR|SIN|DEF|NOM//nmod//54 Birgitta//PM|NOM//nmod//50 Johansson//PM|NOM//flat:name//54 ,//MID//punct//50 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//58 Irene//PM|NOM//appos//50 Oskarsson//PM|NOM//flat:name//58 ,//MID//punct//50 ämnessakkunnige//JJ|POS|MAS|SIN|DEF|NOM//advmod//62 Johan//PM|NOM//appos//50 Schelin//PM|NOM//flat//62 och//KN//cc//65 trafik-//NN|UTR|-|-|SMS//conj//63 och//KN//cc//67 planeringslandstingsrådet//NN|NEU|SIN|DEF|NOM//nmod//68 Christer//PM|NOM//nmod//69 G//PM|NOM//flat:name//62 Wennerholm//PM|NOM//flat:name//69 .//MAD//punct//4
Till statsrådet Åsa Torstensson;Huvudsekreterare//NN|UTR|SIN|IND|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 varit//VB|SUP|AKT//cop//9 Ann-Cathrine//PM|NOM//nsubj//9 Nilsson//PM|NOM//flat:name//3 och//KN//cc//6 sekreterare//NN|UTR|SIN|IND|NOM//conj//4 har//VB|PRS|AKT//aux//9 varit//VB|SUP|AKT//cop//9 Charlotte//PM|NOM//ROOT//9 Biörklund//PM|NOM//flat:name//9 Uggla//PM|NOM//flat:name//9 .//MAD//punct//9
Till statsrådet Åsa Torstensson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//8 en//DT|UTR|SIN|IND//det//8 ny//JJ|POS|UTR|SIN|IND|NOM//amod//8 kollektivtrafiklag//NN|UTR|SIN|IND|NOM//nmod//4 .//MAD//punct//4
Till statsrådet Åsa Torstensson;I//PP//case//11 maj//NN|UTR|SIN|IND|NOM//nmod//12 2009//RG|NOM//nmod//4 överlämnades//VB|PRT|SFO//conj//2 delbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//13 En//DT|UTR|SIN|IND//det//17 ny//JJ|POS|UTR|SIN|IND|NOM//amod//17 kollektivtrafiklag//NN|UTR|SIN|IND|NOM//nsubj:pass//13  //_SP////17 (//PAD//punct//17 SOU//PM|NOM//appos//17 2009:39//RG|NOM//nummod//20 )//PAD//punct//20 .//MID//punct//2
Till statsrådet Åsa Torstensson;Härmed//AB//advmod//25 överlämnas//VB|PRS|SFO//conj//2 slutbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//25 Lag//NN|UTR|SIN|IND|NOM//case//30 om//PP//fixed//27 resenärers//NN|UTR|PLU|IND|GEN//nmod:poss//30 rättigheter//NN|UTR|PLU|IND|NOM//obl//25 i//PP//case//32 lokal//JJ|POS|UTR|SIN|IND|NOM//nmod//30 och//KN//cc//34 regional//JJ|POS|UTR|SIN|IND|NOM//conj//32 kollektivtrafik//NN|UTR|SIN|IND|NOM//conj//32  //_SP////35 (//PAD//punct//30 SOU//PM|NOM//appos//30 2009:81//RG|NOM//nummod//38 )//PAD//punct//30 .//MAD//punct//2
Till statsrådet Åsa Torstensson;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 september//NN|UTR|SIN|IND|NOM//obl//0 2009//RG|NOM//nummod//2
