Till statsrådet Lars-Erik Lövdén ;NU//AB//conj//1 !//MID//punct//5
Till statsrådet Lars-Erik Lövdén ;(//PAD//punct//5 SOU//PM|NOM//appos//5 2001:75//RG|NOM//punct//8 )//PAD//punct//5 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Särskilt//AB//advmod//1 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//4 har//VB|PRS|AKT//aux//4 gemensamt//AB|POS//advmod//4 avgivits//VB|SUP|SFO//ROOT//4 av//PP//case//7 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//7 Eva//PM|NOM//obl:agent//4 Hjortendal-Hellman//PM|NOM//flat:name//7 ,//MID//punct//7 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//11 Uta//PM|NOM//compound//12 Bertram//PM|NOM//conj//7 ,//MID//punct//7 programchefen//NN|UTR|SIN|DEF|NOM//nmod//15 Margareta//PM|NOM//appos//7 Andersson//PM|NOM//flat:name//15 och//KN//cc//18 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//19 Barbro//PM|NOM//flat:name//7 Loogna//PM|NOM//flat:name//19 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Ett//DT|NEU|SIN|IND//det//3 gemensamt//AB|POS//advmod//2 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//3 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//6 har//VB|PRS|AKT//aux//6 också//AB//advmod//6 avgivits//VB|SUP|SFO//ROOT//6 av//PP//case//8 utredaren//NN|UTR|SIN|DEF|NOM//nmod//9 Bengt-Olof//PM|NOM//nsubj:pass//6 Knutsson//PM|NOM//flat:name//9 ,//MID//punct//13 controllern//NN|UTR|SIN|DEF|NOM//nmod//13 Peter//PM|NOM//conj//9 Andersson//PM|NOM//flat:name//13 och//KN//cc//16 chefekonomen//NN|UTR|SIN|DEF|NOM//conj//9 Jörgen//PM|NOM//flat:name//9 Öckinger//PM|NOM//flat:name//17 .//MAD//punct//6
Till statsrådet Lars-Erik Lövdén ;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//3 september//NN|UTR|SIN|IND|NOM//nmod//3 2001//RG|NOM//obl//0 .//MAD//punct//0
Till statsrådet Lars-Erik Lövdén ;Håkan//PM|NOM//ROOT//0 Sörman//PM|NOM//flat:name//0 /Kristina//RG|NOM//cc//3 Stig//PM|NOM//conj//0
Till statsrådet Lars-Erik Lövdén ;Bo//PM|NOM//ROOT//0 Gertsson//PM|NOM//flat//0
Till statsrådet Lars-Erik Lövdén ;Tore//PM|NOM//ROOT//0 Melin//PM|NOM//flat:name//0

Utredarens förord;Vård//NN|UTR|SIN|IND|NOM//nsubj//5 ,//MID//punct//2 skola//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//4 omsorg//NN|UTR|SIN|IND|NOM//conj//0 berör//VB|PRS|AKT//ROOT//5 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 Sveriges//PM|GEN//nmod:poss//8 befolkning//NN|UTR|SIN|IND|NOM//obj//5 .//MAD//punct//5
Utredarens förord;Kommunerna//NN|UTR|PLU|DEF|NOM//nsubj//13 och//KN//cc//12 landstingen//NN|NEU|PLU|DEF|NOM//conj//10 har//VB|PRS|AKT//parataxis//5 ansvaret//NN|NEU|SIN|DEF|NOM//obj//13 för//PP//mark//19 att//SN//mark//19 omsorgen//NN|UTR|SIN|DEF|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 god//JJ|POS|UTR|SIN|IND|NOM//advcl//13 ,//MID//punct//19 att//SN//mark//26 vården//NN|UTR|SIN|DEF|NOM//nsubj//26 och//KN//cc//24 skolan//NN|UTR|SIN|DEF|NOM//conj//22 är//VB|PRS|AKT//cop//26 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//19 .//MAD//punct//13
Utredarens förord;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//29 ansvarar//VB|PRS|AKT//parataxis//13 också//AB//advmod//29 för//PP//case//32 gator//NN|UTR|PLU|IND|NOM//obl//29 ,//MID//punct//34 vägar//NN|UTR|PLU|IND|NOM//conj//32 ,//MID//punct//36 värme//NN|UTR|SIN|IND|NOM//conj//32 ,//MID//punct//38 energi//NN|UTR|SIN|IND|NOM//conj//32 och//KN//cc//41 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 frågor//NN|UTR|PLU|IND|NOM//conj//32 som//HP|-|-|-//nsubj//44 direkt//AB|POS//advmod//44 påverkar//VB|PRS|AKT//acl:relcl//41 medborgarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//46 vardag//NN|UTR|SIN|IND|NOM//obj//44 .//MAD//punct//5
Utredarens förord;Kommunsektorns//NN|UTR|SIN|DEF|GEN//nmod:poss//1 ansvar//NN|NEU|SIN|IND|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 resurskrävande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//3 .//MAD//punct//6
Utredarens förord;En//DT|UTR|SIN|IND//det//6 femtedel//NN|UTR|SIN|IND|NOM//parataxis//3 av//PP//case//9 Sveriges//PM|GEN//nmod:poss//9 bruttonationalprodukt//NN|UTR|SIN|IND|NOM//nmod//6 är//VB|PRS|AKT//cop//12 att//IE//mark//12 hänföra//VB|INF|AKT//conj//3 till//PP//case//14 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//12 .//MAD//punct//3
Utredarens förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 ligger//VB|PRS|AKT//parataxis//3 i//PP//case//20 allas//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//20 intresse//NN|NEU|SIN|IND|NOM//obl//17 att//SN//mark//23 resurserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//23 används//VB|PRS|SFO//advcl//17 på//PP//case//26 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//26 sätt//NN|NEU|SIN|IND|NOM//obl//23 .//MAD//punct//17
Utredarens förord;Många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//1 arbetar//VB|PRS|AKT//ROOT//1 med//PP//case//3 styrningen//NN|UTR|SIN|DEF|NOM//obl//1 av//PP//case//7 de//DT|UTR/NEU|PLU|DEF//det//7 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 verksamheterna//NN|UTR|PLU|DEF|NOM//nmod//3 .//MAD//punct//1
Utredarens förord;Kommunledningarna//NN|UTR|PLU|DEF|NOM//nsubj//18 och//KN//cc//12 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//12 staber//NN|UTR|PLU|IND|NOM//conj//9 liksom//PP//mark//14 staten//NN|UTR|SIN|DEF|NOM//acl//12 och//KN//cc//17 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//17 myndigheter//NN|UTR|PLU|IND|NOM//conj//14 ansvarar//VB|PRS|AKT//parataxis//1 för//PP//case//20 styrningen//NN|UTR|SIN|DEF|NOM//obl//18 av//PP//case//22 kommunsektorn//NN|UTR|SIN|DEF|NOM//nmod//20 .//MAD//punct//1
Utredarens förord;Ytterst//AB|SUV//advmod//27 är//VB|PRS|AKT//cop//27 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//27 medborgarna//NN|UTR|PLU|DEF|NOM//parataxis//1 som//HP|-|-|-//nsubj:pass//29 styr//VB|PRS|AKT//acl:relcl//27 genom//PP//case//33 det//DT|NEU|SIN|DEF//det//33 demokratiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 systemet//NN|NEU|SIN|DEF|NOM//obl//29 .//MAD//punct//27
Utredarens förord;Styrning//NN|UTR|SIN|IND|NOM//nsubj//1 kräver//VB|PRS|AKT//ROOT//1 information//NN|UTR|SIN|IND|NOM//obj//1 .//MAD//punct//1
