Statens roll i framtidens vård- och omsorgssystem;–//RG|NOM//punct//2 en//DT|UTR|SIN|IND//det//2 kartläggning//NN|UTR|SIN|IND|NOM//ROOT//2
Statens roll i framtidens vård- och omsorgssystem;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//3 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 vård-//NN|UTR|-|-|SMS//nmod//0 och//KN//cc//5 omsorgsutredning//NN|UTR|SIN|IND|NOM//conj//3
Statens roll i framtidens vård- och omsorgssystem;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Till statsrådet och chefen för Socialdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 27//RG|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obj//1 2011//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//advcl//7 över//PL//case//18 de//DT|UTR/NEU|PLU|DEF//det//18 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 delarna//NN|UTR|PLU|DEF|NOM//obl//14 av//PP//case//20 vård-//NN|UTR|-|-|SMS//nmod//18 och//KN//cc//22 omsorgssystemet//NN|NEU|SIN|DEF|NOM//conj//20 .//MAD//punct//1
Till statsrådet och chefen för Socialdepartementet;Tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 VD//NN|AN//ROOT//1 ://MID//punct//1 n//NN|NEU|SIN|IND|NOM//appos//1 för//PP//case//5 Apoteket//NN|NEU|SIN|DEF|NOM//nmod//3 AB//PM|NOM//flat//5 ,//MID//punct//8 Stefan//PM|NOM//nsubj:pass//11 Carlsson//PM|NOM//flat:name//8 ,//MID//punct//8 förordnades//VB|PRT|SFO//parataxis//1 att//IE//mark//15 vara//VB|INF|AKT//cop//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//xcomp//11 .//MAD//punct//1
Till statsrådet och chefen för Socialdepartementet;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 24//RG|NOM//nummod//7 mars//NN|UTR|SIN|IND|NOM//nmod:poss//8 ämnesråden//NN|UTR|SIN|DEF|NOM//nmod//9 Per//PM|NOM//nsubj//4 Aldskogius//PM|NOM//flat//9 ,//MID//punct//9 Maria//PM|NOM//appos//9 Renström//PM|NOM//flat:name//12 ,//MID//punct//15 Mats//PM|NOM//conj//9 Nilsson//PM|NOM//flat:name//15 samt//KN//cc//19 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//19 Pontus//PM|NOM//conj//9 Johansson//PM|NOM//flat:name//19 .//MAD//punct//4
Till statsrådet och chefen för Socialdepartementet;Den//DT|UTR|SIN|DEF//det//24 30//RG|NOM//nummod//24 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//25 förordnades//VB|PRT|SFO//parataxis//4 som//KN//mark//27 experter//NN|UTR|PLU|IND|NOM//xcomp//25 i//PP//case//29 utredningen//NN|UTR|SIN|DEF|NOM//nmod//27 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//31 Åsa//PM|NOM//nmod//40 Himmelsköld//PM|NOM//flat:name//31 vid//PP//case//34 SKL//PM|NOM//nmod//31 ,//MID//punct//36 direktören//NN|UTR|SIN|DEF|NOM//conj//31 i//PP//case//39 Stockholms//PM|GEN//nmod:poss//39 stad//NN|UTR|SIN|IND|NOM//nmod//36 Carina//PM|NOM//dep//4 Lundberg//PM|NOM//flat:name//40 Uudelepp//PM|NOM//flat//40 ,//MID//punct//44 hälso-//NN|UTR|-|-|SMS//conj//40 och//KN//cc//46 sjukvårdsdirektören//NN|UTR|SIN|DEF|NOM//conj//40 i//PP//case//49 Landstinget//NN|NEU|SIN|DEF|NOM//nmod//49 Östergötland//PM|NOM//obl//4 Lena//PM|NOM//dep//4 Lundgren//PM|NOM//flat:name//50 samt//KN//cc//54 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 direktören//NN|UTR|SIN|DEF|NOM//conj//4 för//PP//case//57 Aleris//PM|NOM//amod//57 Stanley//PM|NOM//nmod//54 Brodén//PM|NOM//flat:name//57 .//MAD//punct//4
Till statsrådet och chefen för Socialdepartementet;Huvudsekreterare//NN|UTR|SIN|IND|NOM//nsubj//1 har//VB|PRS|AKT//aux//36 från//PP//case//5 den//DT|UTR|SIN|DEF//det//4 1//RO|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nmod//8 varit//VB|SUP|AKT//cop//8 Anders//PM|NOM//nmod:poss//8 Åhlund//PM|NOM//obj//1 .//MAD//punct//8
Till statsrådet och chefen för Socialdepartementet;Sekreterare//NN|UTR|SIN|IND|NOM//nsubj//13 i//PP//case//12 utredningen//NN|UTR|SIN|DEF|NOM//nmod//10 har//VB|PRS|AKT//conj//1 från//PP//case//17 den//DT|UTR|SIN|DEF//det//17 1//RO|NOM//nummod//17 mars//NN|UTR|SIN|IND|NOM//obl//13 varit//VB|SUP|AKT//conj//1 Sören//PM|NOM//obj//1 Berg//PM|NOM//flat:name//19 och//KN//cc//22 Hanna//PM|NOM//conj//19 André//PM|NOM//flat//22 .//MAD//punct//1
Till statsrådet och chefen för Socialdepartementet;Sedan//PP//mark//30 den//DT|UTR|SIN|DEF//det//28 1//RO|NOM//nummod//28 maj//NN|UTR|SIN|IND|NOM//obl//30 2011//RG|NOM//nummod//28 har//VB|PRS|AKT//aux//36 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//36 i//PP//case//34 Statskontoret//NN|NEU|SIN|DEF|NOM//nmod//34 Maria//PM|NOM//nmod//31 Karanta//PM|NOM//flat//34 deltagit//VB|SUP|AKT//ROOT//36 i//PP//case//39 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 arbete//NN|NEU|SIN|IND|NOM//obl//36 som//KN//case//42 s.k.//AB|AN//amod//42 stabsbiträde//NN|NEU|SIN|IND|NOM//obl//36 .//MAD//punct//36
