%LODJD .RQVXOWUDSSRUW;LNUDIWWUlGDQGHW//KN//ROOT//0 DY//PM|NOM//nsubj//0 PLOM|EDONHQ//NN|AN//flat:name//1 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//5 628//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//5 WLOO//PM|NOM//nmod//8 628//RG|NOM//appos//5

,QQHKnOO;6DPPDQIDWWQLQJ//RG|NOM//nummod//6 )//PAD//punct//0 |UXWVlWWQLQJDUQD//NN|UTR|SIN|IND|NOM//discourse//6 .RQFHSWHW//MAD//punct//2 .XUVHU//MAD//punct//2 2PIDWWQLQJ//PAD//nsubj//6 8SSOlJJQLQJ//RG|NOM//ROOT//6 .XUVPDWHULDO//MAD//punct//6 5HJLRQDOD//AB|AN//nummod//10 NXUVDQRUGQDUH//PM|NOM//nsubj//10 /lUDUH//RG|NOM//appos//6 ,//MID//punct//14 QIRUPDWLRQ)|UVODJ//PM|NOM//nsubj//14 WLOO//PM|NOM//flat//12 I|UElWWULQJDU//PL//conj//10 .RQVXOWUDSSRUW//MID//punct//14 WLOO//PM|NOM//nmod//17 628//RG|NOM//nmod//14

6DPPDQIDWWQLQJ (1);.RQVXOWUDSSRUW//MID//punct//1 WLOO//PM|NOM//ROOT//1 628//RG|NOM//nummod//3 œ//NN|AN//nmod//1 œ//NN|AN//obl//1 .RQVXOWUDSSRUW//MID//punct//1 WLOO//PM|NOM//nmod//7 628//RG|NOM//parataxis//1

)|UXWVlWWQLQJDUQD;.RQVXOWUDSSRUW//MID//punct//6 WLOO//PM|NOM//nmod//2 628//RG|NOM//nummod//6 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//5 628//RG|NOM//nummod//6 0.U//RG|NOM//ROOT//6 œ//NN|AN//nmod//6 3ODQHUD//AB|AN//nmod//6 JHQRPI|UDQGHW//NN|AN//fixed//8 œ//NN|AN//fixed//8 8WYlUGHUD//RG|NOM//case//12 XWELOGQLQJHQ//PM|NOM//nmod//6 œ//NN|AN//nmod//6 .RQVXOWUDSSRUW//MID//punct//6 WLOO//PM|NOM//parataxis//6 628//RG|NOM//nummod//17 œ//NN|AN//nmod//15 0LOM|EDONVXWELOGQLQJHQ//RG|NOM//case//19 VND//NN|AN//nmod//17
)|UXWVlWWQLQJDUQD;LQWUHVVHRUJDQLVDWLRQHU//NN|UTR|SIN|IND|NOM//ROOT//0

.RQFHSWHW;.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2
.RQFHSWHW;LOOXVWUHUDV//PM|NOM//nmod//1 L//PM|NOM//ROOT//1 ILJXU//PM|NOM//flat:name//1 '//PAD//punct//4 HSDUWHPHQW//PM|NOM//appos//1 .XUVPDWHULDO//MAD//punct//4 *//MID//punct//8 UN//PM|NOM//nummod//8 g.//NN|AN//conj//1 .DQVOL//MID//punct//8 .RPPXQHU//RG|NOM//punct//1 /lQVVW\UHOVHU//MID//cc//12 .RPPLWWp//MID//conj//1 .XUVPDWHULDO//MID//punct//1 )//PAD//punct//1 |UGM//VB|IMP|AKT//punct//18 NXUVHU//PM|NOM//nsubj//18 /lUDUNXUVHU//RG|NOM//nmod//16 /lUDUH//RG|NOM//conj//1 (//PAD//punct//18 OHYNXUVHU//PM|NOM//appos//18 (//PAD//punct//22 OHYHU//PM|NOM//appos//20 '//PAD//punct//24 LUHNWLY//PM|NOM//conj//20 )//PAD//punct//20 |UHWDJ//PP//punct//18 .RQVXOWHU//MID//punct//18 .RQVXOWUDSSRUW//MID//punct//18 WLOO//PM|NOM//nmod//30 628//RG|NOM//appos//18 .RQVXOWUDSSRUW//MID//punct//30 WLOO//PM|NOM//nmod//33 628//RG|NOM//nmod//30 3ULRULWHULQJ//AB|AN//flat:name//33 .RQVXOWUDSSRUW//MID//punct//30 WLOO//PM|NOM//nmod//37 628//RG|NOM//appos//30 .RVWQDGHU//MID//punct//18 œ//NN|AN//case//40 LQIRUPDWLRQVPDWHULDO//PM|NOM//obl//1 œ//PM|NOM//case//42 KHPVLGD//PM|NOM//obl//1 œ//NN|AN//nmod//44 XWYlUGHULQJ//RG|NOM//obl//1 .RQVXOWUDSSRUW//MID//punct//1 WLOO//PM|NOM//nmod//47 628//RG|NOM//appos//1

.XUVHU;œ//NN|AN//ROOT//0 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//3 628//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//3 WLOO//PM|NOM//nmod//6 628//RG|NOM//appos//3 .RQVXOWUDSSRUW//MID//punct//3 WLOO//PM|NOM//nmod//9 628//RG|NOM//nmod//3 6OXWVDWVHU//NN|AN//nummod//3

2PIDWWQLQJ;8WIDOO//MID//nsubj//34 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//3 628//RG|NOM//nummod//4 7lFNQLQJ//RG|NOM//nmod//5 0DUNQDGVI|ULQJ//RG|NOM//appos//0 .RQVXOWUDSSRUW//MAD//punct//0 WLOO//PM|NOM//amod//16 628//RG|NOM//nummod//7 1lULQJVOLYHW//RG|NOM//nmod//7 .RQVXOWUDSSRUW//MID//punct//7 WLOO//PM|NOM//obl//13 628//RG|NOM//nummod//13 $//NN|NEU|PLU|IND|NOM//nmod//7 QSDVVQLQJ//PM|NOM//obl//15 WLOO//PM|NOM//nmod//7 PnOJUXSSHU//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//16 WLOO//PM|NOM//appos//0 628//RG|NOM//nummod//18 6OXWVDWVHU//NN|AN//nmod//18 œ//NN|AN//nmod//18 œ//NN|AN//conj//0 .RPPXQDOD//MAD//punct//0 I|UYDOWQLQJVFKHIHU//PM|NOM//case//25 RFK//PM|NOM//nsubj//29 NRPPXQDOD//NN|UTR|SIN|IND|NOM//nmod//25 YHUNVDPKHWVXW|YDUH//NN|AN//amod//28 KDU//PM|NOM//nmod//25 LQWH//PM|NOM//appos//0 QnWWV//RG|NOM//nmod//31 L//NN|AN//dep//29 WLOOUlFNOLJ//PAD//obl//33 XWVWUlFNQLQJ//PAD//nmod//0 bYHQ//NN|AN//nmod//35 EODQG//PM|NOM//nsubj//40 GHVVD//PM|NOM//case//39 JUXSSHU//PM|NOM//flat//36 NDQ//PM|NOM//nmod//39 GHW//PM|NOM//nmod//35 ILQQDV//PM|NOM//ROOT//40 XWU\PPH//RG|NOM//advmod//40 I|U//PM|NOM//amod//43 IRUWVDWW//PM|NOM//obl//40 XWELOGQLQJ//PM|NOM//nmod//45 L//NN|NEU|SIN|IND|NOM//nmod//43 |YHUVLNWVNXUVHU//RG|SMS//flat//45 œ//NN|AN//obl//40

8SSOlJJQLQJ;*//MID//punct//2 UXQGNXUV//PM|NOM//nmod//2 RFK//PM|NOM//ROOT//2 |YHUVLNWVNXUV//NN|UTR|SIN|IND|NOM//conj//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//6 628//RG|NOM//appos//2 )//PAD//punct//2 |UGMXSQLQJVNXUVHU//NN|UTR|SIN|DEF|GEN//conj//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//11 628//RG|NOM//appos//2 (//PAD//punct//11 QKHWOLJKHW//PM|NOM//nmod:poss//15 RFK//PM|NOM//flat//13 VDPV\Q//AB|AN//appos//11 .RQVXOWUDSSRUW//MID//punct//11 WLOO//PM|NOM//nmod//18 628//RG|NOM//nummod//19 $//NN|AN//obl//20 QSDVVQLQJ//PM|NOM//nmod//11 DY//PM|NOM//flat//20 RULHQWHULQJVNXUVHQ//PM|NOM//flat//20 7XURUGQLQJ//MID//flat//20 .RQVXOWUDSSRUW//MID//punct//11 WLOO//PM|NOM//nmod//26 628//RG|NOM//nmod//11 6OXWVDWVHU//NN|AN//flat:name//26 œ//NN|AN//conj//2

.XUVPDWHULDO;.RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//2 628//RG|NOM//nummod//4 5HNU\WHULQJ//NN|UTR|PLU|IND|NOM//flat:name//2 œ//NN|AN//ROOT//4 0LOM|GHSDUWHPHQWHW//RG|NOM//case//4 œ//NN|AN//obl//4 1DWXUYnUGVYHUNHW//NN|NEU|SIN|IND|NOM//obl//4 œ//NN|NEU|SIN|IND|NOM//nummod//4 .HPLNDOLHLQVSHNWLRQHQ//RG|NOM//punct//4 œ//NN|AN//punct//4 6RFLDOVW\UHOVHQ//RG|NOM//det//14 œ//NN|AN//fixed//11 %//NN|AN//nmod//14 RYHUNHW//PM|NOM//conj//4 œ//PM|NOM//nmod//14 5LNVDQWLNYDULHlPEHWHW//NN|UTR|SIN|IND|NOM//nummod//15 œ//RG|NOM//nmod//15 -RUGEUXNVYHUNHW//MID//punct//4 œ//NN|AN//conj//4 /DQPlWHULYHUNHW//MID//punct//4 œ//NN|AN//nummod//4 9lJYHUNHW//RG|NOM//det//23 œ//NN|AN//obl//4 '//PAD//punct//25 RPVWROVYHUNHW//NN|UTR|SIN|IND|NOM//appos//4 œ//NN|NEU|SIN|IND|NOM//nmod//27 5LNVnNODJDUHQ//RG|NOM//nmod//25 œ//NN|AN//punct//4 3ROLVK|JVNRODQ//RG|NOM//obl//4 œ//NN|AN//obl//4 6YHQVND//NN|AN//nummod//4 .RPPXQI|UEXQGHW//MAD//punct//4 œ//NN|AN//obl//4 ,//MID//punct//33 QGXVWULI|UEXQGHW//NN|AN//nummod//4
