En etnologisk studie av hur det går till när man blir kommunalpolitiskt engagerad;Av//PP//case//1 Jan//PM|NOM//ROOT//1 Fredriksson//PM|NOM//flat//1
3.3 Engagemanget som sådant;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 var//VB|PRT|AKT//cop//25 ett//DT|NEU|SIN|IND//det//25 sätt//NN|NEU|SIN|IND|NOM//parataxis//2 att//IE//mark//27 träffa//VB|INF|AKT//acl//25 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 människor//NN|UTR|PLU|IND|NOM//obj//27 .//MAD//punct//25

3.4 Får något tillbaka;Även//AB//mark//6 om//SN//fixed//0 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//6 endast//AB//advmod//6 har//VB|PRS|AKT//aux//6 varit//VB|SUP|AKT//cop//6 politiker//NN|UTR|SIN|IND|NOM//obl//9 en//DT|UTR|SIN|IND//det//8 mandatperiod//NN|UTR|SIN|IND|NOM//nsubj//6 tycker//VB|PRS|AKT//ROOT//9 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//9 att//SN//mark//13 politiken//NN|UTR|SIN|DEF|NOM//nsubj//13 ger//VB|PRS|AKT//ccomp//9 dem//PN|UTR/NEU|PLU|DEF|OBJ//iobj//13 något//PN|NEU|SIN|IND|SUB/OBJ//obj//13 och//KN//cc//22 att//SN//mark//22 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//22 också//AB//advmod//22 är//VB|PRS|AKT//cop//22 ett//DT|NEU|SIN|IND//det//22 motiv//NN|NEU|SIN|IND|NOM//conj//13 till//PP//mark//26 att//IE//mark//26 vara//VB|INF|AKT//cop//26 förtroendevald//PC|PRF|UTR|SIN|IND|NOM//acl//22 .//MID//punct//9
3.4 Får något tillbaka;Bodil//PM|NOM//nsubj//30 Månsson//PM|NOM//flat:name//28 säger//VB|PRS|AKT//parataxis//9 ://MAD//punct//30
3.4 Får något tillbaka;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//1 ger//VB|PRS|AKT//ROOT//1 mig//PN|UTR|SIN|DEF|OBJ//iobj//1 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 utmaningar//NN|UTR|PLU|IND|NOM//obj//1 .//MAD//punct//1
3.4 Får något tillbaka;Jag//PN|UTR|SIN|DEF|SUB//nsubj//7 träffar//VB|PRS|AKT//conj//1 folk//NN|NEU|PLU|IND|NOM//obj//7 som//HP|-|-|-//nsubj//10 tycker//VB|PRS|AKT//acl:relcl//8 och//KN//cc//12 tänker//VB|PRS|AKT//conj//10 som//KN//mark//14 jag//PN|UTR|SIN|DEF|SUB//obj//10 .//MAD//punct//7
3.4 Får något tillbaka;Sedan//AB//advmod//17 är//VB|PRS|AKT//conj//1 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 utbildningen//NN|UTR|SIN|DEF|NOM//nsubj//17 i//PP//case//21 ledarskap//NN|NEU|SIN|IND|NOM//nmod//19 och//KN//cc//25 att//IE//mark//25 kunna//VB|INF|AKT//aux//25 påverka//VB|INF|AKT//conj//17 .//MAD//punct//17
3.4 Får något tillbaka;Få//PN|UTR/NEU|PLU|IND|SUB/OBJ//parataxis//17 reda//PL//compound:prt//27 på//PP//case//30 saker//NN|UTR|PLU|IND|NOM//obl//27 och//KN//cc//34 inte//AB//advmod//34 bara//AB//advmod//34 det//PN|NEU|SIN|DEF|SUB/OBJ//conj//27 som//HP|-|-|-//nsubj//36 står//VB|PRS|AKT//acl:relcl//34 i//PP//case//38 tidningen//NN|UTR|SIN|DEF|NOM//obl//36 .//MID//punct//17
3.4 Får något tillbaka;Jag//PN|UTR|SIN|DEF|SUB//nsubj//41 får//VB|PRS|AKT//conj//1 en//DT|UTR|SIN|IND//det//44 djupare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 bild//NN|UTR|SIN|IND|NOM//obj//41 av//PP//case//46 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//44 som//HP|-|-|-//nsubj//48 står//VB|PRS|AKT//acl:relcl//46 i//PP//case//50 tidningen//NN|UTR|SIN|DEF|NOM//obl//48 ,//MID//punct//54 jag//PN|UTR|SIN|DEF|SUB//nsubj//54 får//VB|PRS|AKT//aux//54 veta//VB|INF|AKT//conj//41 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//54 som//HP|-|-|-//nsubj//57 ligger//VB|PRS|AKT//acl:relcl//55 bakom//PL//advmod//57 .//MAD//punct//1
3.4 Får något tillbaka;Torkel//PM|NOM//nsubj//6 Börjesson//PM|NOM//flat:name//0 (//PAD//punct//1 74//RG|NOM//nummod//4 år//NN|NEU|PLU|IND|NOM//appos//1 )//PAD//punct//1 menar//VB|PRS|AKT//ROOT//6 ://MAD//punct//6
3.4 Får något tillbaka;Politik//NN|UTR|SIN|IND|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 väldigt//AB|POS//advmod//3 viktigt//JJ|POS|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
3.4 Får något tillbaka;Politik//NN|UTR|SIN|IND|NOM//nmod//3 är//VB|PRS|AKT//cop//8 det//DT|NEU|SIN|DEF//det//8 sätt//NN|NEU|SIN|IND|NOM//parataxis//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//11 ska//VB|PRS|AKT//aux//11 leva//VB|INF|AKT//acl:relcl//8 .//MAD//punct//8
3.4 Får något tillbaka;Kan//VB|PRS|AKT//aux//16 man//PN|UTR|SIN|IND|SUB//nsubj//16 då//AB//advmod//16 vara//VB|INF|AKT//conj//3 med//PL//compound:prt//16 och//KN//cc//19 forma//VB|INF|AKT//conj//16 politiken//NN|UTR|SIN|DEF|NOM//obj//19 på//PP//case//23 något//DT|NEU|SIN|IND//det//23 sätt//NN|NEU|SIN|IND|NOM//obl//19 kan//VB|PRS|AKT//aux//26 man//PN|UTR|SIN|IND|SUB//nsubj//26 kosta//VB|INF|AKT//csubj//3 på//PL//case//28 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//26 den//DT|UTR|SIN|DEF//det//30 tiden//NN|UTR|SIN|DEF|NOM//obj//26 .//MAD//punct//3
3.4 Får något tillbaka;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//6 kan//VB|PRS|AKT//aux//6 också//AB//advmod//6 vara//VB|INF|AKT//cop//6 en//DT|UTR|SIN|IND//det//6 personlig//JJ|POS|UTR|SIN|IND|NOM//amod//6 tillfredsställelse//NN|UTR|SIN|IND|NOM//ROOT//6 av//PP//mark//9 att//IE//mark//9 vara//VB|INF|AKT//acl//6 med//PL//compound:prt//9 och//KN//cc//12 påverka//VB|INF|AKT//conj//9 och//KN//cc//14 få//VB|INF|AKT//conj//9 igenom//PL//compound:prt//14 ett//DT|NEU|SIN|IND//det//17 förslag//NN|NEU|SIN|IND|NOM//obj//14 .//MAD//punct//6 ”//PAD//discourse//21
3.4 Får något tillbaka;Sådant//JJ|POS|NEU|SIN|IND|NOM//nsubj//21 ger//VB|PRS|AKT//parataxis//6 en//DT|UTR|SIN|IND//det//23 kick//NN|UTR|SIN|IND|NOM//obj//21 ”//PAD//punct//21 ,//MID//punct//26 menar//VB|PRS|AKT//parataxis//21 Torbjörn//PM|NOM//nsubj//26 Henriksson//PM|NOM//flat//27 (//PAD//punct//28 22//RG|NOM//nummod//31 år//NN|NEU|PLU|IND|NOM//appos//28 )//PAD//punct//26 .//MAD//punct//21
3.4 Får något tillbaka;Motiven//NN|NEU|PLU|DEF|NOM//nsubj:pass//27 för//PP//mark//3 att//IE//mark//3 engagera//VB|INF|AKT//acl//0 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//3 är//VB|PRS|AKT//cop//0 ,//MID//punct//9 som//HA//obj//9 vi//PN|UTR|PLU|DEF|SUB//nsubj//9 sett//VB|SUP|AKT//ccomp//5 för//AB//case//11 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//9 av//PP//case//13 politikerna//NN|UTR|PLU|DEF|NOM//nmod//11 ,//MID//punct//15 sammansatta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//9 och//KN//cc//20 kan//VB|PRS|AKT//aux//20 inte//AB//advmod//20 alltid//AB//advmod//20 urskiljas//VB|INF|SFO//conj//9 som//KN//mark//24 en//DT|UTR|SIN|IND//det//24 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 fråga//NN|UTR|SIN|IND|NOM//xcomp//20 .//MAD//punct//0
3.4 Får något tillbaka;Här//AB//advmod//27 blandas//VB|PRS|SFO//ROOT//27 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//27 som//KN//case//30 Gidlund//PM|NOM//obl//27 och//KN//cc//32 Möller//PM|NOM//conj//30 (//PAD//punct//34 1999:130//RG|NOM//conj//30 )//PAD//punct//34 benämner//VB|PRS|AKT//conj//27 som//KN//mark//40 ”//PAD//punct//40 idealistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 motiv//NN|NEU|PLU|IND|NOM//obl//36 ”//PAD//punct//36 och//KN//cc//44 ”//PAD//punct//44 belöningsmotiv//NN|NEU|SIN|IND|NOM//conj//36 ”//PAD//punct//44 .//MAD//punct//27
3.4 Får något tillbaka;Politikernas//NN|UTR|PLU|DEF|GEN//nmod:poss//48 motiv//NN|NEU|SIN|IND|NOM//nsubj:pass//50 kan//VB|PRS|AKT//aux//50 sammanfattas//VB|INF|SFO//conj//27 med//PP//mark//55 att//SN//mark//55 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//55 är//VB|PRS|AKT//cop//55 engagemanget//NN|NEU|SIN|DEF|NOM//advcl//50 som//KN//case//57 sådant//JJ|POS|NEU|SIN|IND|NOM//nmod//55 som//HP|-|-|-//nsubj//60 är//VB|PRS|AKT//cop//60 viktigt//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//57 för//PP//case//62 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//60 en//DT|UTR|SIN|IND//det//64 önskan//NN|UTR|SIN|IND|NOM//obj//50 om//PP//mark//68 att//IE//mark//68 får//VB|PRS|AKT//aux//68 vara//VB|INF|AKT//acl//64 med//PL//compound:prt//68 och//KN//cc//71 påverka//VB|INF|AKT//conj//68 ,//MID//punct//73 hjälpa//VB|INF|AKT//conj//68 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//73 ,//MID//punct//76 lära//VB|INF|AKT//conj//68 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//76 om//PP//case//79 kommunen//NN|UTR|SIN|DEF|NOM//obl//76 och//KN//cc//81 samhället//NN|NEU|SIN|DEF|NOM//conj//79 ,//MID//punct//83 få//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//27 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//85 kontakter//NN|UTR|PLU|IND|NOM//obj//83 .//MAD//punct//27
3.4 Får något tillbaka;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//89 är//VB|PRS|AKT//cop//89 detta//PN|NEU|SIN|DEF|SUB/OBJ//parataxis//27 som//HP|-|-|-//obl//92 politikerna//NN|UTR|PLU|DEF|NOM//nsubj//92 förväntar//VB|PRS|AKT//acl:relcl//89 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//92 av//PP//case//96 sitt//PS|NEU|SIN|DEF//nmod:poss//96 uppdrag//NN|NEU|SIN|IND|NOM//obl//92 ,//MID//punct//102 men//KN//cc//102 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//102 behöver//VB|PRS|AKT//aux//102 inte//AB//advmod//102 betyda//VB|INF|AKT//conj//89 att//SN//mark//108 de//DT|UTR/NEU|PLU|DEF//det//106 ideologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//106 frågorna//NN|UTR|PLU|DEF|NOM//nsubj//108 inte//AB//advmod//108 har//VB|PRS|AKT//ccomp//102 betydelse//NN|UTR|SIN|IND|NOM//obj//108 ,//MID//punct//113 utan//KN//mark//113 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//113 finns//VB|PRS|SFO//conj//108 där//AB//advmod//113 i//PP//case//116 bakgrunden//NN|UTR|SIN|DEF|NOM//obl//113 som//KN//case//119 en//DT|UTR|SIN|IND//det//119 referensram//NN|UTR|SIN|IND|NOM//obl//113 för//PP//case//122 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//122 engagemang//NN|NEU|SIN|IND|NOM//nmod//119 .//MAD//punct//89
3.4 Får något tillbaka;Att//SN//mark//13 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//13 av//PP//case//3 politikerna//NN|UTR|PLU|DEF|NOM//nmod//1 inte//AB//advmod//13 alltid//AB//advmod//13 har//VB|PRS|AKT//aux//13 så//AB//advmod//8 högtflygande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 visioner//NN|UTR|PLU|IND|NOM//nsubj//13 med//PP//case//12 sitt//PS|NEU|SIN|DEF//nmod:poss//12 engagemang//NN|NEU|SIN|IND|NOM//nmod//9 hänger//VB|PRS|AKT//ROOT//13 kanske//AB//advmod//13 samman//PL//compound:prt//13 med//PP//mark//20 att//SN//mark//20 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//20 är//VB|PRS|AKT//cop//20 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//13 i//PP//case//22 politiken//NN|UTR|SIN|DEF|NOM//obl//20 och//KN//cc//29 att//SN//mark//29 de//DT|UTR/NEU|PLU|DEF//det//26 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//nsubj//29 av//PP//case//28 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//26 sitter//VB|PRS|AKT//conj//20 som//KN//mark//31 ersättare//NN|UTR|SIN|IND|NOM//xcomp//29 utan//KN//case//35 det//DT|NEU|SIN|DEF//det//35 direkta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 inflytande//NN|NEU|SIN|IND|NOM//obl//29 som//KN//mark//39 ordinarie//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 ledamöter//NN|UTR|PLU|IND|NOM//nsubj//39 har//VB|PRS|AKT//advcl//29 ,//MID//punct//13 men//KN//cc//49 också//AB//advmod//49 att//SN//mark//49 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//49 i//PP//case//46 lokalpolitiken//NN|UTR|SIN|DEF|NOM//obl//49 inte//AB//advmod//49 alltid//AB//advmod//49 anses//VB|INF|SFO//conj//13 så//AB//advmod//51 ideologiskt//AB|POS//advmod//49 laddat//PC|PRF|NEU|SIN|IND|NOM//xcomp//49 på//PP//mark//58 grund//NN|UTR|SIN|IND|NOM//fixed//53 av//PP//fixed//53 att//SN//mark//58 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//58 finns//VB|PRS|SFO//advcl//49 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 inslag//NN|NEU|PLU|IND|NOM//nsubj//58 av//PP//case//64 praktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 vardagliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 frågor//NN|UTR|PLU|IND|NOM//nmod//60 som//HP|-|-|-//nsubj:pass//66 löses//VB|PRS|SFO//acl:relcl//64 i//PP//case//68 konsensus//NN|UTR|SIN|IND|NOM//obl//66 .//MAD//punct//13
3.4 Får något tillbaka;Dessutom//AB//advmod//1 krävs//VB|PRS|SFO//ROOT//1 att//SN//mark//5 man//PN|UTR|SIN|IND|SUB//nsubj//5 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//dep//1 med//PP//case//8 en//DT|UTR|SIN|IND//det//8 tid//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//11 lärt//VB|SUP|AKT//aux//11 känna//VB|INF|AKT//conj//5 den//DT|UTR|SIN|DEF//det//14 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 miljö//NN|UTR|SIN|IND|NOM//obj//11 man//PN|UTR|SIN|IND|SUB//nsubj//16 verkar//VB|PRS|AKT//acl:relcl//14 i//PP//obl//16 .//MAD//punct//1
3.4 Får något tillbaka;Visioner//NN|UTR|PLU|IND|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 något//PN|NEU|SIN|IND|SUB/OBJ//parataxis//1 som//HP|-|-|-//nsubj:pass//23 utvecklas//VB|PRS|SFO//acl:relcl//21 efterhand//AB//advmod//23 som//HA//mark//27 man//PN|UTR|SIN|IND|SUB//nsubj//27 får//VB|PRS|AKT//advcl//23 erfarenhet//NN|UTR|SIN|IND|NOM//obj//27 av//PP//case//31 politiskt//JJ|POS|NEU|SIN|IND|NOM//amod//31 arbete//NN|NEU|SIN|IND|NOM//nmod//28 ,//MID//punct//27 att//SN//mark//37 man//PN|UTR|SIN|IND|SUB//nsubj//37 helt//AB|POS//advmod//37 enkelt//AB|POS//fixed//35 förvärvat//VB|SUP|AKT//ccomp//27 den//DT|UTR|SIN|DEF//det//40 kulturella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 kompetens//NN|UTR|SIN|IND|NOM//obj//37 som//HP|-|-|-//nsubj:pass//42 krävs//VB|PRS|SFO//acl:relcl//40 för//PP//mark//46 att//IE//mark//46 kunna//VB|INF|AKT//aux//46 verka//VB|INF|AKT//advcl//42 som//KN//case//48 politiker//NN|UTR|SIN|IND|NOM//obl//46 .//MAD//punct//21
3.4 Får något tillbaka;Då//AB//advmod//51 ser//VB|PRS|AKT//parataxis//21 man//PN|UTR|SIN|IND|SUB//nsubj//51 brister//NN|UTR|PLU|IND|NOM//obj//51 som//HP|-|-|-//obj//57 man//PN|UTR|SIN|IND|SUB//nsubj//57 vill//VB|PRS|AKT//aux//57 påverka//VB|INF|AKT//acl:relcl//53 och//KN//cc//59 förändra//VB|INF|AKT//conj//57 .//MAD//punct//21
3.4 Får något tillbaka;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//62 krävs//VB|PRS|SFO//parataxis//21 helt//AB|POS//advmod//65 enkelt//AB|POS//fixed//63 en//DT|UTR|SIN|IND//det//66 inskolning//NN|UTR|SIN|IND|NOM//nsubj:pass//62 .//MAD//punct//62
3.4 Får något tillbaka;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//71 är//VB|PRS|AKT//cop//71 kanske//AB//advmod//71 en//PN|UTR|SIN|IND|SUB/OBJ//nsubj//85 av//PP//case//73 orsakerna//NN|UTR|PLU|DEF|NOM//nmod//71 till//PP//mark//77 att//SN//mark//77 så//AB//advmod//77 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//acl//73 av//PP//case//79 politikerna//NN|UTR|PLU|DEF|NOM//nmod//77 i//PP//case//82 denna//DT|UTR|SIN|DEF//det//82 studie//NN|UTR|SIN|IND|NOM//nmod//79 är//VB|PRS|AKT//cop//85 så//AB//advmod//85 lågmälda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//62 när//HA//mark//89 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//89 ska//VB|PRS|AKT//aux//89 svara//VB|INF|AKT//advcl//85 på//PP//mark//95 vad//HP|NEU|SIN|IND//dislocated//95 som//HP|-|-|-//nsubj//95 är//VB|PRS|AKT//cop//95 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//95 motiv//NN|NEU|SIN|IND|NOM//obl//89 för//PP//case//98 sitt//PS|NEU|SIN|DEF//nmod:poss//98 engagemang//NN|NEU|SIN|IND|NOM//nmod//95 .//MAD//punct//62
3.4 Får något tillbaka;Av//PP//case//1 Sara//PM|NOM//obl//7 Bengtsson//PM|NOM//flat//1 (//PAD//punct//1 35//RG|NOM//nummod//5 år//NN|NEU|PLU|IND|NOM//appos//1 )//PAD//punct//1 svar//NN|NEU|SIN|IND|NOM//obl//18 på//PP//mark//13 vad//HP|NEU|SIN|IND//dislocated//13 som//HP|-|-|-//nsubj//13 är//VB|PRS|AKT//cop//13 hennes//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//13 motiv//NN|NEU|SIN|IND|NOM//nmod//7 för//PP//case//16 sitt//PS|NEU|SIN|DEF//nmod:poss//16 engagemang//NN|NEU|SIN|IND|NOM//nmod//13 ,//MID//punct//18 anar//VB|PRS|AKT//ROOT//18 man//PN|UTR|SIN|IND|SUB//nsubj//18 att//SN//mark//29 hon//PN|UTR|SIN|DEF|SUB//nsubj//29 efter//PP//mark//27 att//SN//mark//27 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//23 att//SN//mark//27 hon//PN|UTR|SIN|DEF|SUB//nsubj//27 blev//VB|PRT|AKT//advcl//29 förtroendevald//PC|PRF|UTR|SIN|IND|NOM//xcomp//27 förvärvat//VB|SUP|AKT//ccomp//18 erfarenheter//NN|UTR|PLU|IND|NOM//obj//29 av//PP//case//32 beslutsprocessen//NN|UTR|SIN|DEF|NOM//nmod//30 i//PP//case//34 kommunen//NN|UTR|SIN|DEF|NOM//nmod//32 .//MAD//punct//18
3.4 Får något tillbaka;Sara//PM|NOM//nsubj//37 pekar//VB|PRS|AKT//conj//18 på//PP//mark//42 att//SN//mark//42 hon//PN|UTR|SIN|DEF|SUB//nsubj//42 vill//VB|PRS|AKT//aux//42 ändra//VB|INF|AKT//ccomp//37 det//DT|NEU|SIN|DEF//det//45 bristande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 beslutsunderlaget//NN|NEU|SIN|DEF|NOM//obj//42 i//PP//case//47 kommunen//NN|UTR|SIN|DEF|NOM//nmod//45 .//MAD//punct//18
3.4 Får något tillbaka;När//HA//mark//2 man//PN|UTR|SIN|IND|SUB//nsubj//2 lyssnar//VB|PRS|AKT//advcl//8 på//PP//case//4 diskussionerna//NN|UTR|PLU|DEF|NOM//obl//2 i//PP//case//6 kommunfullmäktige//NN|UTR|PLU|DEF|NOM//nmod//4 så//AB//advcl//8 inser//VB|PRS|AKT//ROOT//8 man//PN|UTR|SIN|IND|SUB//nsubj//8 att//SN//mark//16 bakgrundsmaterial//NN|NEU|PLU|IND|NOM//nsubj//16 och//KN//cc//13 beslutsunderlag//NN|NEU|SIN|IND|NOM//conj//11 är//VB|PRS|AKT//cop//16 fruktansvärt//AB|POS//advmod//16 dåligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//8 .//MAD//punct//8
3.4 Får något tillbaka;Att//SN//mark//3 beslutsprocessen//NN|UTR|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 ineffektiv//JJ|POS|UTR|SIN|IND|NOM//csubj//6 är//VB|PRS|AKT//cop//6 också//AB//advmod//6 Roger//PM|NOM//ROOT//6 Gustavssons//PM|GEN//flat:name//6 (//PAD//punct//6 47//RG|NOM//nummod//10 år//NN|NEU|PLU|IND|NOM//appos//6 )//PAD//punct//6 erfarenhet//NN|UTR|SIN|IND|NOM//conj//6 efter//PP//case//15 den//DT|UTR|SIN|DEF//det//15 tid//NN|UTR|SIN|IND|NOM//obl//6 han//PN|UTR|SIN|DEF|SUB//nsubj//18 varit//VB|SUP|AKT//cop//18 förtroendevald//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//15 .//MID//punct//6
3.4 Får något tillbaka;Han//PN|UTR|SIN|DEF|SUB//nsubj//21 tycker//VB|PRS|AKT//parataxis//6 att//SN//mark//25 man//PN|UTR|SIN|IND|SUB//nsubj//25 ska//VB|PRS|AKT//aux//25 delegera//VB|INF|AKT//ccomp//21 mer//AB|KOM//advmod//25 till//PP//case//28 tjänstemännen//NN|UTR|PLU|DEF|NOM//obl//25 .//MAD//punct//21
3.4 Får något tillbaka;Han//PN|UTR|SIN|DEF|SUB//nsubj//31 talar//VB|PRS|AKT//conj//6 om//PP//mark//34 att//IE//mark//34 styra//VB|INF|AKT//advcl//31 med//PP//case//36 nyckeltal//NN|NEU|PLU|IND|NOM//obl//34 .//MAD//punct//31
3.4 Får något tillbaka;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 leder//VB|PRS|AKT//parataxis//31 också//AB//advmod//39 till//PP//mark//47 att//SN//mark//47 han//PN|UTR|SIN|DEF|SUB//nsubj//47 bland//PP//advmod//47 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//44 vill//VB|PRS|AKT//aux//47 påverka//VB|INF|AKT//advcl//39 effektiviteten//NN|UTR|SIN|DEF|NOM//obj//47 i//PP//case//50 kommunen//NN|UTR|SIN|DEF|NOM//nmod//48 .//MAD//punct//31
3.4 Får något tillbaka;Jag//PN|UTR|SIN|DEF|SUB//nsubj//1 har//VB|PRS|AKT//ROOT//1 två//RG|NOM//nummod//3 mål//NN|NEU|PLU|IND|NOM//obj//1 som//HP|-|-|-//obj//7 jag//PN|UTR|SIN|DEF|SUB//nsubj//7 vill//VB|PRS|AKT//aux//7 uppnå//VB|INF|AKT//acl:relcl//3 med//PP//case//10 mitt//PS|NEU|SIN|DEF//nmod:poss//10 engagemang//NN|NEU|SIN|IND|NOM//obl//7 .//MAD//punct//1
3.4 Får något tillbaka;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//13 är//VB|PRS|AKT//parataxis//1 att//SN//mark//16 vi//PN|UTR|PLU|DEF|SUB//nsubj//16 tar//VB|PRS|AKT//ccomp//13 hand//NN|UTR|SIN|IND|NOM//compound:prt//16 om//PP//case//19 resurserna//NN|UTR|PLU|DEF|NOM//obl//16 på//PP//case//23 ett//DT|NEU|SIN|IND//det//23 optimalt//JJ|POS|NEU|SIN|IND|NOM//amod//23 sätt//NN|NEU|SIN|IND|NOM//obl//16 i//PP//case//25 kommunen//NN|UTR|SIN|DEF|NOM//nmod//23 ,//MID//punct//28 inget//DT|NEU|SIN|IND//det//28 slöseri//NN|NEU|SIN|IND|NOM//appos//16 .//MID//punct//13
3.4 Får något tillbaka;Att//SN//mark//32 vi//PN|UTR|PLU|DEF|SUB//nsubj//32 sköter//VB|PRS|AKT//ccomp//13 kommunen//NN|UTR|SIN|DEF|NOM//obj//32 på//PP//case//37 ett//DT|NEU|SIN|IND//det//37 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 sätt//NN|NEU|SIN|IND|NOM//obl//32 så//AB//mark//42 att//SN//fixed//38 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//42 är//VB|PRS|AKT//cop//42 nöjda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//32 och//KN//cc//44 glada//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//42 .//MAD//punct//32
3.4 Får något tillbaka;Sedan//AB//mark//50 att//SN//mark//50 vi//PN|UTR|PLU|DEF|SUB//nsubj//50 kan//VB|PRS|AKT//aux//50 konkurrera//VB|INF|AKT//advcl//32 och//KN//cc//52 skaffa//VB|INF|AKT//conj//50 arbetstillfällen//NN|NEU|PLU|IND|NOM//obj//52 till//PP//case//55 kommunen//NN|UTR|SIN|DEF|NOM//obl//52 att//SN//mark//58 folk//NN|NEU|PLU|IND|NOM//nsubj//58 flyttar//VB|PRS|AKT//advcl//50 hit//AB//advmod//58 ,//MID//punct//58 att//SN//mark//63 vi//PN|UTR|PLU|DEF|SUB//nsubj//63 får//VB|PRS|AKT//advcl//50 ett//DT|NEU|SIN|IND//det//66 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 välstånd//NN|NEU|SIN|IND|NOM//obj//63 i//PP//case//68 kommunen//NN|UTR|SIN|DEF|NOM//obl//63 .//MAD//punct//13

