En etnologisk studie av hur det går till när man blir kommunalpolitiskt engagerad;Av//PP//case//1 Jan//PM|NOM//ROOT//1 Fredriksson//PM|NOM//flat//1
1.1 Bakgrund;I//PP//case//65 denna//DT|UTR|SIN|DEF//det//65 rapport//NN|UTR|SIN|IND|NOM//obl//68 ska//VB|PRS|AKT//aux//68 jag//PN|UTR|SIN|DEF|SUB//nsubj//68 försöka//VB|INF|AKT//conj//42 besvara//VB|INF|AKT//xcomp//68 dessa//DT|UTR/NEU|PLU|DEF//det//71 frågor//NN|UTR|PLU|IND|NOM//obj//69 utifrån//PP//case//75 ett//DT|NEU|SIN|IND//det//75 etnologiskt//JJ|POS|NEU|SIN|IND|NOM//amod//75 perspektiv//NN|NEU|SIN|IND|NOM//obl//69 .//MAD//punct//19

1.2 Etnologi och politiskt engagemang;I//PP//case//2 etnologisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 forskning//NN|UTR|SIN|IND|NOM//obl//7 är//VB|PRS|AKT//cop//7 kultur//NN|UTR|SIN|IND|NOM//nsubj//7 ett//DT|NEU|SIN|IND//det//7 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 begrepp//NN|NEU|SIN|IND|NOM//ROOT//7 som//HP|-|-|-//nsubj//9 lyfter//VB|PRS|AKT//acl:relcl//7 fram//PL//compound:prt//9 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//9 som//HP|-|-|-//nsubj//14 är//VB|PRS|AKT//cop//14 gemensamt//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//11 mellan//PP//case//16 människor//NN|UTR|PLU|IND|NOM//obl//14 i//PP//case//19 en//DT|UTR|SIN|IND//det//19 grupp//NN|UTR|SIN|IND|NOM//obl//14 .//MAD//punct//7
1.2 Etnologi och politiskt engagemang;I//PP//case//24 den//DT|UTR|SIN|DEF//det//24 kulturanalytiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 traditionen//NN|UTR|SIN|DEF|NOM//obl//27 inom//PP//case//26 etnologin//NN|UTR|SIN|DEF|NOM//nmod//24 ses//VB|PRS|SFO//parataxis//7 kultur//NN|UTR|SIN|IND|NOM//nsubj:pass//27 som//KN//mark//31 kollektivt//JJ|POS|NEU|SIN|IND|NOM//advmod//31 medvetande//NN|NEU|SIN|IND|NOM//acl//28 i//PP//case//33 form//NN|UTR|SIN|IND|NOM//obl//31 av//PP//case//35 ”//PM|NOM//nmod//31 ...//MID//punct//37 erfarenheter//NN|UTR|PLU|IND|NOM//conj//28 ,//MID//punct//39 kunskaper//NN|UTR|PLU|IND|NOM//conj//37 och//KN//cc//41 värden//NN|NEU|PLU|IND|NOM//conj//37 som//KN//obj//50 människor//NN|UTR|PLU|IND|NOM//nmod//44 delar//NN|UTR|PLU|IND|NOM//nsubj//50 och//KN//cc//44 som//HP|-|-|-//obj//48 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//48 återskapar//VB|PRS|AKT//acl:relcl//44 och//KN//cc//50 förändrar//VB|PRS|AKT//acl:relcl//41 i//PP//case//53 socialt//JJ|POS|NEU|SIN|IND|NOM//amod//53 handlande//NN|NEU|SIN|IND|NOM//obl//50 .//MAD//punct//37 ”//PM|NOM//punct//37
1.2 Etnologi och politiskt engagemang;(//PAD//punct//57 Ehn//PM|NOM//conj//28 &//KN|AN//cc//59 Löfgren//PM|NOM//conj//57 1982:13//RG|NOM//conj//57 )//PAD//punct//57 .//MAD//punct//57
1.2 Etnologi och politiskt engagemang;Begreppet//NN|NEU|SIN|DEF|NOM//nsubj//65 är//VB|PRS|AKT//cop//65 relativt//JJ|POS|NEU|SIN|IND|NOM//conj//7 och//KN//cc//69 kan//VB|PRS|AKT//aux//69 analytiskt//AB|POS//advmod//69 användas//VB|INF|SFO//conj//65 i//PP//case//72 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//72 sammanhang//NN|NEU|PLU|IND|NOM//obl//69 och//KN//cc//76 på//PP//case//76 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 nivåer//NN|UTR|PLU|IND|NOM//conj//72 för//PP//mark//79 att//IE//mark//79 påvisa//VB|INF|AKT//acl//76 likhet//NN|UTR|SIN|IND|NOM//obj//79 ,//MID//punct//82 samstämmighet//NN|UTR|SIN|IND|NOM//conj//80 och//KN//cc//84 gemenskap//NN|UTR|SIN|IND|NOM//conj//80 mellan//PP//case//86 människor//NN|UTR|PLU|IND|NOM//nmod//84 (//PAD//punct//65 jfr//VB|AN//parataxis//65 Arnstberg//PM|NOM//obj//88 (//PAD//punct//91 red//PM|NOM//conj//65 )//PAD//punct//91 1992:13//RG|NOM//conj//65 ff//AB|AN//conj//65 )//PAD//punct//65 .//MAD//punct//65
1.2 Etnologi och politiskt engagemang;Sålunda//AB//advmod//4 kan//VB|PRS|AKT//aux//4 begreppet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 också//AB//advmod//4 användas//VB|INF|SFO//ROOT//4 på//PP//case//7 det//DT|NEU|SIN|DEF//det//7 samhällsfenomen//NN|NEU|SIN|IND|NOM//obl//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//9 kallar//VB|PRS|AKT//acl:relcl//7 politik//NN|UTR|SIN|IND|NOM//obj//9 .//MAD//punct//4
1.2 Etnologi och politiskt engagemang;Och//KN//cc//30 om//SN//mark//15 man//PN|UTR|SIN|IND|SUB//nsubj//15 definierar//VB|PRS|AKT//advcl//30 politik//NN|UTR|SIN|IND|NOM//obj//15 som//KN//case//18 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//15 som//HP|-|-|-//nsubj//22 är//VB|PRS|AKT//cop//22 gemensamt//AB|POS//advmod//22 angeläget//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//18 för//PP//case//24 människor//NN|UTR|PLU|IND|NOM//obl//22 i//PP//case//27 ett//DT|NEU|SIN|IND//det//27 samhälle//NN|NEU|SIN|IND|NOM//obl//22 ,//MID//punct//30 så//AB//advmod//30 handlar//VB|PRS|AKT//conj//4 politisk//JJ|POS|UTR|SIN|IND|NOM//amod//32 kultur//NN|UTR|SIN|IND|NOM//obj//30 om//PP//case//36 de//DT|UTR/NEU|PLU|DEF//det//36 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 normer//NN|UTR|PLU|IND|NOM//obl//30 och//KN//cc//38 värderingar//NN|UTR|PLU|IND|NOM//conj//36 som//HP|-|-|-//obj//41 människor//NN|UTR|PLU|IND|NOM//nsubj//41 har//VB|PRS|AKT//aux//45 kring//PP//case//45 det//DT|NEU|SIN|DEF//det//45 gemensamt//AB|POS//advmod//45 angelägna//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//30 (//PAD//punct//45 Fredriksson//PM|NOM//appos//45 2000:13//RG|NOM//conj//45 ,//MID//punct//45 jfr//VB|AN//conj//45 Svensson//PM|NOM//nsubj//50 2001:2//RG|NOM//obj//50 ,//MID//punct//45 Rydberg//PM|NOM//appos//45 1992//RG|NOM//nummod//54 )//PAD//punct//45 .//MAD//punct//4
1.2 Etnologi och politiskt engagemang;Med//PP//case//3 en//DT|UTR|SIN|IND//det//3 annan//JJ|POS|UTR|SIN|IND|NOM//amod//3 formulering//NN|UTR|SIN|IND|NOM//obl//6 kan//VB|PRS|AKT//aux//6 man//PN|UTR|SIN|IND|SUB//nsubj//6 säga//VB|INF|AKT//ROOT//6 att//SN//mark//9 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//9 handlar//VB|PRS|AKT//ccomp//6 om//PP//case//12 den//DT|UTR|SIN|DEF//det//12 betydelse//NN|UTR|SIN|IND|NOM//obl//9 och//KN//cc//14 mening//NN|UTR|SIN|IND|NOM//conj//12 som//HP|-|-|-//cc//16 människor//NN|UTR|PLU|IND|NOM//appos//14 fäster//VB|PRS|AKT//conj//12 vid//PP//case//20 det//DT|NEU|SIN|DEF//det//20 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//12 och//KN//cc//23 som//HP|-|-|-//nsubj//23 styr//VB|PRS|AKT//conj//12 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//25 engagemang//NN|NEU|SIN|IND|NOM//obj//23 i//PP//case//27 politiken//NN|UTR|SIN|DEF|NOM//nmod//25 ,//MID//punct//31 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 vill//VB|PRS|AKT//aux//31 säga//VB|INF|AKT//conj//9 hur//HA//advmod//34 man//PN|UTR|SIN|IND|SUB//nsubj//34 uppfattar//VB|PRS|AKT//ccomp//31 politikens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 roll//NN|UTR|SIN|IND|NOM//obj//34 i//PP//case//38 samhället//NN|NEU|SIN|DEF|NOM//obl//34 ,//MID//punct//34 hur//HA//advmod//43 politiken//NN|UTR|SIN|DEF|NOM//nsubj:pass//43 bör//VB|PRS|AKT//aux//43 organiseras//VB|INF|SFO//ccomp//34 och//KN//cc//49 hur//HA//advmod//49 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 människor//NN|UTR|PLU|IND|NOM//nsubj//49 bör//VB|PRS|AKT//aux//49 uttrycka//VB|INF|AKT//conj//43 sin//PS|UTR|SIN|DEF//nmod:poss//52 politisk//JJ|POS|UTR|SIN|IND|NOM//amod//52 vilja//NN|UTR|SIN|IND|NOM//obj//49 .//MAD//punct//6
1.2 Etnologi och politiskt engagemang;Naturligtvis//AB//advmod//55 finns//VB|PRS|SFO//parataxis//6 det//PN|NEU|SIN|DEF|SUB/OBJ//det//58 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 förhållningssätt//NN|NEU|PLU|IND|NOM//nsubj//55 i//PP//case//61 ett//DT|NEU|SIN|IND//det//61 samhälle//NN|NEU|SIN|IND|NOM//obl//55 till//PP//case//64 det//DT|NEU|SIN|DEF//det//64 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//61 ,//MID//punct//70 och//KN//cc//70 det//DT|NEU|SIN|DEF//det//69 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//69 livet//NN|NEU|SIN|DEF|NOM//nsubj//70 bygger//VB|PRS|AKT//conj//55 på//PP//case//73 en//DT|UTR|SIN|IND//det//73 rivalitet//NN|UTR|SIN|IND|NOM//obl//70 mellan//PP//case//77 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 viljor//NN|UTR|PLU|IND|NOM//nmod//73 och//KN//cc//79 ståndpunkter//NN|UTR|PLU|IND|NOM//conj//77 .//MAD//punct//55
