10 Slutsatser av kunskapsredovisningen ;i//PP//case//41 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//41 organisering//NN|UTR|SIN|IND|NOM//obl//23 ,//MID//punct//41 t.ex.//AB|AN//advmod//46 den//DT|UTR|SIN|DEF//det//46 etniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 arbetsdelningen//NN|UTR|SIN|DEF|NOM//appos//41 ,//MID//punct//49 i//PP//case//49 fördelningen//NN|UTR|SIN|DEF|NOM//conj//41 av//PP//case//52 materiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 resurser//NN|UTR|PLU|IND|NOM//nmod//49 ,//MID//punct//54 tex//AB|AN//conj//41 .//MAD//punct//41
10 Slutsatser av kunskapsredovisningen ;löneskillnader//NN|UTR|PLU|IND|NOM//appos//41 ,//MID//punct//56 i//PP//case//60 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 resurser//NN|UTR|PLU|IND|NOM//nmod//56 ,//MID//punct//62 tex//AB|AN//dep//81 .//MAD//punct//64
10 Slutsatser av kunskapsredovisningen ;exkludering//NN|UTR|SIN|IND|NOM//obj//62 från//PP//case//68 de//DT|UTR/NEU|PLU|DEF//det//68 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 partierna//NN|NEU|PLU|DEF|NOM//nmod//64 samt//KN//cc//72 i//PP//case//72 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 resurser//NN|UTR|PLU|IND|NOM//conj//68 ,//MID//punct//64 t.ex.//AB|AN//advmod//75 tillgång//NN|UTR|SIN|IND|NOM//appos//64 till//PP//case//79 de//DT|UTR/NEU|PLU|DEF//det//79 ”//PAD//punct//79 rätta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//75 ”//PAD//punct//64 nätverken//NN|NEU|PLU|DEF|NOM//conj//41 .//MAD//punct//23
10 Slutsatser av kunskapsredovisningen ;Jag//PN|UTR|SIN|DEF|SUB//nsubj//3 kan//VB|PRS|AKT//aux//3 därför//AB//advmod//3 konstatera//VB|INF|AKT//ROOT//3 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 inte//AB//advmod//7 handlar//VB|PRS|AKT//ccomp//3 om//PP//case//11 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 avgränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 situationer//NN|UTR|PLU|IND|NOM//obl//7 i//PP//case//17 ett//DT|NEU|SIN|IND//det//17 i//PP//advmod//16 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//14 rättvist//JJ|POS|NEU|SIN|IND|NOM//amod//17 samhälle//NN|NEU|SIN|IND|NOM//nmod//11 ,//MID//punct//22 utan//PP//mark//22 att//SN//mark//22 diskrimineringen//NN|UTR|SIN|DEF|NOM//nsubj//22 sker//VB|PRS|AKT//conj//7 med//PP//case//25 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//25 systematik//NN|UTR|SIN|IND|NOM//obl//22 att//SN//mark//28 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//28 utgör//VB|PRS|AKT//acl//25 ett//DT|NEU|SIN|IND//det//31 förväntat//PC|PRF|NEU|SIN|IND|NOM//amod//31 utfall//NN|NEU|SIN|IND|NOM//obj//28 av//PP//case//34 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//34 normer//NN|UTR|PLU|IND|NOM//nmod//31 .//MAD//punct//3
10 Slutsatser av kunskapsredovisningen ;Jag//PN|UTR|SIN|DEF|SUB//nsubj//37 finner//VB|PRS|AKT//parataxis//3 att//SN//mark//45 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 därför//AB//advmod//45 (//PAD//punct//40 fortsatt//PC|PRF|UTR|SIN|IND|NOM//fixed//40 )//PAD//punct//42 är//VB|PRS|AKT//cop//45 relevant//JJ|POS|NEU|SIN|IND|NOM//ccomp//37 att//IE//mark//47 tala//VB|INF|AKT//csubj//45 om//PP//case//49 diskrimineringen//NN|UTR|SIN|DEF|NOM//obl//47 som//KN//mark//51 strukturell//JJ|POS|UTR|SIN|IND|NOM//xcomp//47 .//MID//punct//37
10 Slutsatser av kunskapsredovisningen ;Jag//PN|UTR|SIN|DEF|SUB//nsubj//54 tror//VB|PRS|AKT//conj//37 att//SN//mark//64 frånvaron//NN|UTR|SIN|DEF|NOM//nsubj//64 av//PP//case//60 ett//DT|NEU|SIN|IND//det//60 strukturellt//JJ|POS|NEU|SIN|IND|NOM//amod//60 perspektiv//NN|NEU|SIN|IND|NOM//nmod//56 -//MID//punct//56 att//IE//mark//64 enbart//AB//advmod//64 se//VB|INF|AKT//ccomp//54 diskriminering//NN|UTR|SIN|IND|NOM//obj//64 som//KN//case//69 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 isolerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//69 händelser//NN|UTR|PLU|IND|NOM//nmod//65 -//MID//punct//75 är//VB|PRS|AKT//cop//75 en//DT|UTR|SIN|IND//det//75 starkt//AB|POS//advmod//74 bidragande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 orsak//NN|UTR|SIN|IND|NOM//obj//54 till//PP//mark//80 att//SN//mark//80 frågans//NN|UTR|SIN|DEF|GEN//nmod:poss//79 betydelse//NN|UTR|SIN|IND|NOM//nsubj:pass//80 förnekats//VB|SUP|SFO//acl//75 och//KN//cc//87 att//SN//mark//87 kraven//NN|NEU|PLU|DEF|NOM//nsubj:pass//87 på//PP//case//85 åtgärder//NN|UTR|PLU|IND|NOM//nmod//83 länge//AB|POS//advmod//87 avvisats//VB|SUP|SFO//conj//80 och//KN//cc//91 ///MID//fixed//88 eller//KN//cc//91 förhalats//VB|SUP|SFO//conj//87 .//MAD//punct//37
10 Slutsatser av kunskapsredovisningen ;"Vad//HP|NEU|SIN|IND//dislocated//2 som//HP|-|-|-//nsubj//2 utlöser//VB|PRS|AKT//csubj//4 diskriminering//NN|UTR|SIN|IND|NOM//obj//2 varierar//VB|PRS|AKT//ROOT//4 från//PP//case//6 namn//NN|NEU|SIN|IND|NOM//obl//4 ,//MID//punct//8 brytning//NN|UTR|SIN|IND|NOM//conj//6 ,//MID//punct//10 utseende//NN|NEU|SIN|IND|NOM//conj//6 ,//MID//punct//12 klädsel//NN|UTR|SIN|IND|NOM//conj//6 ,//MID//punct//17 till//PP//case//17 mer//AB|KOM//advmod//16 generaliserande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 föreställningar//NN|UTR|PLU|IND|NOM//conj//6 om//PP//case//20 ”//PAD//punct//20 invandrare//NN|UTR|PLU|IND|NOM//nmod//17 ”//PM|NOM//punct//20 och//KN//cc//26 att//SN//mark//26 invandrare//NN|UTR|PLU|IND|NOM//nsubj//26 är//VB|PRS|AKT//cop//26 annorlunda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//4 ;//MID//punct//28"
10 Slutsatser av kunskapsredovisningen ;har//VB|PRS|AKT//conj//4 annan//JJ|POS|UTR|SIN|IND|NOM//amod//31 ”//PAD//punct//31 kultur//NN|UTR|SIN|IND|NOM//obj//28 ”//RG|NOM//punct//28 ,//MID//punct//34 utgör//VB|PRS|AKT//conj//4 ett//DT|NEU|SIN|IND//det//36 hot//NN|NEU|SIN|IND|NOM//obj//34 ,//MID//punct//38 saknar//VB|PRS|AKT//conj//34 kompetens//NN|UTR|SIN|IND|NOM//obj//38 ,//MID//punct//42 inte//AB//advmod//42 passar//VB|PRS|AKT//conj//34 in//PL//compound:prt//42 .//MID//punct//34
10 Slutsatser av kunskapsredovisningen ;Ett//DT|NEU|SIN|IND//det//47 återkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 drag//NN|NEU|SIN|IND|NOM//parataxis//34 är//VB|PRS|AKT//cop//47 att//SN//mark//51 individer//NN|UTR|PLU|IND|NOM//nsubj:pass//51 likställs//VB|PRS|SFO//csubj//47 och//KN//cc//53 bemöts//VB|PRS|SFO//conj//51 utifrån//PP//case//59 upplevd//PC|PRF|UTR|SIN|IND|NOM//amod//59 eller//KN//cc//57 tillskriven//PC|PRF|UTR|SIN|IND|NOM//conj//55 etnisk//JJ|POS|UTR|SIN|IND|NOM//amod//59 tillhörighet//NN|UTR|SIN|IND|NOM//obl//53 ,//MID//punct//59 dvs.//AB|AN//advmod//62 diskrimineringen//NN|UTR|SIN|DEF|NOM//nsubj//63 avspeglar//VB|PRS|AKT//advcl//34 en//DT|UTR|SIN|IND//det//65 oförmåga//NN|UTR|SIN|IND|NOM//obj//63 att//IE//mark//67 se//VB|INF|AKT//acl//65 människor//NN|UTR|PLU|IND|NOM//obj//67 som//KN//case//71 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 individer//NN|UTR|PLU|IND|NOM//obl//67 .//MAD//punct//4
10 Slutsatser av kunskapsredovisningen ;Härigenom//AB//nsubj:pass//1 görs//VB|PRS|SFO//ROOT//1  //_SP////1 (//PAD//punct//5 oftast//AB|SUV//advmod//5 undermedvetet//PC|PRF|NEU|SIN|IND|NOM//appos//1 )//PAD//punct//5 ”//RG|NOM//punct//8 svenskar//NN|UTR|PLU|IND|NOM//dep//1 ”//PM|NOM//punct//8 som//KN//case//13 en//DT|UTR|SIN|IND//det//13 tänkt//PC|PRF|UTR|SIN|IND|NOM//amod//13 motpol//NN|UTR|SIN|IND|NOM//acl//8 till//PP//case//16 ”//PAD//punct//16 invandrare//NN|UTR|PLU|IND|NOM//nmod//13 ”//RG|NOM//nummod//8 .//MAD//punct//8
10 Slutsatser av kunskapsredovisningen ;Idén//NN|UTR|SIN|DEF|NOM//conj//8 om//PP//mark//24 ”//PAD//punct//22 invandrare//NN|UTR|PLU|IND|NOM//nsubj//24 ”//PM|NOM//punct//22 symboliserar//VB|PRS|AKT//acl//19 på//PP//case//27 detta//DT|NEU|SIN|DEF//det//27 sätt//NN|NEU|SIN|IND|NOM//obl//24 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//24 som//KN//mark//31 ”//PAD//punct//31 svenskar//NN|UTR|PLU|IND|NOM//obl//24 ”//PM|NOM//punct//31 inte//AB//advmod//24  //_SP////33 är//VB|PRS|AKT//cop//19 .//MAD//punct//8
10 Slutsatser av kunskapsredovisningen ;Genom//PP//mark//39 att//IE//mark//39 projicera//VB|INF|AKT//advcl//46 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 egenskaper//NN|UTR|PLU|IND|NOM//obj//39 på//PP//case//44 ”//PAD//punct//44 invandrare//NN|UTR|PLU|IND|NOM//obl//39 ”//PM|NOM//obj//39 definieras//VB|PRS|SFO//parataxis//1 en//DT|UTR|SIN|IND//det//49 positiv//JJ|POS|UTR|SIN|IND|NOM//amod//49 ”//JJ|POS|UTR|SIN|IND|NOM//punct//46 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//52 ”//PAD//punct//52 självbild//NN|UTR|SIN|IND|NOM//nsubj:pass//46 .//MAD//punct//52
10 Slutsatser av kunskapsredovisningen ;Forskare//NN|UTR|PLU|IND|NOM//conj//52 i//PP//case//57 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 länder//NN|NEU|PLU|IND|NOM//nmod//54 har//VB|PRS|AKT//aux//59 kallat//VB|SUP|AKT//conj//1 denna//DT|UTR|SIN|DEF//det//61 process//NN|UTR|SIN|IND|NOM//obj//59 för//PP//case//63 othering//NN|UTR|SIN|IND|NOM//obl//59 ,//MID//punct//59 att//IE//mark//66 göra//VB|INF|AKT//advcl//59 ”//PAD//punct//69 De//DT|UTR/NEU|PLU|DEF//det//69 Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//66 ”//RG|NOM//punct//1 .//MID//punct//1
10 Slutsatser av kunskapsredovisningen ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//77 har//VB|PRS|AKT//aux//77 i//PP//case//75 Sverige//PM|NOM//obl//77 också//AB//advmod//77 kallats//VB|SUP|SFO//parataxis//1 ”//NN|UTR|SIN|IND|NOM//punct//79 förfrämligande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//80 ”//PAD//punct//1 .//MAD//punct//1
