Ökad trygghet för hotade och förföljda personer;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Trygghetsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet Magdalena Andersson;Kommittéadministratören//NN|UTR|SIN|DEF|NOM//nmod//1 Lisbeth//PM|NOM//nsubj//10 Lindin//PM|NOM//flat:name//1 ,//MID//punct//5 Regeringskansliet//NN|NEU|SIN|DEF|NOM//nmod//5 FA//PM|NOM//conj//1 ///MID//cc//7 kommittéservice//NN|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//1 har//VB|PRS|AKT//aux//10 lämnat//VB|SUP|AKT//ROOT//10 stöd//NN|NEU|SIN|IND|NOM//obj//10 till//PP//case//13 utredningen//NN|UTR|SIN|DEF|NOM//obl//10 .//MAD//punct//10
Till statsrådet Magdalena Andersson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//7 ,//MID//punct//0 som//HP|-|-|-//nsubj//3 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//5 Trygghetsutredningen//PM|NOM//obj//3 ,//MID//punct//0 överlämnar//VB|PRS|AKT//ROOT//7 betänkandet//NN|NEU|SIN|DEF|NOM//obj//7 Ökad//PC|PRF|UTR|SIN|IND|NOM//amod//10 trygghet//NN|UTR|SIN|IND|NOM//obj//7 för//PP//case//15 hotade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//15 och//KN//cc//14 förföljda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//12 personer//NN|UTR|PLU|IND|NOM//nmod//10  //_SP////15 (//PAD//punct//15 SOU//PM|NOM//appos//15 2015:69//RG|NOM//nmod//18 )//PAD//punct//7 .//MAD//punct//7
Till statsrådet Magdalena Andersson;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2015//RG|NOM//nummod//2
Till statsrådet Magdalena Andersson;Birgitta//PM|NOM//ROOT//0 Pettersson//PM|NOM//flat:name//0 /Linda//RG|NOM//advmod//0 Celander//PM|NOM//obj//0
Till statsrådet Magdalena Andersson;Anna//PM|NOM//ROOT//0 Sjöstrand//PM|NOM//flat:name//0


1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);dels//KN//advmod//8  //_SP////0 att//SN//mark//5 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//4 18//RG|NOM//nummod//5 a//NN|NEU|SIN|IND|NOM//fixed//0 och//KN//cc//5 18//RG|NOM//conj//5 b//NN|NEU|SIN|IND|NOM//case//10 §//NN|AN//nmod//10 §//NN|AN//obl//12 ska//VB|PRS|AKT//aux//12 betecknas//VB|INF|SFO//ROOT//12 18//RG|NOM//nummod//14 b//NN|NEU|SIN|IND|NOM//obl//12 och//KN//cc//16 18//RG|NOM//conj//14 c//NN|AN//case//19 §//NN|AN//nmod//19 §//NN|AN//obl//12 ,//MID//punct//37 dels//KN//advmod//37  //_SP////21 att//SN//mark//37 16–17//RG|NOM//nummod//25 a//NN|NEU|SIN|IND|NOM//nsubj//37 ,//MID//punct//25 23//RG|NOM//nummod//25 ,//MID//punct//27 30//RG|NOM//nmod//25 ,//MID//punct//29 38//RG|NOM//nummod//25 och//KN//cc//25 40//RG|NOM//nummod//34 §//NN|AN//nmod//35 §//NN|AN//nmod//25 ska//VB|PRS|AKT//aux//37 ha//VB|INF|AKT//advcl//12 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 lydelse//NN|UTR|SIN|IND|NOM//obj//37 dels//KN//advmod//37  //_SP////40 att//SN//mark//45 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//45 ska//VB|PRS|AKT//aux//45 införas//VB|INF|SFO//advcl//40 fyra//RG|NOM//nummod//48 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 paragrafer//NN|UTR|PLU|IND|NOM//nsubj:pass//45 ,//MID//punct//48 16//RG|NOM//nummod//51 a//NN|NEU|SIN|IND|NOM//appos//48 ,//MID//punct//51 17//RG|NOM//nummod//54 b//NN|NEU|SIN|IND|NOM//obl//51 ,//MID//punct//54 17//RG|NOM//nummod//57 c//NN|AN//obl//45 och//KN//cc//59 18//RG|NOM//conj//57 a//NN|NEU|SIN|IND|NOM//case//62 §//NN|AN//nmod//62 §//NN|AN//obl//45 ,//MID//punct//37 och//KN//cc//71 närmast//AB|SUV//case//68 före//PP//advmod//67 16//RG|NOM//nummod//68 §//NN|AN//fixed//64 en//DT|UTR|SIN|IND//det//71 ny//JJ|POS|UTR|SIN|IND|NOM//amod//71 rubrik//NN|UTR|SIN|IND|NOM//conj//37 av//PP//case//74 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//74 lydelse//NN|UTR|SIN|IND|NOM//nmod//71 .//MAD//punct//12
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);den//DT|UTR|SIN|DEF//det//77 enskilde//JJ|POS|MAS|SIN|DEF|NOM//parataxis//12 .//MAD//punct//12
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);Kvarskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//3  //_SP////0 får//VB|PRS|AKT//aux//3 medges//VB|INF|SFO//ROOT//3 endast//AB//advmod//3 om//SN//case//8 den//DT|UTR|SIN|DEF//det//7 enskildes//JJ|POS|MAS|SIN|DEF|GEN//amod//8 behov//NN|NEU|SIN|IND|NOM//nsubj:pass//13 av//PP//case//10 skydd//NN|NEU|SIN|IND|NOM//nmod//8 inte//AB//advmod//13 kan//VB|PRS|AKT//aux//13 tillgodoses//VB|INF|SFO//ccomp//3 genom//PP//case//15 kontaktförbud//NN|NEU|SIN|IND|NOM//obl//13 eller//KN//cc//19 på//PP//case//19 annat//JJ|POS|NEU|SIN|IND|NOM//amod//19 sätt//NN|NEU|SIN|IND|NOM//conj//15 .//MAD//punct//3
