1 Uppdraget, avgränsningar och underlag;Ett//DT|NEU|SIN|IND//det//35 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//35 underlag//NN|NEU|SIN|IND|NOM//nsubj//45 för//PP//case//38 Beredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//38 förslag//NN|NEU|SIN|IND|NOM//nmod//35 till//PP//case//40 mål//NN|NEU|SIN|IND|NOM//nmod//38 för//PP//case//42 klimatpolitiken//NN|UTR|SIN|DEF|NOM//nmod//40 var//VB|PRT|AKT//cop//45 den//DT|UTR|SIN|DEF//det//45 rapport//NN|UTR|SIN|IND|NOM//parataxis//3 ,//MID//punct//49  //_SP////46 Vetenskapligt//JJ|POS|NEU|SIN|IND|NOM//amod//49 underlag//NN|NEU|SIN|IND|NOM//conj//45 för//PP//case//51 klimatpolitiken//NN|UTR|SIN|DEF|NOM//nmod//49 ,//MID//punct//55 som//KN//mark//55 Vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 rådet//NN|NEU|SIN|DEF|NOM//nsubj//58 för//PP//case//57 klimatfrågor//NN|UTR|PLU|IND|NOM//nmod//55 presenterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//45 i//PP//case//60 september//NN|UTR|SIN|IND|NOM//obl//58 2007//RG|NOM//nummod//60 .//MAD//punct//45
1 Uppdraget, avgränsningar och underlag;Vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 rådet//NN|NEU|SIN|DEF|NOM//nsubj//65 baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//45 i//PP//case//68 sin//PS|UTR|SIN|DEF//nmod:poss//68 tur//NN|UTR|SIN|IND|NOM//obl//65 till//PP//case//71 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 delar//NN|UTR|PLU|IND|NOM//obl//3 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//73 slutsatser//NN|UTR|PLU|IND|NOM//obj//3 på//PP//case//78 det//DT|NEU|SIN|DEF//det//78 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//78 vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//78 underlaget//NN|NEU|SIN|DEF|NOM//nmod//73 från//PP//case//80 FN//PM|NOM//nmod//78 ://MID//punct//73 s//NN|AN//nummod//83 klimatpanel//NN|UTR|SIN|IND|NOM//obl//3 ,//MID//punct//85 Intergovernmental//PM|NOM//nmod//86 Panel//PM|NOM//conj//83 on//UO//case//89 Climate//PM|NOM//compound//89 Change//PM|NOM//nmod//86 ,//MID//punct//91 IPPC//PM|NOM//conj//86 .//MAD//punct//83
1 Uppdraget, avgränsningar och underlag;Beredningen//NN|UTR|SIN|DEF|NOM//conj//83 fick//VB|PRT|AKT//conj//3 också//AB//advmod//94 i//PP//case//97 slutskedet//NN|NEU|SIN|DEF|NOM//obl//94 av//PP//case//100 sitt//PS|NEU|SIN|DEF//nmod:poss//100 arbete//NN|NEU|SIN|IND|NOM//nmod//97 tillgång//NN|UTR|SIN|IND|NOM//obj//94 till//PP//case//105 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//104 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//105 förslag//NN|NEU|SIN|IND|NOM//nmod//101 till//PP//case//107 klimat-//NN|UTR|-|-|SMS//nmod//105 och//KN//cc//109 energipaket//NN|NEU|SIN|IND|NOM//conj//107 ,//MID//punct//107 som//HP|-|-|-//nsubj:pass//112 presenterades//VB|PRT|SFO//acl:relcl//107 i//PP//case//114 januari//NN|UTR|SIN|IND|NOM//obl//112 2008//RG|NOM//nummod//114 .//MAD//punct//3
1 Uppdraget, avgränsningar och underlag;De//DT|UTR/NEU|PLU|DEF//det//118 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//nsubj:pass//134 av//PP//case//121 de//DT|UTR/NEU|PLU|DEF//det//121 förslag//NN|NEU|PLU|IND|NOM//nmod//118 som//HP|-|-|-//obj//124 Beredningen//NN|UTR|SIN|DEF|NOM//nsubj//124 lägger//VB|PRS|AKT//acl:relcl//121 i//PP//case//126 handlingsplanen//NN|UTR|SIN|DEF|NOM//obl//124 för//PP//mark//129 att//IE//mark//129 uppnå//VB|INF|AKT//advcl//124 målet//NN|NEU|SIN|DEF|NOM//obj//129 till//PP//case//133 år//NN|NEU|SIN|IND|NOM//nmod//133 2020//RG|NOM//obl//129 baseras//VB|PRS|SFO//conj//3 på//PP//case//139 Naturvårdsverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//139 och//KN//cc//138 Energimyndighetens//NN|UTR|SIN|DEF|GEN//conj//136 underlag//NN|NEU|SIN|IND|NOM//obl//134 inför//PP//case//143 den//DT|UTR|SIN|DEF//det//143 klimatpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//143 kontrollstationen//NN|UTR|SIN|DEF|NOM//nmod//139 2008//RG|NOM//nummod//143 ,//MID//punct//3
1 Uppdraget, avgränsningar och underlag;Den//DT|UTR|SIN|DEF//det//2 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 klimatstrategins//NN|UTR|SIN|DEF|GEN//nmod:poss//3 utveckling//NN|UTR|SIN|IND|NOM//ROOT//3 ,//MID//punct//3 i//PP//case//6 juni//NN|UTR|SIN|IND|NOM//nmod//3 2007//RG|NOM//nummod//6 .//MAD//punct//3
1 Uppdraget, avgränsningar och underlag;Till//PP//case//1 betänkandet//NN|NEU|SIN|DEF|NOM//obl//2 fogas//VB|PRS|SFO//ROOT//2 några//DT|UTR/NEU|PLU|IND//det//4 reservationer//NN|UTR|PLU|IND|NOM//nsubj:pass//2 och//KN//cc//7 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 yttranden//NN|NEU|PLU|IND|NOM//conj//4 .//MAD//punct//2

2 Utmaningen för världen, EU och Sverige;Beredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 accepterar//VB|PRS|AKT//ROOT//1 det//DT|NEU|SIN|DEF//det//4 vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 underlaget//NN|NEU|SIN|DEF|NOM//obj//1 från//PP//case//7 Vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 rådet//NN|NEU|SIN|DEF|NOM//obl//1 för//PP//case//9 klimatfrågor//NN|UTR|PLU|IND|NOM//nmod//7 .//MID//punct//1
2 Utmaningen för världen, EU och Sverige;Jordens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 klimat//NN|NEU|SIN|IND|NOM//nsubj//14 har//VB|PRS|AKT//aux//14 blivit//VB|SUP|AKT//parataxis//1 varmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//14 och//KN//cc//22 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 är//VB|PRS|AKT//cop//20 mycket//AB|POS//advmod//20 sannolikt//AB|POS//advmod//22 ett//DT|NEU|SIN|IND//det//22 verk//NN|NEU|SIN|IND|NOM//conj//14 av//PP//case//24 människan//NN|UTR|SIN|DEF|NOM//nmod//22 .//MAD//punct//1
2 Utmaningen för världen, EU och Sverige;Medeltemperaturen//NN|UTR|SIN|DEF|NOM//nsubj:pass//30 på//PP//case//28 jorden//NN|UTR|SIN|DEF|NOM//nmod//26 har//VB|PRS|AKT//aux//30 höjts//VB|SUP|SFO//parataxis//1 med//PP//case//33 drygt//AB|POS//amod//33 0,7˚C//RG|NOM//obl//30 under//PP//case//38 de//DT|UTR/NEU|PLU|DEF//det//38 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//38 150//RG|NOM//nummod//38 åren//NN|NEU|PLU|DEF|NOM//obl//30 och//KN//cc//40 stiger//VB|PRS|AKT//conj//30 för//PP//case//42 närvarande//NN|NEU|SIN|IND|NOM//obl//40 med//PP//case//45 nära//AB|POS//advmod//45 0,2˚C//RG|NOM//obl//40 per//PP//case//47 årtionde//NN|NEU|SIN|IND|NOM//nmod//45 .//MID//punct//30
