Sverige i Afghanistan 2002–2014 ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Afghanistanutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Sverige i Afghanistan 2002–2014 ;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet och chefen för Utrikesdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 9//RO|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obl//1 2015//RG|NOM//nummod//4 (//PAD//punct//4 Dir//NN|AN//appos//4 .//MAD//punct//4
Till statsrådet och chefen för Utrikesdepartementet;2015:79//RG|NOM//punct//1 )//PAD//punct//12 att//IE//mark//12 tillkalla//VB|INF|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 utvärdera//VB|INF|AKT//acl//17 Sveriges//PM|GEN//nmod:poss//22 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//22 engagemang//NN|NEU|SIN|IND|NOM//obj//19 i//PP//case//24 Afghanistan//PM|NOM//nmod//22 under//PP//case//27 perioden//NN|UTR|SIN|DEF|NOM//nmod//27 2002–2014//KN//obl//19 ,//MID//punct//31 med//PP//mark//31 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//31 fokus//NN|NEU|SIN|IND|NOM//obl//12 på//PP//case//34 den//DT|UTR|SIN|DEF//det//34 verksamhet//NN|UTR|SIN|IND|NOM//nmod//31 som//HP|-|-|-//nsubj:pass//37 har//VB|PRS|AKT//aux//37 bedrivits//VB|SUP|SFO//acl:relcl//34 i//PP//case//40 norra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 Afghanistan//PM|NOM//obl//37 under//PP//case//43 åren//NN|NEU|PLU|DEF|NOM//nmod//43 2006–2014//NN|UTR|SIN|IND|NOM//nmod//40 .//MAD//punct//1
Till statsrådet och chefen för Utrikesdepartementet;Tidigare//AB|KOM//advmod//2 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//2 Tone//PM|NOM//nsubj:pass//4 Tingsgård//PM|NOM//flat:name//2 förordnades//VB|PRT|SFO//ROOT//4 att//IE//mark//15 från//PP//case//11 och//KN//fixed//6 med//PP//fixed//6 den//DT|UTR|SIN|DEF//det//11 9//RO|NOM//nummod//11 juli//NN|UTR|SIN|IND|NOM//obl//15 2015//RG|NOM//nummod//11 vara//VB|INF|AKT//cop//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
Till statsrådet och chefen för Utrikesdepartementet;Som//KN//case//1 huvudsekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 31//RG|NOM//nummod//5 augusti//NN|UTR|SIN|IND|NOM//nsubj:pass//2 ambassadören//NN|UTR|SIN|DEF|NOM//nmod//7 Michael//PM|NOM//nsubj//2 Frühling//PM|NOM//flat//7 .//MAD//punct//2
Till statsrådet och chefen för Utrikesdepartementet;Som//KN//case//11 sekreterare//NN|UTR|SIN|IND|NOM//obl//12 förordnades//VB|PRT|SFO//parataxis//2 den//DT|UTR|SIN|DEF//det//15 31//RG|NOM//nummod//15 augusti//NN|UTR|SIN|IND|NOM//nmod//16 Vilhelm//PM|NOM//obl//12 Rundquist//PM|NOM//flat//16 .//MAD//punct//2
Till statsrådet och chefen för Utrikesdepartementet;Tilläggsdirektiv//NN|NEU|PLU|IND|NOM//nsubj:pass//1 beslutades//VB|PRT|SFO//ROOT//1 av//PP//case//3 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//1 den//DT|UTR|SIN|DEF//det//6 24//RG|NOM//nummod//6 november//NN|UTR|SIN|IND|NOM//obl//1 2016//RG|NOM//nummod//6 (//PAD//punct//6 Dir//NN|AN//appos//6 .//MID//punct//6
Till statsrådet och chefen för Utrikesdepartementet;2016:101//RG|NOM//obl//1 )//PAD//punct//11 varigenom//HA//advmod//15 utredningstiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//15 förlängdes//VB|PRT|SFO//conj//1 .//MAD//punct//1
Till statsrådet och chefen för Utrikesdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Afghanistanutredningen//NN|UTR|SIN|DEF|NOM//obj//2 .//MAD//punct//2
