Till statsrådet och chefen för Miljödepartementet;Från//PP//case//5 och//KN//fixed//0 med//PP//fixed//0 den//DT|UTR|SIN|DEF//det//5 1//RO|NOM//nummod//5 november//NN|UTR|SIN|IND|NOM//obl//7 1994//RG|NOM//nummod//5 förordnades//VB|PRT|SFO//ROOT//7 som//KN//mark//9 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//amod//10 fil//NN|UTR|SIN|IND|NOM//nsubj:pass//7 .//MID//punct//7
Till statsrådet och chefen för Miljödepartementet;dr//NN|AN//nmod//13 Ulf//PM|NOM//appos//7 Bertilsson//PM|NOM//flat:name//13 (//PAD//punct//13 Riksantikvarieämbetet//NN|NEU|SIN|DEF|NOM//flat:name//13 )//PAD//punct//13 och//KN//cc//20 som//KN//mark//20 experter//NN|UTR|PLU|IND|NOM//conj//13 fil//NN|AN//nmod//20 .//MID//punct//13
Till statsrådet och chefen för Miljödepartementet;lic//NN|AN//conj//13 .//MID//punct//13
Till statsrådet och chefen för Miljödepartementet;Björn//PM|NOM//dep//13 Bergquist//PM|NOM//flat:name//25 (//PAD//punct//25 Fiskeriverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//29 Sötvattenslaboratorium//PM|NOM//appos//25 )//PAD//punct//13 och//KN//cc//32 fil//NN|AN//conj//13 .//MID//punct//13
Till statsrådet och chefen för Miljödepartementet;dr//NN|AN//nmod//35 Björn//PM|NOM//conj//13 Svensson//PM|NOM//flat:name//35 (//PAD//punct//35 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 Kraftverksföreningen//NN|UTR|SIN|DEF|NOM//appos//35 )//PAD//punct//13 .//MAD//punct//7
Till statsrådet och chefen för Miljödepartementet;Som//KN//mark//43 expert//NN|UTR|SIN|IND|NOM//advcl//7 för//PP//case//45 ordnades//VB|PRT|SFO//nmod//43 från//PP//advmod//45 och//KN//cc//51 med//PP//case//51 den//DT|UTR|SIN|DEF//det//51 21//RG|NOM//nummod//51 februari//NN|UTR|SIN|IND|NOM//conj//43 1995//RG|NOM//nummod//51 1//RG|NOM//nummod//51 ://MID//punct//51 e//PP//case//56 statshydrolog//NN|UTR|SIN|IND|NOM//nmod//58 Torbjörn//PM|NOM//nmod//58 Lindkvist//PM|NOM//appos//51 (//PAD//punct//58 Sveriges//PM|GEN//nmod:poss//64 Meteorologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 och//KN//cc//61 Hydrologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//61 Institut//NN|NEU|SIN|IND|NOM//appos//58 )//PAD//punct//7 .//MAD//punct//7
Till statsrådet och chefen för Miljödepartementet;Från//PP//advmod//4 och//KN//fixed//0 med//PP//fixed//0 den//DT|UTR|SIN|DEF//det//4 16//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//obl//7 1995//RG|NOM//nummod//5 entledigades//VB|PRT|SFO//ROOT//7 Ulf//PM|NOM//nsubj:pass//7 Bertilsson//PM|NOM//flat:name//8 och//KN//cc//11 Ingela//PM|NOM//conj//8 Blixt//PM|NOM//flat:name//11 och//KN//cc//20 från//PP//case//19 och//KN//fixed//14 med//PP//fixed//14 den//DT|UTR|SIN|DEF//det//19 17//RG|NOM//nummod//19 oktober//NN|UTR|SIN|IND|NOM//obl//20 förordnades//VB|PRT|SFO//conj//7 som//KN//mark//23 sakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//24 Ivar//PM|NOM//dep//20 Eklöf//PM|NOM//flat:name//24 (//PAD//punct//24 Riksantikvarieämbetet//NN|NEU|SIN|DEF|NOM//conj//24 )//PAD//punct//20 och//KN//cc//31 direktören//NN|UTR|SIN|DEF|NOM//nsubj//31 Bo//PM|NOM//conj//7 Lindörn//PM|NOM//flat//31 (//PAD//punct//32 Närings-//NN|NEU|-|-|SMS//appos//32 och//KN//cc//36 teknikutvecklingsverket//NN|NEU|SIN|DEF|NOM//conj//34 )//PAD//punct//32 .//MAD//punct//7
Till statsrådet och chefen för Miljödepartementet;Från//PP//advmod//44 och//KN//fixed//39 med//PP//fixed//39 den//DT|UTR|SIN|DEF//det//44 27//RG|NOM//nummod//44 november//NN|UTR|SIN|IND|NOM//obl//46 1995//RG|NOM//nummod//44 entledigades//VB|PRT|SFO//conj//7 Per-Magnus//PM|NOM//nmod//48 Nilsson//PM|NOM//nsubj:pass//46 och//KN//cc//55 från//PP//case//55 och//KN//fixed//50 med//PP//fixed//50 den//DT|UTR|SIN|DEF//det//55 28//RG|NOM//nummod//55 november//NN|UTR|SIN|IND|NOM//conj//46 förordnades//VB|PRT|SFO//xcomp//46 som//KN//case//59 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//nmod//59 Tommy//PM|NOM//dep//46 Dickens//PM|GEN//flat//59 (//PAD//punct//59 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 kommunförbundet//NN|NEU|SIN|DEF|NOM//nsubj:pass//46 )//PAD//punct//46 .//MAD//punct//7
Till statsrådet och chefen för Miljödepartementet;I//PP//case//1 arbetet//NN|NEU|SIN|DEF|NOM//obl//17 med//PP//case//4 detta//DT|NEU|SIN|DEF//det//4 betänkande//NN|NEU|SIN|IND|NOM//nmod//1 har//VB|PRS|AKT//aux//17 sakkunninga//NN|UTR|SIN|IND|NOM//nmod//7 June//PM|NOM//nsubj//17 Ärleskog//PM|NOM//flat:name//7 samt//KN//cc//11 experterna//NN|UTR|PLU|DEF|NOM//nmod//11 Inger//PM|NOM//conj//7 Brinkman//PM|NOM//flat:name//11 och//KN//cc//14 Ulf//PM|NOM//conj//11 Tisell//PM|NOM//flat:name//14 inte//AB//advmod//17 deltagit//VB|SUP|AKT//ROOT//17 .//MAD//punct//17
Till statsrådet och chefen för Miljödepartementet;Till//PP//case//2 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 sekreterare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 1//RO|NOM//nummod//6 september//NN|UTR|SIN|IND|NOM//obl//3 1993//RG|NOM//nummod//8 fil//NN|AN//obl//3 .//MID//punct//3
Till statsrådet och chefen för Miljödepartementet;dr//NN|AN//nmod//11 Gunnar//PM|NOM//appos//3 Fredriksson//PM|NOM//flat:name//11 .//MAD//punct//3
Till statsrådet och chefen för Miljödepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 i//PP//case//3 april//NN|UTR|SIN|IND|NOM//obl//1 1994//RG|NOM//nummod//5 delbetänkandet//NN|NEU|SIN|DEF|NOM//obl//1 (//PAD//punct//5 SOU//PM|NOM//appos//5 1994:59//RG|NOM//nmod//7 )//PAD//punct//7 Vilka//HD|UTR/NEU|PLU|IND//det//11 vattendrag//NN|NEU|PLU|IND|NOM//nsubj:pass//13 skall//VB|PRS|AKT//aux//13 skyddas//VB|INF|SFO//acl:relcl//5 ?//MAD//punct//1 .//MAD//punct//1
Till statsrådet och chefen för Miljödepartementet;Stockholm//PM|NOM//ROOT//0 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//0 i//PP//case//3 oktober//NN|UTR|SIN|IND|NOM//obl//0 1996//RG|NOM//nummod//3
Till statsrådet och chefen för Miljödepartementet;Kjell//PM|NOM//ROOT//0 Svensson//PM|NOM//flat:name//0 ///MID//cc//3 Gunnar//PM|NOM//conj//0 Fredriksson//PM|NOM//flat:name//3
Till statsrådet och chefen för Miljödepartementet;Separatkarta//NN|UTR|SIN|IND|NOM//ROOT//0 (//PAD//punct//0 omslagets//NN|NEU|SIN|DEF|GEN//nmod:poss//4 bakre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 innersida//NN|UTR|SIN|IND|NOM//appos//0 )//PAD//punct//4 .//MAD//punct//0
Till statsrådet och chefen för Miljödepartementet;Vattendragsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 förslag//NN|NEU|SIN|IND|NOM//conj//0 till//PP//case//10 vattendrag//NN|NEU|PLU|IND|NOM//nmod//8 som//HP|-|-|-//nsubj:pass//13 bör//VB|PRS|AKT//aux//13 skyddas//VB|INF|SFO//acl:relcl//8 enligt//PP//case//15 naturresurslagen//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//0

Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;2.1.1//RG|NOM//nmod//1 R//PM|NOM//ROOT//1 EMISSINSTANSERNAS//PM|GEN//flat//1 SYNPUNKTER//NN|UTR|PLU|IND|NOM//conj//1
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;VÄRDA//NN|UTR|SIN|DEF|NOM//nmod//1 VATTENDRAG//NN|NEU|SIN|IND|NOM//ROOT//1
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;NATURRESURSLAGEN//NN|UTR|SIN|DEF|NOM//ROOT//0
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;ÖVERSYN//NN|NEU|SIN|DEF|NOM//amod//1 AV//PP//nsubj//18 NATURRESURSLAGEN//PM|NOM//dep//1 1//RG|NOM//nummod//4 Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 direktiv//NN|NEU|SIN|IND|NOM//nmod//1 2//RG|NOM//nummod//7 Indelning//NN|UTR|SIN|IND|NOM//nmod//1 av//PP//case//10 norra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 Sverige//PM|NOM//nmod//7 i//PP//case//13 Vattendragsgeografiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 regioner//NN|UTR|PLU|IND|NOM//nmod//7 3//RG|NOM//nummod//15 Indelning//NN|UTR|SIN|IND|NOM//nmod//7 av//PP//case//17 Sverige//PM|NOM//nmod//15 söder//JJ|POS|UTR|SIN|IND|NOM//advcl//35 om//PP//case//20 Norrlandsgränsen//NN|UTR|SIN|DEF|NOM//obl//18 i//PP//case//22 Vattendragsregioner//NN|UTR|PLU|IND|NOM//obl//18 4//RG|NOM//nummod//24 Karta//NN|UTR|PLU|IND|NOM//obj//18 över//PP//case//26 regionindelningen//NN|UTR|SIN|DEF|NOM//nmod//24 5//RG|NOM//nummod//28 Utdrag//NN|NEU|PLU|IND|NOM//appos//24 ur//PP//case//30 rapporten//NN|UTR|SIN|DEF|NOM//nmod//28 “//PM|NOM//obl//18 Så//AB//advmod//35 skall//VB|PRS|AKT//aux//35 vattendrag//NN|NEU|PLU|IND|NOM//nsubj:pass//35 skyddas//VB|INF|SFO//ROOT//35 “//NN|AN//nmod//37 6//RG|NOM//nummod//38 Lista//NN|UTR|PLU|IND|NOM//nsubj:pass//35 över//PP//case//40 vattendrag//NN|NEU|PLU|IND|NOM//nmod//38 som//HP|-|-|-//nsubj:pass//43 har//VB|PRS|AKT//aux//43 utvärderats//VB|SUP|SFO//acl:relcl//40 vad//HP|NEU|SIN|IND//nsubj//45 gäller//VB|PRS|AKT//advcl//43 orördhetskriteriet//NN|NEU|SIN|DEF|NOM//nmod//48 7//RG|NOM//nummod//48 SNV//PM|NOM//obj//45 ://MID//punct//48 s//NN|NEU|SIN|IND|GEN//amod//51 bruttolista//NN|UTR|SIN|IND|NOM//appos//48 över//PP//case//53 vattendrag//NN|NEU|PLU|IND|NOM//nmod//51 med//PP//case//56 speciella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 naturvärden//NN|NEU|PLU|IND|NOM//nmod//51 8//RG|NOM//nummod//58 RAÄ//PM|NOM//nmod//56 ://MID//punct//58
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;s//PM|NOM//nummod//61 lista//NN|UTR|SIN|IND|NOM//conj//35 över//PP//case//63 vattendrag//NN|NEU|PLU|IND|NOM//nmod//61 med//PP//case//66 speciella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 kulturvärden//NN|NEU|PLU|IND|NOM//nmod//61 9//RG|NOM//nummod//69 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//69 Kraftverksföreningens//PM|GEN//nmod:poss//70 inventering//NN|UTR|SIN|IND|NOM//nmod//66 av//PP//case//73 vattendragens//NN|NEU|PLU|DEF|GEN//nmod:poss//73 energiintresse//NN|UTR|SIN|IND|NOM//nmod//70 10//RG|NOM//nummod//75 Utdrag//NN|NEU|PLU|IND|NOM//appos//61 ur//PP//case//78 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 NRL//PM|NOM//nmod//75 med//PP//case//80 kommentarer//NN|UTR|PLU|IND|NOM//nmod//78
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;Separatkarta//NN|UTR|SIN|IND|NOM//ROOT//0 (//PAD//punct//0 omslagets//NN|NEU|SIN|DEF|GEN//nmod:poss//4 bakre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 innersida//NN|UTR|SIN|IND|NOM//appos//0 )//PAD//punct//4 .//MAD//punct//0
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;Vattendragsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 förslag//NN|NEU|SIN|IND|NOM//conj//0 till//PP//case//10 vattendrag//NN|NEU|PLU|IND|NOM//nmod//8 som//HP|-|-|-//nsubj:pass//13 bör//VB|PRS|AKT//aux//13 skyddas//VB|INF|SFO//acl:relcl//8 enligt//PP//case//15 naturresurslagen//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//0
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;Obs.//PM|NOM//ROOT//0
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;På//PP//case//4 grund//NN|UTR|SIN|IND|NOM//fixed//0 av//PP//fixed//0 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 problem//NN|NEU|PLU|IND|NOM//obl//8 har//VB|PRS|AKT//aux//8 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//7 figurer//NN|UTR|PLU|IND|NOM//nsubj//8 utgått//VB|SUP|AKT//ROOT//8 .//MAD//punct//8
Omtankar om vattendrag ett nytt angreppssätt Slutbetänkande av Vattendragsutredningen Stockholm 1996;För//PP//case//11 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//12 ber//VB|PRS|AKT//conj//8 vi//PN|UTR|PLU|DEF|SUB//nsubj//12 att//IE//mark//16 få//VB|INF|AKT//aux//16 hänvisa//VB|INF|AKT//xcomp//12 till//PP//case//20 den//DT|UTR|SIN|DEF//det//20 tryckta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//20 versionen//NN|UTR|SIN|DEF|NOM//obl//16 .//MAD//punct//8

