7 Särskilt beträffande kulturinstitutioner ;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//8 ://MID//punct//1
7.2.4 Synpunkter från Statens historiska museum;Historiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 museet//NN|NEU|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//6 tillsammans//AB//advmod//5 med//PP//case//5 SFV//PM|NOM//obl//6 gått//VB|SUP|AKT//ROOT//6 igenom//PL//compound:prt//6 en//DT|UTR|SIN|IND//det//9 underhållsplan//NN|UTR|SIN|IND|NOM//obj//6 för//PP//case//11 åren//NN|NEU|PLU|DEF|NOM//nmod//12 2003–2006//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//9 och//KN//cc//14 kommit//VB|SUP|AKT//conj//6 fram//PL//advmod//14 till//PP//mark//21 att//IE//mark//21 i//PP//case//20 dessa//DT|UTR/NEU|PLU|DEF//det//20 planer//NN|UTR|PLU|IND|NOM//obl//21 ligger//VB|PRS|AKT//advcl//14 underhållskostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//21 på//PP//case//27 ca//AB|AN//advmod//25 42//RG|NOM//nummod//26 miljoner//NN|UTR|PLU|IND|NOM//nmod//27 kronor//NN|UTR|PLU|IND|NOM//obl//21 enligt//PP//case//29 SFV//PM|NOM//obl//21 ://MID//punct//29 s//NN|AN//case//32 beräkningar//NN|UTR|PLU|IND|NOM//obl//21 .//MAD//punct//6

7.2.5 Synpunkter från Naturhistoriska riksmuseet;Formuleringen//NN|UTR|SIN|DEF|NOM//nsubj//12 av//PP//case//4 ett//DT|NEU|SIN|IND//det//4 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//4 avtal//NN|NEU|SIN|IND|NOM//nmod//0 enligt//PP//case//6 kostnadshyresprincipen//NN|UTR|SIN|DEF|NOM//nmod//4 har//VB|PRS|AKT//aux//12 inte//AB//advmod//12 varit//VB|SUP|AKT//cop//12 en//DT|UTR|SIN|IND//det//12 smärtfri//JJ|POS|UTR|SIN|IND|NOM//amod//12 procedur//NN|UTR|SIN|IND|NOM//ROOT//12 .//MAD//punct//12
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Diskussionen//NN|UTR|SIN|DEF|NOM//nsubj//19 har//VB|PRS|AKT//aux//19 till//PP//case//18 stor//JJ|POS|UTR|SIN|IND|NOM//amod//18 del//NN|UTR|SIN|IND|NOM//obl//19 handlat//VB|SUP|AKT//parataxis//12 om//PP//case//21 underhållsfrågan//NN|UTR|SIN|DEF|NOM//obl//19 .//MAD//punct//19
7.2.5 Synpunkter från Naturhistoriska riksmuseet;I//PP//case//24 förhandlingen//NN|UTR|SIN|DEF|NOM//obl//27 med//PP//case//26 SFV//PM|NOM//nmod//24 kom//VB|PRT|AKT//conj//19 man//PN|UTR|SIN|IND|SUB//nsubj//27 överens//PL//compound:prt//27 om//PP//mark//36 att//SN//mark//36 varje//DT|UTR/NEU|SIN|IND//det//34 investeringsprojekt//NN|NEU|SIN|IND|NOM//amod//34 framgent//AB//nsubj:pass//36 skall//VB|PRS|AKT//aux//36 diskuteras//VB|INF|SFO//ccomp//27 specifikt//AB|POS//advmod//36 när//HA//mark//40 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 gäller//VB|PRS|AKT//advcl//36 avskrivningstid//NN|UTR|SIN|IND|NOM//obj//40 .//MAD//punct//19
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Museet//NN|NEU|SIN|DEF|NOM//nsubj//45 har//VB|PRS|AKT//aux//45 kommit//VB|SUP|AKT//conj//19 överens//PL//advmod//45 med//PP//case//48 SFV//PM|NOM//obl//45 att//IE//mark//50 teckna//VB|INF|AKT//advcl//45 treårsavtal//NN|NEU|SIN|IND|NOM//obj//50 med//PP//case//54 samma//DT|UTR/NEU|SIN/PLU|IND//amod//54 hyra//NN|UTR|SIN|IND|NOM//obl//50 under//PP//case//58 de//DT|UTR/NEU|PLU|DEF//det//58 tre//RG|NOM//nummod//58 åren//NN|NEU|PLU|DEF|NOM//obl//50 ,//MID//punct//58 dvs.//AB|AN//advmod//62 en//DT|UTR|SIN|IND//det//62 utjämning//NN|UTR|SIN|IND|NOM//appos//58 som//HP|-|-|-//nsubj:pass//64 regleras//VB|PRS|SFO//acl:relcl//62 med//PP//case//68 hjälp//NN|UTR|SIN|IND|NOM//fixed//65 av//PP//fixed//65 underhållsplanen//NN|UTR|SIN|DEF|NOM//obl//64 .//MAD//punct//19
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Den//DT|UTR|SIN|DEF//det//72 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 risken//NN|UTR|SIN|DEF|NOM//nsubj//73 står//VB|PRS|AKT//parataxis//19 Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//75 riksmuseet//NN|NEU|SIN|DEF|NOM//obj//73 för//PP//case//80 enligt//PP//case//78 principen//NN|UTR|SIN|DEF|NOM//obl//80 kostnadsbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//80 hyra//NN|UTR|SIN|IND|NOM//obl//73 .//MAD//punct//19
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 riksmuseet//NN|NEU|SIN|DEF|NOM//nsubj//2 anser//VB|PRS|AKT//ROOT//2 att//SN//mark//7 avkastningskrav//NN|NEU|PLU|IND|NOM//nsubj//7 och//KN//cc//6 kalkylränta//NN|UTR|SIN|IND|NOM//conj//4 ligger//VB|PRS|AKT//ccomp//2 på//PL//compound:prt//7 för//AB//case//11 höga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 nivåer//NN|UTR|PLU|IND|NOM//obl//7 .//MAD//punct//2
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Den//DT|UTR|SIN|DEF//det//2 kostnadsbaserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 hyran//NN|UTR|SIN|DEF|NOM//nsubj//3 består//VB|PRS|AKT//ROOT//3 av//PP//case//6 fyra//RG|NOM//nummod//6 delar//NN|UTR|PLU|IND|NOM//nmod//8 nämligen//AB//advmod//6 SFV//PM|NOM//nsubj//3 ://MID//punct//8 s//NN|NEU|SIN|IND|GEN//nummod//11 administration//NN|UTR|SIN|IND|NOM//appos//8 ,//MID//punct//13 drift-//NN|UTR|-|-|SMS//conj//11 och//KN//cc//15 kapitalkostnader//NN|UTR|PLU|IND|NOM//conj//11 .//MID//punct//8
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Dessa//DT|UTR/NEU|PLU|DEF//det//19 tre//RG|NOM//nummod//19 komponenter//NN|UTR|PLU|IND|NOM//nsubj//20 innehåller//VB|PRS|AKT//parataxis//8 i//PP//advmod//20 stort//AB//fixed//21 sett//PC|PRF|NEU|SIN|IND|NOM//fixed//21 fasta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 kostnader//NN|UTR|PLU|IND|NOM//obj//20 .//MAD//punct//8
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Den//DT|UTR|SIN|DEF//det//29 fjärde//RO|NOM//amod//29 komponenten//NN|UTR|SIN|DEF|NOM//nsubj//36 ,//MID//punct//31 underhållskostnaden//NN|UTR|SIN|DEF|NOM//conj//29 ,//MID//punct//29 är//VB|PRS|AKT//cop//36 bara//AB//advmod//36 delvis//AB//advmod//36 förhandlingsbar//JJ|POS|UTR|SIN|IND|NOM//parataxis//8 .//MAD//punct//8
7.2.5 Synpunkter från Naturhistoriska riksmuseet;SFV//PM|NOM//nsubj//39 beslutar//VB|PRS|AKT//conj//3 på//PP//case//42 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//42 hand//NN|UTR|SIN|IND|NOM//obl//39 om//PP//case//45 de//DT|UTR/NEU|PLU|DEF//det//45 åtgärder//NN|UTR|PLU|IND|NOM//obl//39 som//HP|-|-|-//nsubj//47 har//VB|PRS|AKT//acl:relcl//45 till//PP//case//49 syfte//NN|NEU|SIN|IND|NOM//obj//47 att//IE//mark//51 säkra//VB|INF|AKT//advcl//47 byggnadernas//NN|UTR|PLU|DEF|GEN//nmod:poss//56 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//56 och//KN//cc//55 kulturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//53 värde//NN|NEU|SIN|IND|NOM//obj//51 .//MID//punct//39
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Dessa//DT|UTR/NEU|PLU|DEF//det//59 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//60 prioriteras//VB|PRS|SFO//parataxis//39 framför//PP//case//63 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 underhållsåtgärder//NN|UTR|PLU|IND|NOM//obl//60 .//MAD//punct//68
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 underhållsåtgärder//NN|UTR|PLU|IND|NOM//nsubj//68 är//VB|PRS|AKT//cop//68 förhandlingsbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//39 där//HA//advmod//74 Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//71 riksmuseets//NN|NEU|SIN|DEF|GEN//nmod:poss//72 ramanslag//NN|NEU|SIN|IND|NOM//nsubj//74 är//VB|PRS|AKT//cop//74 styrande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//68 för//PP//case//76 nivån//NN|UTR|SIN|DEF|NOM//obl//74 på//PP//case//79 dessa//DT|UTR/NEU|PLU|DEF//det//79 insatser//NN|UTR|PLU|IND|NOM//obl//74 .//MAD//punct//39
7.2.5 Synpunkter från Naturhistoriska riksmuseet;En//DT|UTR|SIN|IND//det//2 komplicerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 faktor//NN|UTR|SIN|IND|NOM//nsubj//7 i//PP//case//4 förhandlingar//NN|UTR|PLU|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//7 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 beslut//NN|NEU|SIN|IND|NOM//ROOT//7 att//IE//mark//10 endast//AB//advmod//10 anvisa//VB|INF|AKT//acl//7 delar//NN|UTR|PLU|IND|NOM//obj//10 av//PP//case//15 Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 riksmuseets//NN|NEU|SIN|DEF|GEN//nmod:poss//15 fastighetsbestånd//NN|NEU|SIN|IND|NOM//nmod//11 för//PP//case//19 den//DT|UTR|SIN|DEF//det//19 kostnadsbaserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//19 hyran//NN|UTR|SIN|DEF|NOM//nmod//15 .//MAD//punct//7
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Icke//AB//advmod//23 medtagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//23 byggnader//NN|UTR|PLU|IND|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 vaktmästarbostaden//NN|UTR|SIN|DEF|NOM//parataxis//7 och//KN//cc//27 posthuset//NN|NEU|SIN|DEF|NOM//conj//25 (//PAD//punct//25 båda//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj:pass//30 används//VB|PRS|SFO//parataxis//25 som//KN//mark//32 laboratorium//NN|NEU|SIN|IND|NOM//xcomp//30 och//KN//cc//34 kontor//NN|NEU|SIN|IND|NOM//conj//32 )//PAD//punct//25 ,//MID//punct//39 det//DT|NEU|SIN|DEF//det//39 s.k.//AB|AN//amod//39 spritmagasinet//NN|NEU|SIN|DEF|NOM//conj//25 ,//MID//punct//41 Cosmonova//PM|NOM//conj//39 och//KN//cc//45 den//DT|UTR|SIN|DEF//det//45 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 Paleozoologibyggnaden//NN|UTR|SIN|DEF|NOM//conj//39 (//PAD//punct//45 forskning//NN|UTR|SIN|IND|NOM//appos//45 )//PAD//punct//45 .//MAD//punct//25
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Vaktmästarbostaden//NN|UTR|SIN|DEF|NOM//nsubj//53 och//KN//cc//52 posthuset//NN|NEU|SIN|DEF|NOM//conj//50 ingår//VB|PRS|AKT//conj//25 i//PP//case//55 byggnadsminnet//NN|NEU|SIN|DEF|NOM//obl//53 ,//MID//punct//57 Cosmonova//PM|NOM//conj//55 och//KN//cc//59 spritmagasinet//NN|NEU|SIN|DEF|NOM//conj//55 är//VB|PRS|AKT//cop//62 knappast//AB|SUV//advmod//62 lokaler//NN|UTR|PLU|IND|NOM//conj//25 som//HP|-|-|-//nsubj//64 går//VB|PRS|AKT//acl:relcl//62 att//IE//mark//66 hyra//VB|INF|AKT//xcomp//64 ut//PL//compound:prt//66 till//PP//case//70 annan//JJ|POS|UTR|SIN|IND|NOM//amod//70 verksamhet//NN|UTR|SIN|IND|NOM//obl//66 .//MAD//punct//25
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Den//DT|UTR|SIN|DEF//det//74 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//74 Paleozoologibyggnaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//80 skulle//VB|PRT|AKT//aux//80 möjligtvis//AB//advmod//80 efter//PP//case//78 ombyggnad//NN|UTR|SIN|IND|NOM//obl//80 kunna//VB|INF|AKT//aux//80 hyras//VB|INF|SFO//conj//25 ut//PL//compound:prt//80 till//PP//case//84 annan//JJ|POS|UTR|SIN|IND|NOM//amod//84 verksamhet//NN|UTR|SIN|IND|NOM//obl//80 .//MAD//punct//25
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Det//DT|NEU|SIN|DEF//expl//88 nu//AB//advmod//88 sagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//25 innebär//VB|PRS|AKT//conj//25 att//SN//mark//92 man//PN|UTR|SIN|IND|SUB//nsubj//92 arbetar//VB|PRS|AKT//ccomp//89 med//PP//case//96 både//KN//cc//96 en//DT|UTR|SIN|IND//det//96 kostnadsbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//99 och//KN//cc//98 marknadsbaserad//PC|PRF|UTR|SIN|IND|NOM//conj//96 hyresmodell//NN|UTR|SIN|IND|NOM//obj//92 .//MAD//punct//7
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Fördelningen//NN|UTR|SIN|DEF|NOM//nsubj//105 är//VB|PRS|AKT//cop//105 85//RG|NOM//nummod//104 procent//NN|UTR|PLU|IND|NOM//obl//105 kostnadsbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//106 modell//NN|UTR|SIN|IND|NOM//appos//7 och//KN//cc//111 15//RG|NOM//nummod//109 procent//NN|UTR|PLU|IND|NOM//obl//110 marknadsbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//111 modell//NN|UTR|SIN|IND|NOM//conj//106 .//MAD//punct//7
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 riksmuseet//NN|NEU|SIN|DEF|NOM//nsubj//2 anser//VB|PRS|AKT//ROOT//2 att//SN//mark//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 är//VB|PRS|AKT//cop//6 orimligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//2 att//SN//mark//9 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//9 finns//VB|PRS|SFO//csubj//6 ett//DT|NEU|SIN|IND//det//11 avkastningskrav//NN|NEU|SIN|IND|NOM//nsubj//9 på//PP//case//14 en//DT|UTR|SIN|IND//det//14 kulturinstitution//NN|UTR|SIN|IND|NOM//nmod//11 i//PP//case//17 en//DT|UTR|SIN|IND//det//17 fastighet//NN|UTR|SIN|IND|NOM//nmod//14 byggd//PC|PRF|UTR|SIN|IND|NOM//amod//14 för//PP//case//21 sitt//PS|NEU|SIN|DEF//nmod:poss//21 ändamål//NN|NEU|SIN|IND|NOM//obl//18 vid//PP//case//24 1900-talets//NN|NEU|SIN|DEF|GEN//nmod:poss//24 början//NN|UTR|SIN|IND|NOM//obl//18 .//MAD//punct//2
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 skulle//VB|PRT|AKT//aux//29 vara//VB|INF|AKT//cop//29 angeläget//JJ|POS|NEU|SIN|IND|NOM//parataxis//2 med//PP//case//33 en//DT|UTR|SIN|IND//det//33 generell//JJ|POS|UTR|SIN|IND|NOM//amod//33 översyn//NN|UTR|SIN|IND|NOM//obl//29 av//PP//case//35 ansvarsfördelningen//NN|UTR|SIN|DEF|NOM//nmod//33 när//HA//mark//38 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//38 gäller//VB|PRS|AKT//advcl//29 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 underhållsåtgärder//NN|UTR|PLU|IND|NOM//obj//38 .//MAD//punct//2
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Vad//HP|NEU|SIN|IND//nsubj//1 gäller//VB|PRS|AKT//advcl//6 extraordinära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 åtgärder//NN|UTR|PLU|IND|NOM//nsubj//1 är//VB|PRS|AKT//cop//6 det//PN|NEU|SIN|DEF|SUB/OBJ//det//6 gränsdragningslistan//NN|UTR|SIN|DEF|NOM//ROOT//6 som//HP|-|-|-//nsubj//8 behandlar//VB|PRS|AKT//acl:relcl//6 denna//DT|UTR|SIN|DEF//det//10 fråga//NN|UTR|SIN|IND|NOM//obj//8 även//AB//mark//16 om//SN//fixed//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//16 är//VB|PRS|AKT//cop//16 Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 riksmuseet//NN|NEU|SIN|DEF|NOM//obl//8 som//HP|-|-|-//nsubj//18 har//VB|PRS|AKT//acl:relcl//16 det//DT|NEU|SIN|DEF//det//21 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 ansvaret//NN|NEU|SIN|DEF|NOM//obj//18 .//MAD//punct//6
7.2.5 Synpunkter från Naturhistoriska riksmuseet;För//PP//mark//2 att//IE//mark//2 komma//VB|INF|AKT//advcl//17 till//PP//compound:prt//2 rätta//NN|UTR|-|-|-//fixed//3 med//PP//case//8 det//DT|NEU|SIN|DEF//det//8 eftersatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//8 underhåll//NN|NEU|SIN|IND|NOM//obl//2 som//KN//nsubj//12 Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 riksmuseet//NN|NEU|SIN|DEF|NOM//nsubj//12 anser//VB|PRS|AKT//acl:relcl//8 föreligga//VB|INF|AKT//xcomp//12 bör//VB|PRS|AKT//aux//17 en//DT|UTR|SIN|IND//det//16 diskussion//NN|UTR|SIN|IND|NOM//nsubj:pass//17 föras//VB|INF|SFO//ROOT//17 mellan//PP//case//19 parterna//NN|UTR|PLU|DEF|NOM//obl//17 där//HA//advmod//22 man//PN|UTR|SIN|IND|SUB//nsubj//22 når//VB|PRS|AKT//acl:relcl//19 en//DT|UTR|SIN|IND//det//24 överenskommelse//NN|UTR|SIN|IND|NOM//obj//22 om//PP//case//28 ett//DT|NEU|SIN|IND//det//28 ”//PAD//nmod//28 nolläge//NN|NEU|SIN|IND|NOM//nmod//24 ”//PAD//punct//28 dvs.//AB|AN//advmod//32 ett//DT|NEU|SIN|IND//det//32 uppfyllande//NN|NEU|SIN|IND|NOM//appos//28 av//PP//case//35 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 standard//NN|UTR|SIN|IND|NOM//nmod//32 inkluderande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//38 ett//DT|NEU|SIN|IND//det//38 arbetsmiljökrav//NN|NEU|SIN|IND|NOM//nmod//32 enligt//PP//case//40 arbetsmiljölagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//38 .//MAD//punct//17
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Efter//PP//case//43 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//53 att//SN//mark//48 ett//DT|NEU|SIN|IND//det//47 s.k.//AB|AN//amod//47 nolläge//NN|NEU|SIN|IND|NOM//nsubj:pass//48 uppnåtts//VB|SUP|SFO//acl//43 kan//VB|PRS|AKT//aux//53 den//DT|UTR|SIN|DEF//det//52 kostnadsbaserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//52 hyresmodellen//NN|UTR|SIN|DEF|NOM//nsubj//53 verka//VB|INF|AKT//advcl//17 fullt//AB|POS//advmod//55 ut//AB//advmod//53 .//MAD//punct//17
7.2.5 Synpunkter från Naturhistoriska riksmuseet;Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 riksmuseet//NN|NEU|SIN|DEF|NOM//nsubj//2 anser//VB|PRS|AKT//ROOT//2 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 är//VB|PRS|AKT//cop//7 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 åtgärder//NN|UTR|PLU|IND|NOM//ccomp//2 som//HP|-|-|-//nsubj:pass//10 måste//VB|PRS|AKT//aux//10 vidtas//VB|INF|SFO//acl:relcl//7 när//HA//case//15 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//11 gäller//VB|PRS|AKT//fixed//11 fastighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 underhåll//NN|NEU|SIN|IND|NOM//obl//10 .//MAD//punct//2

7.3 Synpunkter från Statens fastighetsverk;SFV//PM|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 synpunkter//NN|UTR|PLU|IND|NOM//obj//1 på//PP//case//5 vad//HP|NEU|SIN|IND//dislocated//8 som//HP|-|-|-//nsubj:pass//8 har//VB|PRS|AKT//aux//8 framförts//VB|SUP|SFO//advcl//1 av//PP//case//10 kulturinstitutionerna//NN|UTR|PLU|DEF|NOM//obl:agent//8 .//MAD//punct//1
7.3 Synpunkter från Statens fastighetsverk;Allmänt//AB|POS//nsubj:pass//13 anförs//VB|PRS|SFO//parataxis//1 från//PP//case//15 SFV//PM|NOM//obl//13 ://MID//punct//13 s//NN|NEU|SIN|IND|GEN//nummod//18 sida//NN|UTR|SIN|IND|NOM//appos//13 att//SN//mark//21 institutionerna//NN|UTR|PLU|DEF|NOM//nsubj//21 förväxlar//VB|PRS|AKT//acl//18 underhållsåtgärder//NN|UTR|PLU|IND|NOM//obj//21 med//PP//case//24 investeringar//NN|UTR|PLU|IND|NOM//nmod//22 .//MAD//punct//13
7.3 Synpunkter från Statens fastighetsverk;Underhållsåtgärder//NN|UTR|PLU|IND|NOM//nsubj//27 syftar//VB|PRS|AKT//conj//1 till//PP//mark//30 att//IE//mark//30 vidmakthålla//VB|INF|AKT//advcl//27 en//DT|UTR|SIN|IND//det//32 byggnad//NN|UTR|SIN|IND|NOM//obj//30 i//PP//case//36 ett//DT|NEU|SIN|IND//det//36 visst//JJ|POS|NEU|SIN|IND|NOM//amod//36 skick//NN|NEU|SIN|IND|NOM//obl//30 .//MAD//punct//27
7.3 Synpunkter från Statens fastighetsverk;En//DT|UTR|SIN|IND//det//39 investering//NN|UTR|SIN|IND|NOM//nsubj//44 är//VB|PRS|AKT//cop//44 däremot//AB//advmod//44 en//DT|UTR|SIN|IND//det//44 värdehöjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 åtgärd//NN|UTR|SIN|IND|NOM//parataxis//27 som//HP|-|-|-//nsubj//47 skall//VB|PRS|AKT//aux//47 leda//VB|INF|AKT//acl:relcl//44 till//PP//case//51 ett//DT|NEU|SIN|IND//det//51 förhöjt//PC|PRF|NEU|SIN|IND|NOM//amod//51 värde//NN|NEU|SIN|IND|NOM//obl//47 .//MAD//punct//1

7.3.1 Kungliga Dramatiska Teatern AB;Den//DT|UTR|SIN|DEF//det//1 situation//NN|UTR|SIN|IND|NOM//nsubj//4 som//HP|-|-|-//nsubj//3 råder//VB|PRS|AKT//acl:relcl//1 innebär//VB|PRS|AKT//ROOT//4 en//DT|UTR|SIN|IND//det//7 årlig//JJ|POS|UTR|SIN|IND|NOM//amod//7 förlust//NN|UTR|SIN|IND|NOM//obj//4 för//PP//case//9 SFV//PM|NOM//nmod//7 med//PP//case//13 1,2//RG|NOM//nummod//12 miljoner//NN|UTR|PLU|IND|NOM//nmod//13 kronor//NN|UTR|PLU|IND|NOM//obl//4 .//MAD//punct//4
7.3.1 Kungliga Dramatiska Teatern AB;Vardagssamarbetet//NN|NEU|SIN|DEF|NOM//nsubj//16 fungerar//VB|PRS|AKT//parataxis//4 emellertid//AB//advmod//16 bra//AB|POS//advmod//16 .//MID//punct//16
7.3.1 Kungliga Dramatiska Teatern AB;När//HA//case//23 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//20 gäller//VB|PRS|AKT//fixed//20 diskussionen//NN|UTR|SIN|DEF|NOM//obl//16 om//PP//case//25 avkastningskrav//NN|NEU|PLU|IND|NOM//nmod//23 anser//VB|PRS|AKT//advcl//16 SFV//PM|NOM//obj//26 att//SN//mark//30 Dramaten//PM|NOM//nsubj//30 förväxlar//VB|PRS|AKT//ccomp//26 begreppen//NN|NEU|PLU|DEF|NOM//amod//32 direktavkastning//NN|UTR|SIN|IND|NOM//obj//30 och//KN//cc//34 avkastning//NN|UTR|SIN|IND|NOM//conj//32 på//PP//case//37 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//37 kapital//NN|NEU|SIN|IND|NOM//obl//30 .//MAD//punct//16
7.3.1 Kungliga Dramatiska Teatern AB;Fastighetsverket//NN|NEU|SIN|DEF|NOM//nsubj//1 uppger//VB|PRS|AKT//ROOT//1 att//SN//mark//12 det//DT|NEU|SIN|DEF//det//4 avkastningskrav//NN|NEU|SIN|IND|NOM//nsubj//12 som//HP|-|-|-//obj//7 SFV//PM|NOM//nsubj//7 ställer//VB|PRS|AKT//acl:relcl//4 på//PP//case//9 Dramaten//PM|NOM//obl//7 är//VB|PRS|AKT//cop//12 det//DT|NEU|SIN|DEF//det//12 avkastningskrav//NN|NEU|SIN|IND|NOM//ccomp//1 som//HP|-|-|-//nsubj:pass//14 ställs//VB|PRS|SFO//acl:relcl//12 av//PP//case//16 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//14 .//MAD//punct//1
7.3.1 Kungliga Dramatiska Teatern AB;Fördelningen//NN|UTR|SIN|DEF|NOM//nsubj//7 när//HA//case//4 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//1 gäller//VB|PRS|AKT//fixed//1 ansvar//NN|NEU|SIN|IND|NOM//nmod//0 för//PP//case//6 underhållsåtgärder//NN|UTR|PLU|IND|NOM//nmod//4 framgår//VB|PRS|AKT//ROOT//7 av//PP//case//9 gränsdragningslista//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//7
7.3.1 Kungliga Dramatiska Teatern AB;Ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//14 för//PP//case//13 säkerhetsåtgärder//NN|UTR|PLU|IND|NOM//nmod//11 ligger//VB|PRS|AKT//parataxis//7 på//PP//case//16 hyresgästen//NN|UTR|SIN|DEF|NOM//obl//14 .//MID//punct//14
