7 Särskilt beträffande kulturinstitutioner ;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//8 ://MID//punct//1
7.1 Inledning;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//27 har//VB|PRS|AKT//aux//27 närmare//AB|KOM//advmod//27 studerat//VB|SUP|AKT//parataxis//4 de//DT|UTR/NEU|PLU|DEF//det//30 fem//RG|NOM//nummod//30 institutioner//NN|UTR|PLU|IND|NOM//obj//27 för//PP//case//32 vilka//HP|UTR/NEU|PLU|IND//obl//35 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//35 har//VB|PRS|AKT//aux//35 beslutats//VB|SUP|SFO//acl:relcl//30 att//SN//mark//39 kostnadshyra//NN|UTR|SIN|IND|NOM//nsubj//39 skall//VB|PRS|AKT//aux//39 gälla//VB|INF|AKT//advcl//35 .//MAD//punct//27
7.1 Inledning;En//DT|UTR|SIN|IND//det//42 enkät//NN|UTR|SIN|IND|NOM//nsubj:pass//47 med//PP//case//45 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 frågor//NN|UTR|PLU|IND|NOM//nmod//42 har//VB|PRS|AKT//aux//47 skickats//VB|SUP|SFO//parataxis//27 ut//PL//compound:prt//47 till//PP//case//52 de//DT|UTR/NEU|PLU|DEF//det//52 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 institutionerna//NN|UTR|PLU|DEF|NOM//obl//47 .//MAD//punct//27
7.1 Inledning;Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 riksmuseet//NN|NEU|SIN|DEF|NOM//nsubj//57 har//VB|PRS|AKT//aux//57 träffat//VB|SUP|AKT//parataxis//27 ett//DT|NEU|SIN|IND//det//59 hyresavtal//NN|NEU|SIN|IND|NOM//obj//57 med//PP//case//61 SFV//PM|NOM//nmod//59 om//PP//case//63 kostnadshyra//NN|UTR|SIN|IND|NOM//nmod//61 och//KN//cc//65 frågorna//NN|UTR|PLU|DEF|NOM//conj//63 för//PP//case//68 denna//DT|UTR|SIN|DEF//det//68 institution//NN|UTR|SIN|IND|NOM//nmod//65 har//VB|PRS|AKT//aux//71 därför//AB//advmod//71 formulerats//VB|SUP|SFO//conj//4 på//PP//case//76 ett//DT|NEU|SIN|IND//det//76 något//AB//advmod//75 annorlunda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//76 sätt//NN|NEU|SIN|IND|NOM//obl//71 än//KN//mark//81 för//PP//case//81 de//DT|UTR/NEU|PLU|DEF//det//81 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 institutionerna//NN|UTR|PLU|DEF|NOM//acl//76 .//MAD//punct//4
7.1 Inledning;Till//PP//mark//2 att//IE//mark//2 börja//VB|INF|AKT//advcl//6 med//PP//compound:prt//2 har//VB|PRS|AKT//aux//6 kulturinstitutionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//6 tillfrågats//VB|SUP|SFO//ROOT//6 hur//HA//advmod//10 rådande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 förhandlingsläge//NN|NEU|SIN|IND|NOM//nsubj//10 är//VB|PRS|AKT//ccomp//6 med//PP//case//12 SFV//PM|NOM//obl//10 .//MAD//punct//6
7.1 Inledning;Kulturinstitutionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//17 har//VB|PRS|AKT//aux//17 även//AB//advmod//17 tillfrågats//VB|SUP|SFO//parataxis//6 hur//HA//advmod//21 hyresnivån//NN|UTR|SIN|DEF|NOM//nsubj:pass//21 har//VB|PRS|AKT//aux//21 förändrats//VB|SUP|SFO//ccomp//17 efter//PP//case//24 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 beslut//NN|NEU|SIN|IND|NOM//obl//21 om//PP//mark//29 att//SN//mark//29 kostnadshyra//NN|UTR|SIN|IND|NOM//nsubj//29 skall//VB|PRS|AKT//aux//29 gälla//VB|INF|AKT//advcl//21 .//MAD//punct//17
7.1 Inledning;Frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//37 med//PP//case//33 anknytning//NN|UTR|SIN|IND|NOM//nmod//31 till//PP//case//35 avkastningskravet//NN|NEU|SIN|DEF|NOM//nmod//33 har//VB|PRS|AKT//aux//37 ställts//VB|SUP|SFO//parataxis//17 .//MAD//punct//17
7.1 Inledning;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//41 har//VB|PRS|AKT//aux//41 frågat//VB|SUP|AKT//conj//17 om//PP//compound:prt//41 och//KN//cc//51 i//PP//case//46 så//AB//amod//46 fall//NN|NEU|SIN|IND|NOM//obl//51 i//PP//case//49 vilka//HD|UTR/NEU|PLU|IND//det//49 avseenden//NN|NEU|PLU|IND|NOM//nmod//46 det//PN|NEU|SIN|DEF|SUB/OBJ//det//51 föreligger//VB|PRS|AKT//conj//41 delade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//6 meningar//NN|UTR|PLU|IND|NOM//obj//52 mellan//PP//case//56 respektive//AB//amod//56 institution//NN|UTR|SIN|IND|NOM//nmod//53 och//KN//cc//58 SFV//PM|NOM//conj//56 när//HA//case//62 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//59 gäller//VB|PRS|AKT//fixed//59 beräkning//NN|UTR|SIN|IND|NOM//obl//52 av//PP//case//64 kostnadshyra//NN|UTR|SIN|IND|NOM//nmod//62 .//MAD//punct//6
7.1 Inledning;Ett//DT|NEU|SIN|IND//det//2 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//2 område//NN|NEU|SIN|IND|NOM//ROOT//2 är//VB|PRS|AKT//cop//2 hur//HA//advmod//9 ansvaret//NN|NEU|SIN|DEF|NOM//nsubj:pass//9 för//PP//case//7 underhållsåtgärder//NN|UTR|PLU|IND|NOM//nmod//5 har//VB|PRS|AKT//aux//9 fördelats//VB|SUP|SFO//csubj//2 mellan//PP//case//12 respektive//AB//amod//12 institution//NN|UTR|SIN|IND|NOM//obl//9 och//KN//cc//14 SFV//PM|NOM//conj//12 och//KN//cc//18 om//SN//case//18 respektive//AB//amod//18 institution//NN|UTR|SIN|IND|NOM//nsubj//19 anser//VB|PRS|AKT//conj//9 att//SN//mark//29 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 ansvarsfördelning//NN|UTR|SIN|IND|NOM//nsubj//29 när//HA//case//27 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//23 gäller//VB|PRS|AKT//fixed//23 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 underhållsåtgärder//NN|UTR|PLU|IND|NOM//nmod//22 är//VB|PRS|AKT//cop//29 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//19 .//MAD//punct//2
7.1 Inledning;Institutionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//33 har//VB|PRS|AKT//aux//33 tillfrågats//VB|SUP|SFO//parataxis//2 hur//HA//advmod//36 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//36 anser//VB|PRS|AKT//ccomp//33 att//SN//mark//45 ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//45 för//PP//case//40 underhållsåtgärder//NN|UTR|PLU|IND|NOM//nmod//38 i//PP//case//43 annat//JJ|POS|NEU|SIN|IND|NOM//amod//43 fall//NN|NEU|SIN|IND|NOM//nmod//40 bör//VB|PRS|AKT//aux//45 vara//VB|INF|AKT//ccomp//36 .//MAD//punct//2
7.1 Inledning;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//3 har//VB|PRS|AKT//aux//3 även//AB//advmod//3 tillfrågats//VB|SUP|SFO//ROOT//3 hur//HA//advmod//6 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//6 anser//VB|PRS|AKT//ccomp//3 att//SN//mark//10 ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//10 skall//VB|PRS|AKT//aux//10 ligga//VB|INF|AKT//ccomp//6 i//PP//case//13 de//DT|UTR/NEU|PLU|DEF//det//13 fall//NN|NEU|PLU|IND|NOM//obl//10 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 kan//VB|PRS|AKT//aux//16 föreligga//VB|INF|AKT//conj//3 eftersatt//PC|PRF|NEU|SIN|IND|NOM//amod//18 underhåll//NN|NEU|SIN|IND|NOM//obj//16 .//MAD//punct//3
