– Järnvägsprotokollet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Kapstadsutredningen//PM|NOM//nmod//0 II//RG|NOM//nummod//2 –//NN|AN//punct//6 Internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 säkerhetsrätter//NN|UTR|PLU|IND|NOM//appos//0 i//PP//case//9 rullande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 järnvägsmateriel//NN|NEU|SIN|IND|NOM//nmod//6
– Järnvägsprotokollet;Stockholm//PM|NOM//ROOT//0 2016//RG|NOM//nummod//0

Till statsrådet Morgan Johansson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 17//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 2015//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 ta//VB|INF|AKT//acl//12 ställning//NN|UTR|SIN|IND|NOM//obj//14 till//PP//mark//20 om//SN//mark//20 Sverige//PM|NOM//nsubj//20 bör//VB|PRS|AKT//aux//20 tillträda//VB|INF|AKT//advcl//14 Luxembourg//PM|NOM//nmod//22 protokollet//NN|NEU|SIN|DEF|NOM//obj//20 om//PP//case//25 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 frågor//NN|UTR|PLU|IND|NOM//obl//20 rörande//PP//case//28 rullande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 järnvägsmateriel//NN|NEU|SIN|IND|NOM//nmod//25 till//PP//case//30 konvention//NN|UTR|SIN|IND|NOM//nmod//28 om//PP//case//30 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 säkerhetsrätter//NN|UTR|PLU|IND|NOM//nmod//30 i//PP//case//36 lösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 saker//NN|UTR|PLU|IND|NOM//nmod//33 (//PAD//punct//4 Luxembourg//PM|NOM//compound//39 protocol//UO//appos//4 to//UO//case//42 the//UO//det//42 convention//UO//nmod//39 on//UO//punct//4 international//UO//advmod//45 interests//UO//conj//1 in//UO//compound:prt//45 mobile//UO//amod//48 equipment//UO//obl//45 on//UO//case//54 matters//UO//nmod:poss//51 specific//UO//nmod//54 to//UO//amod//54 railway//UO//amod//54 rolling//UO//obl//1 stock//UO//advmod//1 ,//MID//punct//55 i//PP//case//58 fortsättningen//NN|UTR|SIN|DEF|NOM//obl//55 järnvägsprotokollet//NN|NEU|SIN|DEF|NOM//obj//1 eller//KN//cc//61 protokollet//NN|NEU|SIN|DEF|NOM//conj//59 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet Morgan Johansson;I//PP//case//1 uppdraget//NN|NEU|SIN|DEF|NOM//obl//2 ingick//VB|PRT|AKT//ROOT//2 också//AB//advmod//2 att//IE//mark//5 föreslå//VB|INF|AKT//xcomp//2 vilka//HD|UTR/NEU|PLU|IND//det//7 förklaringar//NN|UTR|PLU|IND|NOM//obj//5 till//PP//case//9 protokollet//NN|NEU|SIN|DEF|NOM//nmod//7 som//HP|-|-|-//obl//13 Sverige//PM|NOM//nsubj//13 bör//VB|PRS|AKT//aux//13 lämna//VB|INF|AKT//acl:relcl//9 vid//PP//case//16 ett//DT|NEU|SIN|IND//det//16 tillträde//NN|NEU|SIN|IND|NOM//obl//13 samt//KN//cc//19 att//IE//mark//19 ange//VB|INF|AKT//conj//13 på//PP//case//22 vilket//HD|NEU|SIN|IND//det//22 sätt//NN|NEU|SIN|IND|NOM//obl//19 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//27 i//PP//case//25 protokollet//NN|NEU|SIN|DEF|NOM//nmod//23 bör//VB|PRS|AKT//aux//27 införlivas//VB|INF|SFO//advcl//19 med//PP//case//30 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//30 rätt//NN|UTR|SIN|IND|NOM//obl//27 .//MAD//punct//2
Till statsrådet Morgan Johansson;Den//DT|UTR|SIN|DEF//det//34 särskilde//PC|PRF|MAS|SIN|DEF|NOM//amod//34 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//38 hade//VB|PRT|AKT//aux//38 även//AB//advmod//38 i//PP//case//38 uppdrag//NN|NEU|SIN|IND|NOM//parataxis//2 att//IE//mark//40 ta//VB|INF|AKT//acl//38 ställning//NN|UTR|SIN|IND|NOM//obj//40 till//PP//mark//46 om//SN//mark//46 Sverige//PM|NOM//nsubj//46 ska//VB|PRS|AKT//aux//46 utse//VB|INF|AKT//advcl//40 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//48 kontaktpunkter//NN|UTR|PLU|IND|NOM//obj//46 som//HP|-|-|-//nsubj//50 sköter//VB|PRS|AKT//acl:relcl//48 kontakten//NN|UTR|SIN|DEF|NOM//obj//50 med//PP//case//55 det//DT|NEU|SIN|DEF//det//55 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 registret//NN|NEU|SIN|DEF|NOM//obl//50 .//MAD//punct//2
Till statsrådet Morgan Johansson;I//PP//case//58 uppdraget//NN|NEU|SIN|DEF|NOM//obl//59 ingick//VB|PRT|AKT//parataxis//2 slutligen//AB//advmod//59 att//IE//mark//62 lämna//VB|INF|AKT//advcl//59 de//DT|UTR/NEU|PLU|DEF//det//64 författningsförslag//NN|NEU|PLU|IND|NOM//obj//62 som//HP|-|-|-//case//68 ett//DT|NEU|SIN|IND//det//68 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//68 tillträde//NN|NEU|SIN|IND|NOM//obl//62 till//PP//case//70 protokollet//NN|NEU|SIN|DEF|NOM//nmod//68 kräver//VB|PRS|AKT//conj//2 eller//KN//cc//76 som//KN//nsubj//76 i//PP//advmod//76 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//74 bedöms//VB|PRS|SFO//conj//2 lämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//76 för//PP//mark//84 att//SN//fixed//78 protokollets//NN|NEU|SIN|DEF|GEN//nmod:poss//81 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//84 ska//VB|PRS|AKT//aux//84 kunna//VB|INF|AKT//aux//84 tillämpas//VB|INF|SFO//advcl//76 fullt//AB|POS//advmod//86 ut//AB//advmod//84 .//MAD//punct//2
Till statsrådet Morgan Johansson;Samma//DT|UTR/NEU|SIN/PLU|IND//det//1 dag//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 lagmannen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 numera//AB//advmod//2 hovrättspresidenten//NN|UTR|SIN|DEF|NOM//nmod//6 Ralf//PM|NOM//nsubj//2 G//PM|NOM//flat:name//6 Larsson//PM|NOM//flat:name//7 till//PP//case//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
Till statsrådet Morgan Johansson;Som//KN//case//1 expert//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 17//RG|NOM//nummod//10 juni//NN|UTR|SIN|IND|NOM//obl//4 2015//RG|NOM//punct//10 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//13 Sara//PM|NOM//appos//10 Skouras//PM|NOM//flat:name//13 .//MID//punct//10
Till statsrådet Morgan Johansson;Den//DT|UTR|SIN|DEF//det//18 10//RG|NOM//nummod//18 augusti//NN|UTR|SIN|IND|NOM//obl//20 2015//RG|NOM//nummod//18 förordnades//VB|PRT|SFO//parataxis//10 ämnessakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//22 Josefin//PM|NOM//nsubj//20 Malmin//PM|NOM//flat//22 ,//MID//punct//25 Justitiedepartementet//PM|NOM//conj//22 som//KN//mark//27 ämnessakkunnig//NN|UTR|SIN|IND|NOM//conj//22 i//PP//case//29 utredningen//NN|UTR|SIN|DEF|NOM//obl//20 .//MAD//punct//4
Till statsrådet Morgan Johansson;Den//DT|UTR|SIN|DEF//det//33 17//RG|NOM//nummod//33 augusti//NN|UTR|SIN|IND|NOM//obl//35 2015//RG|NOM//nummod//33 förordnades//VB|PRT|SFO//parataxis//4 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//37 Lars//PM|NOM//nsubj//35 Falksveden//PM|NOM//flat:name//37 ,//MID//punct//37 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//37 ,//MID//punct//37 advokaten//NN|UTR|SIN|DEF|NOM//nmod//43 Maria//PM|NOM//appos//37 Chambers//PM|NOM//flat:name//43 ,//MID//punct//43 Sveriges//PM|GEN//nmod:poss//47 Advokatsamfund//NN|NEU|SIN|IND|NOM//conj//37 ,//MID//punct//47 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//50 Petra//PM|NOM//compound//86 Jansson//PM|NOM//flat:name//50 ,//MID//punct//53 Exportkreditnämnden//PM|NOM//conj//50 ,//MID//punct//53 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//56 Andreas//PM|NOM//conj//50 Kappen//NN|UTR|SIN|DEF|NOM//flat:name//56 ,//MID//punct//59 Kronofogdemyndigheten//PM|NOM//conj//56 ,//MID//punct//61 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//62 Magnus//PM|NOM//appos//50 Rundgren//PM|NOM//flat:name//62 ,//MID//punct//66 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//66 Bankföreningen//NN|UTR|SIN|DEF|NOM//conj//50 ,//MID//punct//66 docenten//NN|UTR|SIN|DEF|NOM//nmod//69 Johan//PM|NOM//appos//50 Schelin//PM|NOM//flat//69 ,//MID//punct//69 Juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 institutionen//NN|UTR|SIN|DEF|NOM//conj//50 ,//MID//punct//76 Stockholms//PM|GEN//nmod:poss//76 universitet//NN|NEU|SIN|IND|NOM//conj//50 ,//MID//punct//79 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//79 Mikael//PM|NOM//conj//50 Wågberg//PM|NOM//flat:name//79 ,//MID//punct//82 Tågoperatörerna//NN|UTR|PLU|DEF|NOM//conj//50 och//KN//cc//85 juristen//NN|UTR|SIN|DEF|NOM//nmod//85 Susanna//PM|NOM//compound//86 Angantyr//PM|NOM//obl:agent//35 ,//MID//punct//88 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//parataxis//4 som//KN//mark//90 experter//NN|UTR|PLU|IND|NOM//nmod//88 i//PP//case//92 utredningen//NN|UTR|SIN|DEF|NOM//nmod//90 .//MAD//punct//4
