För digitalisering i tiden;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Digitaliseringskommissionen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet Peter Eriksson;2015:18//RG|NOM//obl//4 )//PAD//punct//11 där//HA//advmod//20 Digitaliseringskommissionen//NN|UTR|SIN|DEF|NOM//nsubj//20 under//PP//case//18 den//DT|UTR|SIN|DEF//det//18 återstående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 utredningstiden//NN|UTR|SIN|DEF|NOM//obl//20 skulle//VB|PRT|AKT//aux//20 genomföra//VB|INF|AKT//parataxis//4 en//DT|UTR|SIN|IND//det//22 omvärldsanalys//NN|UTR|SIN|IND|NOM//obj//20 ,//MID//punct//24 identifiera//VB|INF|AKT//conj//20 strategiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 områden//NN|NEU|PLU|IND|NOM//obj//24 samt//KN//cc//28 utreda//VB|INF|AKT//conj//20 hur//HA//advmod//28 ett//DT|NEU|SIN|IND//det//32 nationellt//JJ|POS|NEU|SIN|IND|NOM//advmod//32 främjande//NN|NEU|SIN|IND|NOM//nsubj:pass//36 inom//PP//case//34 området//NN|NEU|SIN|DEF|NOM//nmod//32 bör//VB|PRS|AKT//aux//36 bedrivas//VB|INF|SFO//ccomp//28 .//MAD//punct//4
Till statsrådet Peter Eriksson;Den//DT|UTR|SIN|DEF//det//2 26//RG|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//obl//4 2015//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 om//PP//case//7 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//4 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//7
Till statsrådet Peter Eriksson;2015:123//RG|NOM//nummod//4 )//PAD//punct//11 där//HA//advmod//16 Digitaliseringskommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 uppdrag//NN|NEU|SIN|IND|NOM//nsubj:pass//16 förlängdes//VB|PRT|SFO//acl:relcl//11 till//PP//case//20 den//DT|UTR|SIN|DEF//det//20 31//RG|NOM//nummod//20 december//NN|UTR|SIN|IND|NOM//obl//16 2016//RG|NOM//nummod//20 .//MAD//punct//4
Till statsrådet Peter Eriksson;Enligt//PP//case//24 direktivet//NN|NEU|SIN|DEF|NOM//obl//25 bestod//VB|PRT|AKT//conj//4 Digitaliseringskommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//25 under//PP//case//29 2016//RG|NOM//nmod//27 av//PP//mark//32 att//IE//mark//32 redovisa//VB|INF|AKT//advcl//25 kunskapssammanställningar//NN|UTR|PLU|IND|NOM//obj//32 om//PP//case//36 digitaliseringens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 effekter//NN|UTR|PLU|IND|NOM//nmod//33 på//PP//case//38 samhället//NN|NEU|SIN|DEF|NOM//nmod//36 och//KN//cc//40 individen//NN|UTR|SIN|DEF|NOM//conj//38 samt//KN//cc//43 att//IE//mark//43 stödja//VB|INF|AKT//conj//25 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//45 arbete//NN|NEU|SIN|IND|NOM//obj//43 i//PP//case//48 digitaliseringsfrämjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 frågor//NN|UTR|PLU|IND|NOM//obl//43 .//MAD//punct//4
Till statsrådet Peter Eriksson;Till//PP//case//1 experter//NN|UTR|PLU|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//fixed//3 med//PP//fixed//3 den//DT|UTR|SIN|DEF//det//8 30//RG|NOM//nummod//8 januari//NN|UTR|SIN|IND|NOM//nmod//11 2013//RG|NOM//nummod//10 Kristina//PM|NOM//nmod//11 Alexanderson//PM|NOM//nsubj//2 ,//MID//punct//13 Johanna//PM|NOM//appos//11 Berg//PM|NOM//flat:name//13 ,//MID//punct//13 Jenny//PM|NOM//conj//11 Birkestad//PM|NOM//flat:name//16 ,//MID//punct//19 Niklas//PM|NOM//conj//11 Derouche//PM|NOM//advmod//19 ,//MID//punct//19 Anne-Marie//PM|NOM//nmod//19 Eklund-Löwinder//PM|NOM//flat:name//22 ,//MID//punct//25 Daniel//PM|NOM//conj//11 Forslund//PM|NOM//flat:name//25 ,//MID//punct//28 Mikael//PM|NOM//conj//11
Till statsrådet Peter Eriksson;Hansson//PM|NOM//dep//19 ,//MID//punct//0 Jan//PM|NOM//conj//0 Hylén//PM|NOM//flat:name//2 ,//MID//punct//5 Cecilia//PM|NOM//conj//0 Marlow//PM|NOM//flat:name//5 ,//MID//punct//5 Per//PM|NOM//conj//0 Mosseby//PM|NOM//flat//8 ,//MID//punct//11 Sofia//PM|NOM//conj//0 Svanteson//PM|NOM//flat:name//11 och//KN//cc//14 Daniel//PM|NOM//conj//0 Westman//PM|NOM//flat//14 .//MID//punct//0
Till statsrådet Peter Eriksson;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//18 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//19 entledigades//VB|PRT|SFO//ROOT//19 den//DT|UTR|SIN|DEF//det//22 25//RG|NOM//nummod//22 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//19 2015//RG|NOM//nummod//22 .//MAD//punct//19
Till statsrådet Peter Eriksson;Till//PP//case//2 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 experter//NN|UTR|PLU|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 25//RG|NOM//nummod//6 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//3 2015//RG|NOM//nummod//8 Karin//PM|NOM//appos//6 Bradley//PM|NOM//flat:name//8 ,//MID//punct//8 Maja//PM|NOM//appos//8 Brisvall//PM|NOM//flat//11 ,//MID//punct//11 Anna//PM|NOM//nmod//11 Felländer//PM|NOM//flat//14 ,//MID//punct//17 Stefan//PM|NOM//conj//6 Henningson//PM|NOM//flat:name//17 ,//MID//punct//17 Shahyan//PM|NOM//nmod:poss//21 Khan//PM|NOM//conj//6 ,//MID//punct//23 Kerstin//PM|NOM//conj//6 Lindvall//PM|NOM//flat//23 ,//MID//punct//27 Paulina//PM|NOM//compound//27 Modlitba//PM|NOM//conj//6 Söderlund//PM|NOM//flat//27 ,//MID//punct//27 Rene//PM|NOM//conj//6 Summer//PM|NOM//flat//30 ,//MID//punct//6 Fredrik//PM|NOM//appos//6 Söderqvist//PM|NOM//flat:name//33 och//KN//cc//36 Åsa//PM|NOM//conj//33 Zetterberg//PM|NOM//flat//36 .//MAD//punct//6
Till statsrådet Peter Eriksson;Kerstin//PM|NOM//nsubj:pass//41 Lindvall//PM|NOM//flat:name//39 entledigades//VB|PRT|SFO//conj//3 den//DT|UTR|SIN|DEF//det//44 31//RG|NOM//nummod//44 december//NN|UTR|SIN|IND|NOM//obl//41 2015//RG|NOM//nummod//44 .//MAD//punct//41
Till statsrådet Peter Eriksson;Karl//PM|NOM//nsubj//49 Palmås//PM|NOM//flat//47 förordnades//VB|PRT|SFO//conj//41 till//PP//case//54 expert//NN|UTR|SIN|IND|NOM//fixed//50 den//DT|UTR|SIN|DEF//det//54 9//RO|NOM//nummod//54 februari//NN|UTR|SIN|IND|NOM//obl//49 2016//RG|NOM//nummod//54 .//MAD//punct//3
