Myndigheter och organisationer under Miljödepartementet –  en kartläggning ;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Miljömyndighetsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
1 Vårt upplägg;För//PP//case//39 en//DT|UTR|SIN|IND//det//39 fullständig//JJ|POS|UTR|SIN|IND|NOM//amod//39 redogörelse//NN|UTR|SIN|IND|NOM//obl//43 av//PP//case//42 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//42 direktiv//NN|NEU|PLU|IND|NOM//nmod//39 hänvisar//VB|PRS|AKT//parataxis//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//43 till//PP//case//46 bilaga//NN|UTR|SIN|IND|NOM//obl//43 1//RG|NOM//nummod//46 .//MAD//punct//43
1 Vårt upplägg;Sveriges//PM|GEN//nmod:poss//4 meteorologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 och//KN//cc//3 hydrologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//1 institut//NN|NEU|SIN|IND|NOM//ROOT//4 (//PAD//punct//4 SMHI//PM|NOM//appos//4 )//PAD//punct//6 ,//MID//punct//9 Strålsäkerhetsmyndigheten//NN|UTR|SIN|DEF|NOM//conj//4 och//KN//cc//12  //_SP////10 Forskningsrådet//NN|NEU|SIN|DEF|NOM//conj//4 för//PP//case//14 miljö//NN|UTR|SIN|IND|NOM//nmod//12 ,//MID//punct//17 areella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 näringar//NN|UTR|PLU|IND|NOM//conj//14 och//KN//cc//19 samhällsbyggande//NN|NEU|SIN|IND|NOM//conj//14 (//PAD//punct//21 Formas//VB|PRS|SFO//appos//12 )//PAD//punct//21 samt//KN//cc//24 stiftelserna//NN|UTR|PLU|DEF|NOM//conj//4 m.m.//AB|AN//nmod//24 Stockholms//PM|GEN//conj//24 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 miljöinstitut//NN|NEU|SIN|IND|NOM//conj//24 (//PAD//punct//24 SEI//PM|NOM//appos//24 )//PAD//punct//24 ,//MID//punct//4 IVL//PM|NOM//nmod//35 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 Miljöinstitutet//NN|NEU|SIN|DEF|NOM//appos//4 AB//PM|NOM//flat:name//35 ,//MID//punct//35 Stiftelsen//NN|UTR|SIN|DEF|NOM//conj//4 för//PP//case//41 Internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 institutet//NN|NEU|SIN|DEF|NOM//nmod//38 för//PP//case//44 industriell//JJ|POS|UTR|SIN|IND|NOM//amod//44 miljöekonomi//NN|UTR|SIN|IND|NOM//nmod//41 vid//PP//case//47 Lunds//PM|GEN//nmod:poss//47 universitet//NN|NEU|SIN|IND|NOM//nmod//44 (//PAD//punct//49 SIIIEE//PM|NOM//appos//47 )//PAD//punct//49 ,//MID//punct//52 Stiftelsen//NN|UTR|SIN|DEF|NOM//conj//4 för//PP//case//55 miljöstrategisk//JJ|POS|UTR|SIN|IND|NOM//amod//55 forskning//NN|UTR|SIN|IND|NOM//nmod//52 (//PAD//punct//52 Mistra//PM|NOM//appos//52 )//PAD//punct//52 och//KN//cc//61 Stiftelsen//NN|UTR|SIN|DEF|NOM//nmod//61 Institutet//NN|NEU|SIN|DEF|NOM//conj//4 för//PP//case//63 vatten-//NN|NEU|-|-|SMS//nmod//61 och//KN//cc//65 luftvårdsforskning//NN|UTR|SIN|IND|NOM//conj//63 (//PAD//punct//61 SIVL//PM|NOM//appos//61 )//PAD//punct//61 under//PP//case//70 Miljödepartementet//NN|NEU|SIN|DEF|NOM//nmod//4 .//MAD//punct//4
1 Vårt upplägg;I//PP//case//2 vårt//PS|NEU|SIN|DEF//nmod:poss//2 delbetänkande//NN|NEU|SIN|IND|NOM//obl//3 redovisar//VB|PRS|AKT//ROOT//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 –//PAD//punct//10 i//PP//case//10 enlighet//NN|UTR|SIN|IND|NOM//fixed//6 med//PP//fixed//6 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//10 direktiv//NN|NEU|PLU|IND|NOM//obl//3 –//RG|NOM//punct//12 kartläggningsdelen//NN|UTR|SIN|DEF|NOM//appos//10 av//PP//case//14 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//12 som//HP|-|-|-//nsubj//16 innebär//VB|PRS|AKT//acl:relcl//14 att//IE//mark//25 i//PP//case//21 fråga//NN|UTR|SIN|IND|NOM//fixed//18 om//PP//fixed//18 myndigheterna//NN|UTR|PLU|DEF|NOM//obl//25 under//PP//case//24 Miljödepartementet//NN|NEU|SIN|DEF|NOM//nmod//24 1//RG|NOM//nmod//21 kartlägga//VB|INF|AKT//ccomp//16 rådande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 myndighets-//NN|UTR|-|-|SMS//obj//25 och//KN//cc//29 verksamhetsstruktur//NN|UTR|SIN|IND|NOM//conj//27 ,//MID//punct//31 ansvarsfördelning//NN|UTR|SIN|IND|NOM//conj//27 och//KN//cc//33 funktioner//NN|UTR|PLU|IND|NOM//conj//27 ,//MID//punct//12 2//RG|NOM//nummod//36 beskriva//VB|INF|AKT//conj//3 de//DT|UTR/NEU|PLU|DEF//det//39 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 förändringarna//NN|UTR|PLU|DEF|NOM//obj//36 av//PP//case//43 den//DT|UTR|SIN|DEF//det//43 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 miljöförvaltningen//NN|UTR|SIN|DEF|NOM//nmod//39 under//PP//case//46 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//46 decennier//NN|NEU|PLU|IND|NOM//nmod//43 och//KN//cc//49 3//RG|NOM//nummod//49 kartlägga//VB|INF|AKT//conj//36 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//51 effektivitet//NN|UTR|SIN|IND|NOM//obj//49 och//KN//cc//53 ändamålsenlighet//NN|UTR|SIN|IND|NOM//conj//51 utifrån//PP//case//56 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//56 resultatmål//NN|NEU|PLU|IND|NOM//nmod//53 .//MAD//punct//3
1 Vårt upplägg;I//PP//case//1 kartläggningen//NN|UTR|SIN|DEF|NOM//obl//4 har//VB|PRS|AKT//aux//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 fokuserat//VB|SUP|AKT//ROOT//4 på//PP//case//9 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//9 och//KN//cc//8 organisationernas//NN|UTR|PLU|DEF|GEN//nmod:poss//9 uppdrag//NN|NEU|PLU|IND|NOM//obl//4 och//KN//cc//12 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 styrning//NN|UTR|SIN|IND|NOM//conj//9 av//PP//case//14 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//12 .//MAD//punct//4
1 Vårt upplägg;I//PP//case//17 betänkandet//NN|NEU|SIN|DEF|NOM//obl//18 har//VB|PRS|AKT//parataxis//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//18 således//AB//advmod//18 ett//DT|NEU|SIN|IND//det//22 ”//PC|PRF|NEU|SIN|IND|NOM//nmod//23 ovanifrånperspektiv//NN|NEU|SIN|IND|NOM//obj//18 ”//PAD//punct//18 på//PP//case//26 verksamheterna//NN|UTR|PLU|DEF|NOM//obl//18 .//MAD//punct//18
1 Vårt upplägg;Några//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//13 av//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 frågor//NN|UTR|PLU|IND|NOM//nmod//0 vi//PN|UTR|PLU|DEF|SUB//nsubj//5 belyser//VB|PRS|AKT//acl:relcl//3 i//PP//case//7 delbetänkandet//NN|NEU|SIN|DEF|NOM//obl//5 är//VB|PRS|AKT//cop//0 ://MID//punct//13
1 Vårt upplägg;Vilka//HD|UTR/NEU|PLU|IND//det//12 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 krav//NN|NEU|PLU|IND|NOM//nsubj//13 ställer//VB|PRS|AKT//ROOT//13 riksdagen//NN|UTR|SIN|DEF|NOM//obj//13 och//KN//cc//16 regeringen//NN|UTR|SIN|DEF|NOM//conj//14 ?//MID//punct//13
1 Vårt upplägg;Vika//PM|GEN//amod//19 uppgifter//NN|UTR|PLU|IND|NOM//nsubj//20 har//VB|PRS|AKT//parataxis//13 myndigheterna//NN|UTR|PLU|DEF|NOM//obj//20 och//KN//cc//23 organisationerna//NN|UTR|PLU|DEF|NOM//conj//21 i//PP//case//25 EU//PM|NOM//nmod//23 och//KN//cc//30 i//PP//case//30 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 forum//NN|NEU|PLU|IND|NOM//conj//21 ?//MID//punct//20
1 Vårt upplägg;Hur//HA//advmod//33 ser//VB|PRS|AKT//parataxis//20 den//DT|UTR|SIN|DEF//det//36 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 styrningen//NN|UTR|SIN|DEF|NOM//nsubj//33 av//PP//case//38 verksamheterna//NN|UTR|PLU|DEF|NOM//nmod//36 ut//AB//compound:prt//33 ?//MID//punct//33
1 Vårt upplägg;Vi//PN|UTR|PLU|DEF|SUB//nsubj//43 har//VB|PRS|AKT//aux//43 försökt//VB|SUP|AKT//parataxis//33 beskriva//VB|INF|AKT//xcomp//43 nuläget//NN|NEU|SIN|DEF|NOM//obj//44 ,//MID//punct//51 men//KN//cc//51 vi//PN|UTR|PLU|DEF|SUB//nsubj//51 har//VB|PRS|AKT//aux//51 också//AB//advmod//51 bett//VB|SUP|AKT//conj//33 myndigheterna//NN|UTR|PLU|DEF|NOM//obj//51 och//KN//cc//54 organisationerna//NN|UTR|PLU|DEF|NOM//conj//52 att//IE//mark//56 blicka//VB|INF|AKT//acl//54 framåt//AB//advmod//56 .//MAD//punct//13
