51 Förslag till ;Sjukvårdshuvudmännen//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 också//AB//advmod//3 lämna//VB|INF|AKT//ROOT//3 ersättning//NN|UTR|SIN|IND|NOM//obj//3 för//PP//case//6 resekostnader//NN|UTR|PLU|IND|NOM//obl//3 vid//PP//case//8 vård//NN|UTR|SIN|IND|NOM//nmod//6 enligt//PP//case//10 lagen//NN|UTR|SIN|DEF|NOM//nmod//8 (//PAD//punct//12 1993:1651//RG|NOM//appos//3 )//PAD//punct//12 om//PP//case//15 läkarvårdsersättning//NN|UTR|SIN|IND|NOM//obl//3 och//KN//cc//18 vid//PP//case//18 sjukgymnastik//NN|UTR|SIN|IND|NOM//conj//15 enligt//PP//case//20 lagen//NN|UTR|SIN|DEF|NOM//nmod//18 (//PAD//punct//22 1993:1652//RG|NOM//nmod//20 )//PAD//punct//22 om//PP//case//25 sjukgymnastikersättning//NN|UTR|SIN|IND|NOM//conj//20 .//MAD//punct//3
51 Förslag till ;Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//obl//2 2008//RG|NOM//nummod//7 .//MAD//punct//2
51 Förslag till ;52//RG|NOM//nummod//11 Förslag//NN|NEU|PLU|IND|NOM//obj//2 till//PP//case//13 lag//NN|UTR|SIN|IND|NOM//nmod//11 om//PP//case//15 ändring//NN|UTR|SIN|IND|NOM//nmod//13 i//PP//case//17 lagen//NN|UTR|SIN|DEF|NOM//nmod//15 (//PAD//punct//19 1991:586//RG|NOM//conj//11 )//PAD//punct//19 om//PP//case//23 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//23 inkomstskatt//NN|UTR|SIN|IND|NOM//nmod//11 för//PP//advmod//23 utomlands//AB//advmod//26 bosatta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//23
51 Förslag till ;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//16 5//RG|NOM//nummod//4 §//NN|AN//nmod//5 lagen//NN|UTR|SIN|DEF|NOM//nsubj//16 (//PAD//punct//5 1991:586//RG|NOM//nummod//5 )//PAD//punct//5 om//PP//case//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 inkomstskatt//NN|UTR|SIN|IND|NOM//nmod//5 för//PP//fixed//11 utomlands//AB//fixed//12 bosatta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//11 skall//VB|PRS|AKT//aux//16 ha//VB|INF|AKT//dep//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 lydelse//NN|UTR|SIN|IND|NOM//obj//16 .//MAD//punct//16
51 Förslag till ;5//RG|NOM//nummod//21 §//NN|AN//nmod//23 Skattepliktig//JJ|POS|UTR|SIN|IND|NOM//amod//23 inkomst//NN|UTR|SIN|IND|NOM//obj//16 enligt//PP//case//26 denna//DT|UTR|SIN|DEF//det//26 lag//NN|UTR|SIN|IND|NOM//nmod//23 är//VB|PRS|AKT//dep//1 ://MID//punct//1
51 Förslag till ;1//RG|NOM//discourse//31 .//MAD//punct//29
51 Förslag till ;"avlöning//NN|UTR|SIN|IND|NOM//nsubj:pass//349 eller//KN//cc//35 därmed//AB//advmod//34 jämförlig//JJ|POS|UTR|SIN|IND|NOM//amod//35 förmån//NN|UTR|SIN|IND|NOM//conj//31 ,//MID//punct//35 som//HP|-|-|-//nsubj:pass//38 utgått//VB|SUP|AKT//acl:relcl//35 av//PP//case//40 anställning//NN|UTR|SIN|IND|NOM//obl:agent//38 eller//KN//cc//42 uppdrag//NN|NEU|SIN|IND|NOM//conj//40 hos//PP//case//45 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//45 staten//NN|UTR|SIN|DEF|NOM//nmod//42 ,//MID//punct//48 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//48 kommun//NN|UTR|SIN|IND|NOM//conj//45 eller//KN//cc//51 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//51 landsting//NN|NEU|SIN|IND|NOM//conj//45 ;//MID//punct//31"
51 Förslag till ;2//RG|NOM//conj//31 .//MAD//punct//31
51 Förslag till ;"avlöning//NN|UTR|SIN|IND|NOM//conj//31 eller//KN//cc//59 därmed//AB//advmod//58 jämförlig//JJ|POS|UTR|SIN|IND|NOM//amod//59 förmån//NN|UTR|SIN|IND|NOM//conj//55 ,//MID//punct//59 som//HP|-|-|-//nsubj:pass//62 utgått//VB|SUP|AKT//acl:relcl//59 av//PP//case//65 annan//JJ|POS|UTR|SIN|IND|NOM//amod//65 anställning//NN|UTR|SIN|IND|NOM//obl//62 eller//KN//cc//68 annat//JJ|POS|NEU|SIN|IND|NOM//amod//68 uppdrag//NN|NEU|SIN|IND|NOM//conj//65 än//KN//mark//72 hos//PP//case//72 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 staten//NN|UTR|SIN|DEF|NOM//nmod//68 ,//MID//punct//75 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//75 kommun//NN|UTR|SIN|IND|NOM//conj//72 eller//KN//cc//78 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//78 landsting//NN|NEU|SIN|IND|NOM//conj//75 ,//MID//punct//75 i//PP//case//82 den//DT|UTR|SIN|DEF//det//82 mån//NN|UTR|SIN|IND|NOM//obl//84 inkomsten//NN|UTR|SIN|DEF|NOM//nsubj:pass//84 förvärvats//VB|SUP|SFO//conj//31 genom//PP//case//86 verksamhet//NN|UTR|SIN|IND|NOM//obl//84 här//AB//conj//31 i//PP//case//89 riket//NN|NEU|SIN|DEF|NOM//obl//87 ;//MID//punct//31"
51 Förslag till ;3//RG|NOM//discourse//93 .//MAD//punct//91
