En forskarantologi;Forskarantologi//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
En forskarantologi;En//DT|UTR|SIN|IND//det//2 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//2 samordnare//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//mark//5 att//IE//mark//5 värna//VB|INF|AKT//acl//2 demokratin//NN|UTR|SIN|DEF|NOM//obj//5 mot//PP//case//9 våldsbejakande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 extremism//NN|UTR|SIN|IND|NOM//obl//5
En forskarantologi;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Förord;Robert//PM|NOM//ROOT//0 D.//PM|NOM//flat//0 Putnam//PM|NOM//flat:name//1
Förord;Den//DT|UTR|SIN|DEF//det//2 engelske//JJ|POS|MAS|SIN|DEF|NOM//amod//2 filosofen//NN|UTR|SIN|DEF|NOM//nmod//3 Bacons//PM|GEN//nmod:poss//4 uttryck//NN|NEU|SIN|IND|NOM//nsubj//11 –//PAD//punct//4 kunskap//NN|UTR|SIN|IND|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 makt//NN|UTR|SIN|IND|NOM//parataxis//4 –//RG|NOM//punct//11 har//VB|PRS|AKT//aux//11 hunnit//VB|SUP|AKT//ROOT//11 bli//VB|INF|AKT//xcomp//11 slitet//PC|PRF|NEU|SIN|IND|NOM//xcomp//12 under//PP//case//16 de//DT|UTR/NEU|PLU|DEF//det//16 sekler//NN|NEU|PLU|IND|NOM//obl//13 som//HP|-|-|-//nsubj//18 gått//VB|SUP|AKT//acl:relcl//16 sedan//SN//mark//21 han//PN|UTR|SIN|DEF|SUB//nsubj//21 myntade//VB|PRT|AKT//advcl//18 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//21 .//MID//punct//11
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//25 äger//VB|PRS|AKT//parataxis//11 fortfarande//AB//advmod//25 sin//PS|UTR|SIN|DEF//nmod:poss//28 giltighet//NN|UTR|SIN|IND|NOM//obj//25 ,//MID//punct//25 men//KN//cc//32 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//32 gör//VB|PRS|AKT//conj//11 också//AB//advmod//32 det//DT|NEU|SIN|DEF//det//36 omvända//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//36 påståendet//NN|NEU|SIN|DEF|NOM//obj//32 ,//MID//punct//42 som//HP|-|-|-//obj//42 hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//40 efterföljare//NN|UTR|SIN|IND|NOM//nmod//41 Foucault//PM|NOM//nsubj//42 laborerar//VB|PRS|AKT//acl:relcl//36 med//PP//compound:prt//42 ://MID//punct//32
Förord;Den//DT|UTR|SIN|DEF//det//47 franske//JJ|POS|MAS|SIN|DEF|NOM//amod//47 filosofen//NN|UTR|SIN|DEF|NOM//nsubj//48 menade//VB|PRT|AKT//parataxis//32 ju//AB//advmod//48 att//SN//mark//53 makt//NN|UTR|SIN|IND|NOM//nsubj//53 är//VB|PRS|AKT//cop//53 kunskap//NN|UTR|SIN|IND|NOM//ccomp//48 ,//MID//punct//60 och//KN//cc//60 framför//PP//case//57 allt//PN|NEU|SIN|IND|SUB/OBJ//obl//60 att//SN//mark//60 makten//NN|UTR|SIN|DEF|NOM//nsubj//60 strävar//VB|PRS|AKT//conj//48 efter//PP//mark//63 att//IE//mark//63 inhämta//VB|INF|AKT//advcl//60 den//DT|UTR|SIN|DEF//det//65 kunskap//NN|UTR|SIN|IND|NOM//obj//63 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//67 anser//VB|PRS|AKT//acl:relcl//65 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//67 behöva//VB|INF|AKT//xcomp//67 för//PP//mark//72 att//IE//mark//72 inrätta//VB|INF|AKT//advcl//67 eller//KN//cc//74 upprätthålla//VB|INF|AKT//conj//72 ett//DT|NEU|SIN|IND//det//76 system//NN|NEU|SIN|IND|NOM//obj//74 .//MAD//punct//11
Förord;Denna//DT|UTR|SIN|DEF//det//79 strävan//NN|UTR|SIN|IND|NOM//nsubj//81 kan//VB|PRS|AKT//aux//81 leda//VB|INF|AKT//parataxis//11 till//PP//case//83 gott//JJ|POS|NEU|SIN|IND|NOM//advmod//81 ://MID//punct//81
Förord;Som//HA//mark//101 när//HA//mark//101 FN//PM|NOM//fixed//86 ://MID//punct//87 s//NN|NEU|SIN|IND|GEN//case//90 generalförsamling//NN|UTR|SIN|IND|NOM//appos//87 till//PP//case//92 slut//NN|NEU|SIN|IND|NOM//nmod//90 ,//MID//punct//97 utifrån//PP//case//97 sin//PS|UTR|SIN|DEF//nmod:poss//97 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//97 kunskap//NN|UTR|SIN|IND|NOM//conj//90 och//KN//cc//99 erfarenhet//NN|UTR|SIN|IND|NOM//conj//97 ,//MID//punct//101 kungjorde//VB|PRT|AKT//advcl//81 den//DT|UTR|SIN|DEF//det//104 Allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//104 förklaringen//NN|UTR|SIN|DEF|NOM//obj//101 om//PP//case//108 de//DT|UTR/NEU|PLU|DEF//det//108 mänskliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//108 rättigheterna//NN|UTR|PLU|DEF|NOM//obl//101 för//PP//case//112 snart//AB|POS//advmod//111 70//RG|NOM//nummod//112 år//NN|NEU|PLU|IND|NOM//obl//101 sedan//AB//advmod//112 .//MAD//punct//101
Förord;Samma//DT|UTR/NEU|SIN/PLU|IND//det//116 strävan//NN|UTR|SIN|IND|NOM//nsubj//119 har//VB|PRS|AKT//aux//119 också//AB//advmod//119 lett//VB|SUP|AKT//conj//101 till//PP//case//121 ont//NN|NEU|SIN|IND|NOM//obl//119 ,//MID//punct//131 som//HA//nsubj//131 när//HA//advmod//131 den//DT|UTR|SIN|DEF//det//126 kunskap//NN|UTR|SIN|IND|NOM//nsubj//131 som//HP|-|-|-//obj//129 vetenskapen//NN|UTR|SIN|DEF|NOM//nsubj//129 genererar//VB|PRS|AKT//acl:relcl//126 inte//AB//advmod//129 passar//VB|PRS|AKT//acl:relcl//121 maktens//NN|UTR|SIN|DEF|GEN//nmod:poss//133 agenda//NN|UTR|SIN|IND|NOM//obj//131 .//MAD//punct//11
Förord;Vår//PS|UTR|SIN|DEF//nmod:poss//136 historia//NN|UTR|SIN|IND|NOM//nsubj//138 är//VB|PRS|AKT//cop//138 full//JJ|POS|UTR|SIN|IND|NOM//parataxis//11 av//PP//case//140 avrättade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//138 (//PAD//punct//143 som//KN//case//143 Bruno//PM|NOM//nmod//140 )//PAD//punct//140 och//KN//cc//146 tystade//VB|PRT|AKT//conj//138 (//PAD//punct//146 som//KN//case//149 Galilei//PM|NOM//obl//146 )//PAD//punct//149 vetenskapsmän//NN|UTR|PLU|IND|NOM//conj//149 .//MAD//punct//11
Förord;Men//KN//cc//157 vi//PN|UTR|PLU|DEF|SUB//nsubj//157 behöver//VB|PRS|AKT//aux//157 inte//AB//advmod//157 gå//VB|INF|AKT//conj//11 så//AB//advmod//159 långt//AB|POS//advmod//160 tillbaka//AB//advmod//157 som//KN//case//163 till//PP//case//163 renässansen//NN|UTR|SIN|DEF|NOM//obl//160 .//MAD//punct//157
Förord;I//PP//case//167 nazismens//NN|UTR|SIN|DEF|GEN//nmod:poss//167 Tyskland//PM|NOM//obl//157 ,//MID//punct//169 åren//NN|NEU|PLU|DEF|NOM//conj//167 före//PP//case//173 den//DT|UTR|SIN|DEF//det//173 historiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//173 kungörelsen//NN|UTR|SIN|DEF|NOM//nmod//169 i//PP//case//175 FN//PM|NOM//nmod//173 ,//MID//punct//167 förkastades//VB|PRT|SFO//advcl//11 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//179 delar//NN|UTR|PLU|IND|NOM//nsubj:pass//177 av//PP//case//183 världens//NN|UTR|SIN|DEF|GEN//nmod:poss//183 vedertagna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//183 kunskap//NN|UTR|SIN|IND|NOM//nmod//179 till//PP//case//185 förmån//NN|UTR|SIN|IND|NOM//obl//177 för//PP//case//189 ”//JJ|POS|UTR|SIN|IND|NOM//punct//189 arisk//JJ|POS|UTR|SIN|IND|NOM//amod//189 fysik//NN|UTR|SIN|IND|NOM//nmod//185 ”//PAD//punct//11 .//MAD//punct//11
Förord;I//PP//case//3 vår//PS|UTR|SIN|DEF//nmod:poss//3 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//3 nutid//NN|UTR|SIN|IND|NOM//obl//4 ser//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 statschefer//NN|UTR|PLU|IND|NOM//obj//4 som//HP|-|-|-//nsubj//8 föraktar//VB|PRS|AKT//acl:relcl//6 och//KN//cc//10 förkastar//VB|PRS|AKT//conj//8 vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 rön//NN|NEU|PLU|IND|NOM//obj//10 ,//MID//punct//6 samtidigt//AB//mark//19 som//HA//fixed//14 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 länder//NN|NEU|PLU|IND|NOM//nsubj//19 helt//AB|POS//advmod//19 förbjuder//VB|PRS|AKT//advcl//4 sådant//JJ|POS|NEU|SIN|IND|NOM//obj//19 som//HP|-|-|-//nsubj:pass//22 anses//VB|PRS|SFO//acl:relcl//20 oförenligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//22 med//PP//case//27 en//DT|UTR|SIN|IND//det//27 viss//JJ|POS|UTR|SIN|IND|NOM//amod//27 religion//NN|UTR|SIN|IND|NOM//obl//22 .//MID//punct//4
Förord;Att//IE//mark//32 inte//AB//advmod//32 bara//AB//advmod//32 tillåta//VB|INF|AKT//ccomp//4 utan//KN//cc//35 också//AB//advmod//35 främja//VB|INF|AKT//conj//32 och//KN//cc//37 skapa//VB|INF|AKT//conj//35 förutsättningar//NN|UTR|PLU|IND|NOM//obj//37 för//PP//case//40 kunskapsbildning//NN|UTR|SIN|IND|NOM//nmod//38 –//RG|NOM//punct//43 även//AB//advmod//43 sådan//JJ|POS|UTR|SIN|IND|NOM//conj//32 som//HP|-|-|-//nsubj//47 kan//VB|PRS|AKT//aux//47 vara//VB|INF|AKT//cop//47 kontroversiell//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//43 och//KN//cc//49 ///MID//conj//47 eller//KN//cc//51 utmanande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//49 –//RG|NOM//punct//56 är//VB|PRS|AKT//cop//56 en//DT|UTR|SIN|IND//det//56 livsnödvändig//JJ|POS|UTR|SIN|IND|NOM//amod//56 del//NN|UTR|SIN|IND|NOM//conj//43 av//PP//case//60 en//DT|UTR|SIN|IND//det//60 vital//JJ|POS|UTR|SIN|IND|NOM//amod//60 demokrati//NN|UTR|SIN|IND|NOM//nmod//56 ,//MID//punct//68 och//KN//cc//68 av//PP//case//65 det//DT|NEU|SIN|DEF//det//65 öppna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 och//KN//cc//67 toleranta//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//65 Sverige//PM|NOM//conj//43 vi//PN|UTR|PLU|DEF|SUB//nsubj//71 vill//VB|PRS|AKT//aux//71 ha//VB|INF|AKT//acl:relcl//68 ,//MID//punct//71 med//PP//case//74 åsiktsfrihet//NN|UTR|SIN|IND|NOM//obl//71 ,//MID//punct//77 fria//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 medier//NN|NEU|PLU|IND|NOM//conj//74 och//KN//cc//80 fri//JJ|POS|UTR|SIN|IND|NOM//amod//80 forskning//NN|UTR|SIN|IND|NOM//conj//74 .//MAD//punct//4
Förord;Den//DT|UTR|SIN|DEF//det//1 översikt//NN|UTR|SIN|IND|NOM//nsubj//8 du//PN|UTR|SIN|DEF|SUB//nsubj//4 nu//AB//advmod//4 har//VB|PRS|AKT//acl:relcl//1 framför//PP//case//6 dig//PN|UTR|SIN|DEF|OBJ//obl//4 är//VB|PRS|AKT//cop//8 skriven//PC|PRF|UTR|SIN|IND|NOM//ROOT//8 på//PP//case//10 initiativ//NN|NEU|SIN|IND|NOM//obl//8 av//PP//case//14 den//DT|UTR|SIN|DEF//det//14 Nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 samordnaren//NN|UTR|SIN|DEF|NOM//nmod//10 för//PP//mark//17 att//IE//mark//17 värna//VB|INF|AKT//advcl//8 demokratin//NN|UTR|SIN|DEF|NOM//obj//17 mot//PP//case//21 våldsbejakande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 extremism//NN|UTR|SIN|IND|NOM//obl//17 .//MAD//punct//8
Förord;I//PP//case//1 syfte//NN|NEU|SIN|IND|NOM//obl//3 att//IE//mark//3 bidra//VB|INF|AKT//advcl//44 till//PP//mark//6 att//IE//mark//6 stärka//VB|INF|AKT//advcl//3 och//KN//cc//8 utveckla//VB|INF|AKT//conj//6 konkreta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 insatser//NN|UTR|PLU|IND|NOM//obj//6 och//KN//cc//13 relevant//JJ|POS|UTR|SIN|IND|NOM//amod//13 forskning//NN|UTR|SIN|IND|NOM//conj//10 om//PP//case//16 våldsbejakande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 extremism//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//19 samt//KN//cc//19 göra//VB|INF|AKT//conj//3 analyser//NN|UTR|PLU|IND|NOM//obj//19 och//KN//cc//22 forskning//NN|UTR|SIN|IND|NOM//conj//20 till//PP//case//26 praktisk//JJ|POS|UTR|SIN|IND|NOM//amod//26 tillämpbar//JJ|POS|UTR|SIN|IND|NOM//amod//26 kunskap//NN|UTR|SIN|IND|NOM//obl//19 för//PP//case//28 kommuner//NN|UTR|PLU|IND|NOM//nmod//26 och//KN//cc//31 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 aktörer//NN|UTR|PLU|IND|NOM//conj//28 som//HP|-|-|-//nsubj//33 arbetar//VB|PRS|AKT//acl:relcl//31 med//PP//mark//36 att//IE//mark//36 utveckla//VB|INF|AKT//advcl//33 och//KN//cc//38 genomföra//VB|INF|AKT//conj//36 förebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 insatser//NN|UTR|PLU|IND|NOM//obj//38 ,//MID//punct//3 har//VB|PRS|AKT//aux//44 samordnaren//NN|UTR|SIN|DEF|NOM//nsubj//44 inrättat//VB|SUP|AKT//ROOT//44 ett//DT|NEU|SIN|IND//det//47 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//47 nätverk//NN|NEU|SIN|IND|NOM//obj//44 av//PP//case//49 experter//NN|UTR|PLU|IND|NOM//nmod//47 .//MAD//punct//44
