Till statsrådet Maj-Inger Klingvall ;Statsrådet//NN|NEU|SIN|DEF|NOM//nsubj//2 Klingvall//PM|NOM//flat//0 förordnade//VB|PRT|AKT//ROOT//2 fr//AB|AN//nmod//4 o//NN|AN//dep//2 m//PM|NOM//flat:name//4 den//DT|UTR|SIN|DEF//det//8 17//RG|NOM//nummod//8 mars//NN|UTR|SIN|IND|NOM//obl//10 1997//RG|NOM//nummod//8 riksdagsledamot//NN|UTR|SIN|IND|NOM//nmod//11 Maud//PM|NOM//parataxis//2 Björnemalm//PM|NOM//flat:name//11 (//PAD//punct//11 s//PM|NOM//nmod//11 )//PAD//punct//11 som//KN//mark//17 ordförande//NN|UTR|SIN|IND|NOM//advcl//2 i//PP//case//19 Organisationskommittén//NN|UTR|SIN|DEF|NOM//obl//17 .//MAD//punct//2
1 Redovisning av kommittéarbetets bedrivande med mera;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 fick//VB|PRT|AKT//aux//16 bl//PL//obj//1 .//MAD//punct//1
1 Redovisning av kommittéarbetets bedrivande med mera;a//NN|NEU|SIN|IND|NOM//advmod//6 till//PP//case//6 uppgift//NN|UTR|SIN|IND|NOM//obl//16 att//IE//mark//8 utarbeta//VB|INF|AKT//acl//6 en//DT|UTR|SIN|IND//det//10 organisationsplan//NN|UTR|SIN|IND|NOM//obj//8 för//PP//case//12 försäkringskassan//NN|UTR|SIN|DEF|NOM//obl//8 i//PP//case//15 Skåne//PM|NOM//amod//15 län//NN|NEU|SIN|IND|NOM//nmod//12 utarbeta//VB|INF|AKT//ROOT//16 underlag//NN|NEU|SIN|IND|NOM//obj//16 till//PP//case//20 Riksförsäkringsverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 anslagsframställning//NN|UTR|SIN|IND|NOM//nmod//17 vidta//VB|INF|AKT//xcomp//16 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 förberedelser//NN|UTR|PLU|IND|NOM//obj//21 för//PP//case//25 anställning//NN|UTR|SIN|IND|NOM//obl//21 av//PP//case//27 personal//NN|UTR|SIN|IND|NOM//nmod//25 vid//PP//case//31 den//DT|UTR|SIN|DEF//det//31 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 kassan//NN|UTR|SIN|DEF|NOM//nmod//27 samt//KN//cc//33 samordna//VB|INF|AKT//conj//21 de//DT|UTR/NEU|PLU|DEF//det//37 två//RG|NOM//nummod//37 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 försäkringskassornas//NN|UTR|PLU|DEF|GEN//nmod:poss//38 yttrande//NN|NEU|SIN|IND|NOM//obj//33 till//PP//case//40 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//obl//33 beträffande//PP//case//42 förordnande//NN|NEU|SIN|IND|NOM//obl//33 av//PP//case//44 direktör//NN|UTR|SIN|IND|NOM//nmod//42 för//PP//case//48 den//DT|UTR|SIN|DEF//det//48 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//48 försäkringskassan//NN|UTR|SIN|DEF|NOM//nmod//44 i//PP//case//50 Skåne//PM|NOM//nmod//48 län//NN|NEU|SIN|IND|NOM//conj//42
1 Redovisning av kommittéarbetets bedrivande med mera;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 ska//VB|PRS|AKT//aux//4 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 bedrivas//VB|INF|SFO//ROOT//4 så//AB//mark//11 att//SN//fixed//5 den//DT|UTR|SIN|DEF//det//9 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 försäkringskassan//NN|UTR|SIN|DEF|NOM//nsubj//11 kan//VB|PRS|AKT//aux//11 inleda//VB|INF|AKT//advcl//4 sin//PS|UTR|SIN|DEF//nmod:poss//13 verksamhet//NN|UTR|SIN|IND|NOM//obj//11 den//DT|UTR|SIN|DEF//det//16 1//RO|NOM//nummod//16 januari//NN|UTR|SIN|IND|NOM//obl//11 1999//RG|NOM//nummod//16 .//MAD//punct//4
1 Redovisning av kommittéarbetets bedrivande med mera;Organisationskommittén//NN|UTR|SIN|DEF|NOM//nsubj//3 ska//VB|PRS|AKT//aux//3 vidare//AB|KOM//advmod//3 beakta//VB|INF|AKT//ROOT//3 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 direktiv//NN|NEU|PLU|IND|NOM//obj//3 till//PP//case//8 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//8 kommittéer//NN|UTR|PLU|IND|NOM//obl//3 och//KN//cc//11 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 utredare//NN|UTR|PLU|IND|NOM//conj//8 om//PP//case//14 regionalpolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 konsekvenser//NN|UTR|PLU|IND|NOM//nmod//11 (//PAD//punct//14 dir//NN|AN//nmod:poss//17 1992:50//RG|NOM//obl//3 )//PAD//punct//3 ,//MID//punct//3 om//PP//mark//22 att//IE//mark//22 pröva//VB|INF|AKT//advcl//3 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 åtaganden//NN|NEU|PLU|IND|NOM//obj//22 (//PAD//punct//24 dir//NN|AN//appos//24 .//MAD//punct//3
1 Redovisning av kommittéarbetets bedrivande med mera;1994:23//RG|NOM//obl//3 )//PAD//punct//28 ,//MID//punct//33 om//PP//case//33 jämställdhetspolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 konsekvenser//NN|UTR|PLU|IND|NOM//conj//3 (//PAD//punct//33 dir//NN|AN//appos//33 .//MAD//punct//33
1 Redovisning av kommittéarbetets bedrivande med mera;1994:124//RG|NOM//conj//33 )//PAD//punct//33 samt//KN//cc//41 om//PP//case//41 konsekvenser//NN|UTR|PLU|IND|NOM//conj//33 för//PP//case//43 brottsligheten//NN|UTR|SIN|DEF|NOM//nmod//41 och//KN//cc//47 det//DT|NEU|SIN|DEF//det//47 brottsförebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 arbetet//NN|NEU|SIN|DEF|NOM//conj//41 (//PAD//punct//47 dir//NN|AN//nummod//33 .//MAD//punct//33
1 Redovisning av kommittéarbetets bedrivande med mera;1996:49//RG|NOM//nmod//33 )//PAD//punct//33 .//MAD//punct//3
1 Redovisning av kommittéarbetets bedrivande med mera;Kommittédirektiven//NN|NEU|PLU|DEF|NOM//nsubj:pass//1 bifogas//VB|PRS|SFO//ROOT//1 .//MAD//punct//1

2 Bakgrund med mera;2.1//RG|NOM//nmod//1 Sammanläggning//NN|UTR|SIN|IND|NOM//ROOT//1 av//PP//case//3 försäkringskassorna//NN|UTR|PLU|DEF|NOM//nmod//1 i//PP//case//5 Malmö//PM|NOM//nmod//3 och//KN//cc//7 Malmöhus//PM|GEN//conj//5 län//NN|NEU|PLU|IND|NOM//conj//1
