Polis i framtiden;–//RG|NOM//punct//2  //_SP////0 polisutbildningen//NN|UTR|SIN|DEF|NOM//ROOT//2 som//KN//case//4 högskoleutbildning//NN|UTR|SIN|IND|NOM//nmod//2
Till statsrådet Anders Ygeman;rektorn//NN|UTR|SIN|DEF|NOM//parataxis//4 vid//PP//case//16 högskolan//NN|UTR|SIN|DEF|NOM//nmod//14 i//PP//case//18 Halmstad//PM|NOM//nmod//16 Mikael//PM|NOM//flat//18 Alexandersson//PM|NOM//flat//19 ,//MID//punct//22 departementssekreteraren//NN|UTR|SIN|DEF|NOM//conj//14 vid//PP//case//24 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//22 Lovisa//PM|NOM//conj//14 Hellberg//PM|NOM//flat:name//25 ,//MID//punct//28 polismästaren//NN|UTR|SIN|DEF|NOM//conj//14 vid//PP//case//30 Polismyndigheten//NN|UTR|SIN|DEF|NOM//nmod//28 ,//MID//punct//28 tillika//AB//amod//33 chef//NN|UTR|SIN|IND|NOM//conj//14 för//PP//case//35 HR//NN|AN//nmod//33 ///MID//cc//38 kompetensförsörjningsenheten//NN|UTR|SIN|DEF|NOM//nmod//38 Max//PM|NOM//conj//35 Lutteman//PM|NOM//flat:name//38 ,//MID//punct//41 ämnesrådet//NN|NEU|SIN|DEF|NOM//conj//35 vid//PP//case//44 Justitiedepartementet//PM|NOM//nmod//44 Monika//PM|NOM//nmod//41 Olsson//PM|NOM//flat//44 ,//MID//punct//47 utbildningschefen//NN|UTR|SIN|DEF|NOM//conj//35 vid//PP//case//49 Linnéuniversitetet//PM|NOM//nmod//47 Betty//PM|NOM//flat//49 Rodhin//PM|NOM//flat//49 ,//MID//punct//53 verksjuristen//NN|UTR|SIN|DEF|NOM//conj//35 vid//PP//case//56 Universitetskanslersämbetet//NN|NEU|SIN|DEF|NOM//nmod//56 Marie//PM|NOM//nmod//53 Stern//PM|NOM//flat//56 Wärn//PM|NOM//flat//56 ,//MID//punct//60 ämnesrådet//NN|NEU|SIN|DEF|NOM//conj//35 vid//PP//case//62 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//60 Ann-Charlotte//PM|NOM//conj//14 Wallin//PM|NOM//flat:name//63 och//KN//cc//66 departementssekreteraren//NN|UTR|SIN|DEF|NOM//conj//63 vid//PP//case//68 Finansdepartementet//NN|NEU|SIN|DEF|NOM//nmod//14 Anna//PM|NOM//flat//68 Zeidler//PM|NOM//flat:name//69 .//MAD//punct//4
Till statsrådet Anders Ygeman;Den//DT|UTR|SIN|DEF//det//74 28//RG|NOM//nummod//74 januari//NN|UTR|SIN|IND|NOM//obl//76 2016//RG|NOM//nummod//74 entledigades//VB|PRT|SFO//parataxis//4 Monika//PM|NOM//nsubj:pass//76 Olsson//PM|NOM//flat//77 som//KN//mark//80 expert//NN|UTR|SIN|IND|NOM//xcomp//76 i//PP//case//82 utredningen//NN|UTR|SIN|DEF|NOM//obl//76 och//KN//cc//84 ersattes//VB|PRT|SFO//conj//76 av//PP//case//87 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//87 Susanna//PM|NOM//obl:agent//84 Herrera//PM|NOM//flat//87 .//MAD//punct//4
Till statsrådet Anders Ygeman;Den//DT|UTR|SIN|DEF//det//92 3//RO|NOM//nummod//92 mars//NN|UTR|SIN|IND|NOM//obl//93 entledigades//VB|PRT|SFO//parataxis//4 Anna//PM|NOM//nsubj:pass//93 Zeidler//PM|NOM//flat//94 från//PP//case//97 utredningen//NN|UTR|SIN|DEF|NOM//obl//93 och//KN//cc//99 ersattes//VB|PRT|SFO//conj//93 av//PP//case//102 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//102 Filip//PM|NOM//obl:agent//99 Kollén//PM|NOM//flat//102 .//MAD//punct//4
Till statsrådet Anders Ygeman;Den//DT|UTR|SIN|DEF//det//107 16//RG|NOM//nummod//107 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//109 2016//RG|NOM//nummod//107 förordnades//VB|PRT|SFO//parataxis//4 rättschefen//NN|UTR|SIN|DEF|NOM//nsubj:pass//109 vid//PP//case//113 Polismyndigheten//NN|UTR|SIN|DEF|NOM//nmod//113 Monica//PM|NOM//nmod//110 Nibelius//PM|NOM//flat:name//113 som//KN//mark//116 expert//NN|UTR|SIN|IND|NOM//xcomp//109 i//PP//case//118 utredningen//NN|UTR|SIN|DEF|NOM//obl//109 .//MAD//punct//4
Till statsrådet Anders Ygeman;Den//DT|UTR|SIN|DEF//det//2 25//RG|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//obl//4 2016//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//xcomp//4 till//PP//case//8 utredningen//NN|UTR|SIN|DEF|NOM//obl//6 (//PAD//punct//8 dir//NN|AN//appos//8 .//MAD//punct//8
Till statsrådet Anders Ygeman;2016:16//RG|NOM//obl//4 )//PAD//punct//12 .//MAD//punct//4
Till statsrådet Anders Ygeman;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//12 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Polisutbildningsutredningen//PM|NOM//obj//4 (//PAD//punct//6 Ju//NN|AN//advmod//9 2015:03//RG|NOM//appos//6 )//PAD//punct//0 ,//MID//punct//0 överlämnar//VB|PRS|AKT//ROOT//12 härmed//AB//advmod//12 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//15 Polis//NN|UTR|SIN|IND|NOM//obj//12 i//PP//case//17 framtiden//NN|UTR|SIN|DEF|NOM//obl//12 –//PP//punct//19 polisutbildningen//NN|UTR|SIN|DEF|NOM//parataxis//12 som//KN//case//22 en//DT|UTR|SIN|IND//det//22 högskoleutbildning//NN|UTR|SIN|IND|NOM//nmod//19 (//PAD//punct//19 SOU//PM|NOM//appos//19 2016:39//RG|NOM//nummod//24 )//PAD//punct//19 .//MAD//punct//12
Till statsrådet Anders Ygeman;Experterna//NN|UTR|PLU|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 ställt//VB|SUP|AKT//ROOT//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//2 bakom//PP//case//6 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 överväganden//NN|NEU|PLU|IND|NOM//obl//2 och//KN//cc//8 förslag//NN|NEU|PLU|IND|NOM//conj//6 .//MAD//punct//2
Till statsrådet Anders Ygeman;Betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//13 har//VB|PRS|AKT//aux//13 därför//AB//advmod//13 formulerats//VB|SUP|SFO//parataxis//2 i//PP//case//15 vi-form//NN|UTR|SIN|IND|NOM//obl//13 .//MAD//punct//2
Till statsrådet Anders Ygeman;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
