En svensk veteranpolitik, del 2;Ansvaret//NN|NEU|SIN|DEF|NOM//ROOT//0 för//PP//case//2 personalen//NN|UTR|SIN|DEF|NOM//nmod//0 före//PP//advmod//0 ,//MID//punct//0 under//PP//advmod//4 och//KN//cc//10 efter//PP//case//10 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 insatser//NN|UTR|PLU|IND|NOM//conj//0
Till statsrådet och chefen för Försvarsdepartementet;Folkrättsjuristen//NN|UTR|SIN|DEF|NOM//nmod//29 Fredrik//PM|NOM//nsubj:pass//32 A.//PM|NOM//flat:name//29 Holst//PM|NOM//flat:name//29 förordnades//VB|PRT|SFO//parataxis//4 som//KN//case//34 sekreterare//NN|UTR|SIN|IND|NOM//obl//32 i//PP//case//36 utredningen//NN|UTR|SIN|DEF|NOM//nmod//34 fr.o.m.//AB|AN//case//41 den//DT|UTR|SIN|DEF//det//39 28//RG|NOM//nummod//40 augusti//NN|UTR|SIN|IND|NOM//nmod//41 2007//RG|NOM//obl//32 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 ,//MID//punct//43 som//HP|-|-|-//nsubj//46 antagit//VB|SUP|AKT//acl:relcl//43 namnet//NN|NEU|SIN|DEF|NOM//nmod//48 Veteransoldatutredningen//NN|UTR|SIN|DEF|NOM//obj//46 (//PAD//punct//48 Fö//PM|NOM//appos//48 2007:03//RG|NOM//nummod//50 )//PAD//punct//48 ,//MID//punct//43 överlämnade//VB|PRT|AKT//parataxis//4 delbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj//54 En//DT|UTR|SIN|IND//det//58 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//58 veteranpolitik//NN|UTR|SIN|IND|NOM//obj//54 ,//MID//punct//58 del//NN|UTR|SIN|IND|NOM//nmod//61 1//RG|NOM//appos//58 (//PAD//punct//61 SOU//PM|NOM//appos//61 2007:77//RG|NOM//nmod//61 )//PAD//punct//54 i//PP//case//67 oktober//NN|UTR|SIN|IND|NOM//nmod//68 2007//RG|NOM//obl//54 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//2 6//RO|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//obl//4 2007//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 om//PP//case//7 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//4 till//PP//case//9 utredningen//NN|UTR|SIN|DEF|NOM//obl//4 (//PAD//punct//9 dir//NN|AN//appos//9 .//MAD//punct//13
Till statsrådet och chefen för Försvarsdepartementet;2007:159//RG|NOM//nmod//9 )//PAD//punct//4 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Samtidigt//AB//advmod//17 förlängdes//VB|PRT|SFO//parataxis//4 utredningstiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//17 .//MAD//punct//17
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//22 1//RO|NOM//nummod//22 april//NN|UTR|SIN|IND|NOM//obl//23 förordnades//VB|PRT|SFO//parataxis//17 byråchefen//NN|UTR|SIN|DEF|NOM//nmod//25 Thomas//PM|NOM//nsubj//23 Wallander//PM|NOM//flat:name//25 som//HP|-|-|-//case//29 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 sekreterare//NN|UTR|PLU|IND|NOM//xcomp//23 i//PP//case//31 utredningen//NN|UTR|SIN|DEF|NOM//nmod//29 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Veteransoldatutredningen//NN|UTR|SIN|DEF|NOM//advmod//1 överlämnar//VB|PRS|AKT//ROOT//1 slutbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj//1 En//DT|UTR|SIN|IND//det//5 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//5 veteranpolitik//NN|UTR|SIN|IND|NOM//obj//1 ,//MID//punct//5 del//NN|UTR|SIN|IND|NOM//nmod//8 2//RG|NOM//appos//5 (//PAD//punct//8 SOU//PM|NOM//obj//1 2008:91//RG|NOM//nmod//10 )//PAD//punct//10 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 därmed//AB//advmod//18 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//1 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 oktober//NN|UTR|SIN|IND|NOM//obl//0 2008//RG|NOM//nummod//2
Till statsrådet och chefen för Försvarsdepartementet;Allan//PM|NOM//nsubj//2 Widman//PM|NOM//flat:name//0 /Fredrik//RG|NOM//ROOT//2 A.//PM|NOM//flat//2 Holst//PM|NOM//obj//2
