Vissa polisfrågor – säkerhet vid förhör samt kränkningsersättning;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Blåljusutredningen//NN|UTR|SIN|DEF|NOM//nmod//0

Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;om//PP//mark//9 hur//HA//advmod//9 möjligheterna//NN|UTR|PLU|DEF|NOM//nsubj//9 till//PP//case//4 kroppsvisitation//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 personer//NN|UTR|PLU|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//9 är//VB|PRS|AKT//cop//9 kallade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//16 till//PP//case//11 förhör//NN|NEU|SIN|IND|NOM//obl//9 i//PP//case//14 Polismyndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 lokaler//NN|UTR|PLU|IND|NOM//nmod//11 kan//VB|PRS|AKT//aux//16 utökas//VB|INF|SFO//ROOT//16 ,//MID//punct//19 dels//KN//advmod//19 kartlägga//VB|INF|AKT//conj//16 och//KN//cc//21 analysera//VB|INF|AKT//conj//19 domstolsavgöranden//NN|NEU|PLU|IND|NOM//obj//21 som//HP|-|-|-//nsubj//24 gäller//VB|PRS|AKT//acl:relcl//22 polismäns//NN|UTR|PLU|IND|GEN//nmod:poss//26 rätt//NN|UTR|SIN|IND|NOM//obj//24 till//PP//case//28 ersättning//NN|UTR|SIN|IND|NOM//nmod//26 vid//PP//case//31 allvarlig//JJ|POS|UTR|SIN|IND|NOM//amod//31 kränkning//NN|UTR|SIN|IND|NOM//obl//24 och//KN//cc//33 överväga//VB|INF|AKT//conj//31 och//KN//cc//35 föreslå//VB|INF|AKT//conj//24 de//DT|UTR/NEU|PLU|DEF//det//37 åtgärder//NN|UTR|PLU|IND|NOM//obj//35 som//HP|-|-|-//nsubj:pass//39 behövs//VB|PRS|SFO//acl:relcl//37 för//PP//mark//42 att//IE//mark//42 säkerställa//VB|INF|AKT//advcl//39 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//44 rätt//NN|UTR|SIN|IND|NOM//obj//42 till//PP//case//46 ersättning//NN|UTR|SIN|IND|NOM//obl//42 .//MAD//punct//16
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//57 om//PP//case//53 ett//DT|NEU|SIN|IND//det//53 modernt//JJ|POS|NEU|SIN|IND|NOM//amod//53 straffrättsligt//JJ|POS|NEU|SIN|IND|NOM//amod//53 skydd//NN|NEU|SIN|IND|NOM//nmod//48 för//PP//case//55 blåljuspersonal//NN|UTR|SIN|IND|NOM//nmod//53 skulle//VB|PRT|AKT//aux//57 redovisas//VB|INF|SFO//parataxis//16 i//PP//case//60 ett//DT|NEU|SIN|IND//det//60 delbetänkande//NN|NEU|SIN|IND|NOM//obl//57 senast//AB|SUV//case//64 den//DT|UTR|SIN|DEF//det//64 15//RG|NOM//nummod//64 januari//NN|UTR|SIN|IND|NOM//nmod//60 2018//RG|NOM//nummod//64 .//MAD//punct//57
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//71 i//PP//advmod//71 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//68 skulle//VB|PRT|AKT//aux//71 slutredovisas//VB|INF|SFO//conj//57 senast//AB|SUV//case//75 den//DT|UTR|SIN|DEF//det//75 29//RG|NOM//nummod//75 juni//NN|UTR|SIN|IND|NOM//obl//71 2018//RG|NOM//nummod//75 .//MAD//punct//16
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 17//RG|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obj//1 2018//RG|NOM//nummod//4 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//9 Stärkt//VB|SUP|AKT//amod//9 straffrättsligt//JJ|POS|NEU|SIN|IND|NOM//amod//9 skydd//NN|NEU|SIN|IND|NOM//appos//4 för//PP//case//11 blåljusverksamhet//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//15 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 samhällsnyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 funktioner//NN|UTR|PLU|IND|NOM//conj//11  //_SP////15 (//PAD//punct//15 SOU//PM|NOM//nmod//19 2018:2//RG|NOM//appos//15 )//PAD//punct//1 .//MAD//punct//1
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;I//PP//case//25 och//KN//fixed//22 med//PP//fixed//22 överlämnandet//NN|NEU|SIN|DEF|NOM//obl//28 var//VB|PRT|AKT//cop//28 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//30 såvitt//AB//advmod//30 avsåg//VB|PRT|AKT//conj//1 ett//DT|NEU|SIN|IND//det//34 modernt//JJ|POS|NEU|SIN|IND|NOM//amod//34 straffrättsligt//JJ|POS|NEU|SIN|IND|NOM//amod//34 skydd//NN|NEU|SIN|IND|NOM//obj//30 för//PP//case//36 blåljuspersonal//NN|UTR|SIN|IND|NOM//obl//30 och//KN//cc//40 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 samhällsnyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 funktioner//NN|UTR|PLU|IND|NOM//conj//36 enligt//PP//case//43 direktiv//NN|NEU|PLU|IND|NOM//amod//43 2016:115//RG|NOM//obl//30 den//DT|UTR|SIN|DEF//det//46 22//RG|NOM//nummod//46 december//NN|UTR|SIN|IND|NOM//obl//30 2016//RG|NOM//nummod//46 slutfört//VB|SUP|AKT//advcl//30 .//MAD//punct//1
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obl//6 2018//RG|NOM//nummod//4 entledigades//VB|PRT|SFO//ROOT//6 Karin//PM|NOM//nsubj:pass//6 Blomgren//PM|NOM//flat//7 ,//MID//punct//10 Ella//PM|NOM//conj//7 Carlberg//PM|NOM//flat//10 ,//MID//punct//13 Hanna//PM|NOM//conj//7 Lobosco//PM|NOM//flat//13 och//KN//cc//16 Lisa//PM|NOM//conj//7 Westfelt//PM|NOM//flat:name//16 fr.o.m.//AB|AN//case//21 den//DT|UTR|SIN|DEF//det//21 16//RG|NOM//nummod//21 januari//NN|UTR|SIN|IND|NOM//obl//6 2018//RG|NOM//nummod//21 .//MAD//punct//6
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;Genom//PP//case//26 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 beslut//NN|NEU|PLU|IND|NOM//obl//6 samma//DT|UTR/NEU|SIN/PLU|IND//det//28 dag//NN|UTR|SIN|IND|NOM//obl//29 förordnandes//VB|PRT|SFO//advcl//6 fr.o.m.//AB|AN//case//33 den//DT|UTR|SIN|DEF//det//33 16//RG|NOM//nummod//33 januari//NN|UTR|SIN|IND|NOM//obl//29 2018//RG|NOM//nummod//33 chefsrådmannen//NN|UTR|SIN|DEF|NOM//nmod//36 Anders//PM|NOM//nmod//37 Dereborg//PM|NOM//appos//33 ,//MID//punct//33 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//40 Jeanette//PM|NOM//appos//33 Florström//PM|NOM//flat:name//40 och//KN//cc//44 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 Anna-Karin//PM|NOM//conj//40 Larsson//PM|NOM//flat:name//44 som//KN//mark//47 experter//NN|UTR|PLU|IND|NOM//appos//33 att//IE//mark//49 biträda//VB|INF|AKT//acl//33 utredningen//NN|UTR|SIN|DEF|NOM//obj//49 .//MAD//punct//6
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;Den//DT|UTR|SIN|DEF//det//2 20//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//obl//4 2018//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 om//PP//case//7 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//4 av//PP//case//9 innebörd//NN|UTR|SIN|IND|NOM//nmod//7 att//SN//mark//13 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//13 skulle//VB|PRT|AKT//aux//13 slutredovisas//VB|INF|SFO//ccomp//4 senast//AB|SUV//case//17 den//DT|UTR|SIN|DEF//det//16 28//RG|NOM//nummod//17 september//NN|UTR|SIN|IND|NOM//obl//13 2018//RG|NOM//nummod//17 .//MAD//punct//4
Utredningen har antagit namnet Blåljusutredningen (Ju 2016:23). Den 21 december 2017 beslutade regeringen om tilläggsdirektiv med innebörd att utredaren, utöver de ursprungliga direktiven skulle dels göra de överväganden som krävs och lämna författningsförslag;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 slutbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//1 Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 polisfrågor//NN|UTR|PLU|IND|NOM//obj//1 –//PAD//punct//6 säkerhet//NN|UTR|SIN|IND|NOM//obl//1 vid//PP//case//8 förhör//NN|NEU|SIN|IND|NOM//nmod//6 samt//KN//cc//10 kränkningsersättning//NN|UTR|SIN|IND|NOM//conj//6  //_SP////10 (//PAD//punct//6 SOU//PM|NOM//appos//6 2018:75//RG|NOM//conj//6 )//PAD//punct//6 .//MAD//punct//1
