Personalförsörjningen i ett reformerat försvar;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//2
Till statsrådet och chefen för Försvarsdepartementet;Enligt//PP//case//1 direktivet//NN|NEU|SIN|DEF|NOM//obl//4 skulle//VB|PRT|AKT//aux//4 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//4 föra//VB|INF|AKT//ROOT//4 en//DT|UTR|SIN|IND//det//6 dialog//NN|UTR|SIN|IND|NOM//obj//4 med//PP//case//8 parterna//NN|UTR|PLU|DEF|NOM//nmod//6 på//PP//case//12 det//DT|NEU|SIN|DEF//det//12 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 avtalsområdet//NN|NEU|SIN|DEF|NOM//obl//4 .//MAD//punct//17
Till statsrådet och chefen för Försvarsdepartementet;För//PP//case//16 detta//DT|NEU|SIN|DEF//det//16 arbete//NN|NEU|SIN|IND|NOM//obl//17 förordnades//VB|PRT|SFO//advcl//4 ombudsmannen//NN|UTR|SIN|DEF|NOM//nmod//19 Lars//PM|NOM//nsubj//17 Johansson//PM|NOM//flat:name//19 (//PAD//punct//17 Facket//NN|NEU|SIN|DEF|NOM//parataxis//17 för//PP//case//24 Service//NN|UTR|SIN|IND|NOM//nmod//22 och//KN//cc//26 Kommunikation//NN|UTR|SIN|IND|NOM//conj//24 ,//MID//punct//28 SEKO//PM|NOM//conj//24 )//PAD//punct//22 ,//MID//punct//22 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 förhandlingschefen//NN|UTR|SIN|DEF|NOM//nmod//33 Inger//PM|NOM//conj//22 Mattson//PM|NOM//flat:name//33 Kasserud//PM|NOM//flat:name//33 (//PAD//punct//22 Arbetsgivarverket//PM|NOM//appos//22 )//PAD//punct//22 ,//MID//punct//40 förhandlingschefen//NN|UTR|SIN|DEF|NOM//nmod//41 Eva//PM|NOM//appos//17 Lindquist//PM|NOM//flat:name//41 (//PAD//punct//41 Förhandlingsorganisationen//NN|UTR|SIN|DEF|NOM//appos//41 för//PP//case//47 statligt//AB|POS//amod//47 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//48 akademiker//NN|UTR|PLU|IND|NOM//nmod//44 ,//MID//punct//50 Saco-s//UO//conj//48 )//PAD//punct//48 och//KN//cc//54 förhandlingschefen//NN|UTR|SIN|DEF|NOM//nmod//54 Niklas//PM|NOM//conj//41 Simson//PM|NOM//flat:name//54 (//PAD//punct//54 Offentliganställdas//PM|GEN//nmod:poss//58 förhandlingsråd//NN|NEU|SIN|IND|NOM//appos//54 ,//MID//punct//58 OFR//PM|NOM//conj//58 )//PAD//punct//58 till//PP//case//63 representanter//NN|UTR|PLU|IND|NOM//obl//17 i//PP//case//66 en//DT|UTR|SIN|IND//det//66 referensgrupp//NN|UTR|SIN|IND|NOM//nmod//63 som//HP|-|-|-//nsubj:pass//68 kopplades//VB|PRT|SFO//acl:relcl//66 till//PP//case//70 utredningen//NN|UTR|SIN|DEF|NOM//obl//68 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//1 valde//VB|PRT|AKT//ROOT//1 även//AB//advmod//1 att//IE//mark//4 knyta//VB|INF|AKT//xcomp//1 ytterligare//AB|KOM//advmod//6 en//DT|UTR|SIN|IND//det//7 grupp//NN|UTR|SIN|IND|NOM//nmod//8 personer//NN|UTR|PLU|IND|NOM//obj//4 till//PP//case//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//nmod//8 för//PP//mark//13 att//IE//mark//13 diskutera//VB|INF|AKT//advcl//4 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 och//KN//cc//17 mer//AB|KOM//advmod//17 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//14 frågeställningar//NN|UTR|PLU|IND|NOM//obj//13 som//HP|-|-|-//nsubj//20 rör//VB|PRS|AKT//acl:relcl//18 den//DT|UTR|SIN|DEF//det//23 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//obj//20 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Gruppen//NN|UTR|SIN|DEF|NOM//nsubj//26 gavs//VB|PRT|SFO//parataxis//1 namnet//NN|NEU|SIN|DEF|NOM//nmod//28 visionsgruppen//NN|UTR|SIN|DEF|NOM//obj//26 .//MAD//punct//26
Till statsrådet och chefen för Försvarsdepartementet;I//PP//case//31 visionsgruppen//NN|UTR|SIN|DEF|NOM//obl//33 har//VB|PRS|AKT//aux//33 ingått//VB|SUP|AKT//conj//26 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//35 Göran//PM|NOM//nsubj//33 Ekström//PM|NOM//flat:name//35 (//PAD//punct//38 Arbetsgivarverket//PM|NOM//appos//35 )//PAD//punct//38 ,//MID//punct//35 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//42 Carina//PM|NOM//appos//35 Lindfelt//PM|NOM//flat:name//42 (//PAD//punct//46 Svenskt//JJ|POS|NEU|SIN|IND|NOM//compound//46 Näringsliv//NN|NEU|SIN|IND|NOM//appos//35 )//PAD//punct//46 ,//MID//punct//50 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//50 Sture//PM|NOM//appos//35 Nordh//PM|NOM//flat:name//50 (//PAD//punct//50 Tjänstemännens//NN|UTR|PLU|DEF|GEN//nmod:poss//54 centralorganisation//NN|UTR|SIN|IND|NOM//appos//50 ,//MID//punct//56 TCO//PM|NOM//conj//54 )//PAD//punct//50 ,//MID//punct//60 förbundsordföranden//NN|UTR|SIN|DEF|NOM//nmod//60 Jan//PM|NOM//conj//35 Rudén//PM|NOM//flat:name//60 (//PAD//punct//63 SEKO//PM|NOM//appos//35 )//PAD//punct//63 ,//MID//punct//35 kanslichefen//NN|UTR|SIN|DEF|NOM//nmod//67 Anders//PM|NOM//nmod:poss//72 Edward//PM|NOM//flat//67 (//PAD//punct//67 Sveriges//PM|GEN//nmod:poss//71 Akademikers//NN|UTR|PLU|IND|GEN//nmod:poss//72 centralorganisation//NN|UTR|SIN|IND|NOM//conj//35 ,//MID//punct//72 SACO//PM|NOM//conj//72 )//PAD//punct//72 och//KN//cc//79 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//78 Agneta//PM|NOM//compound//79 Jöhnk//PM|NOM//conj//35 (//PAD//punct//82 Sveriges//PM|GEN//nmod:poss//82 kommuner//NN|UTR|PLU|IND|NOM//appos//79 och//KN//cc//84 landsting//NN|NEU|SIN|IND|NOM//conj//82 ,//MID//punct//86 SKL//PM|NOM//conj//82 )//PAD//punct//82 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Härmed//AB//advmod//1 överlämnar//VB|PRS|AKT//ROOT//1 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 sitt//PS|NEU|SIN|DEF//nmod:poss//4 betänkande//NN|NEU|SIN|IND|NOM//amod//5 Personalförsörjningen//NN|UTR|SIN|DEF|NOM//obj//1 i//PP//case//9 ett//DT|NEU|SIN|IND//det//9 reformerat//PC|PRF|NEU|SIN|IND|NOM//amod//9 försvar//NN|NEU|SIN|IND|NOM//obl//1  //_SP////9 (//PAD//punct//9 SOU//PM|NOM//appos//9 2010:86//RG|NOM//nmod//12 )//PAD//punct//9 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 november//NN|UTR|SIN|IND|NOM//obl//0 2010//RG|NOM//nummod//0
Till statsrådet och chefen för Försvarsdepartementet;Thomas//PM|NOM//ROOT//0 Rolén//PM|NOM//flat:name//0 /Hanna//RG|NOM//cc//3 Kristiansson//PM|NOM//nsubj//0
Till statsrådet och chefen för Försvarsdepartementet;Anna//PM|NOM//nmod//6 Sandahl//PM|NOM//flat:name//0 2.1//RG|NOM//flat//0 Det//DT|NEU|SIN|DEF//det//5 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//5 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 personalkategorier//NN|UTR|PLU|IND|NOM//ROOT//6 och//KN//cc//8 3.3//RG|NOM//conj//6 Internationell//JJ|POS|UTR|SIN|IND|NOM//amod//10 forskning//NN|UTR|SIN|IND|NOM//conj//6 om//PP//case//6 övergång//NN|UTR|SIN|IND|NOM//fixed//11 till//PP//case//16 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//15 6.4//RG|NOM//nmod//16 Beräkning//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//18 anställningstid//NN|UTR|SIN|IND|NOM//nmod//16 för//PP//case//23 tidvis//AB//advmod//21 tjänstgörande//AB//advmod//22 6.5//RG|NOM//nummod//23 Rätten//NN|UTR|SIN|DEF|NOM//nmod//16 till//PP//case//25 ledighet//NN|UTR|SIN|IND|NOM//nmod//16 och//KN//cc//27 skydd//NN|NEU|SIN|IND|NOM//conj//25 för//PP//case//32 den//DT|UTR|SIN|DEF//det//31 civila//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 9.4//RG|NOM//nummod//32 Premier//NN|UTR|PLU|IND|NOM//nmod//16 efter//PP//case//36 genomförd//PC|PRF|UTR|SIN|IND|NOM//amod//36 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//36 insats//NN|UTR|SIN|IND|NOM//nmod//16 och//KN//punct//6 efter//PP//case//6

