Vägskatt;Volym//NN|UTR|SIN|IND|NOM//ROOT//0 2//RG|NOM//nummod//0

11.2.1 En övergripande beskrivning av systemet som helhet;En//DT|UTR|SIN|IND//det//1 ägare//NN|UTR|SIN|IND|NOM//nsubj//8 till//PP//case//5 ett//DT|NEU|SIN|IND//det//5 skattepliktigt//JJ|POS|NEU|SIN|IND|NOM//amod//5 fordon//NN|NEU|SIN|IND|NOM//nmod//1 ska//VB|PRS|AKT//aux//8 vara//VB|INF|AKT//cop//8 knuten//PC|PRF|UTR|SIN|IND|NOM//ROOT//8 till//PP//case//12 en//DT|UTR|SIN|IND//det//12 tillståndsprövad//PC|PRF|UTR|SIN|IND|NOM//amod//12 tjänsteleverantör//NN|UTR|SIN|IND|NOM//obl//8 .//MAD//punct//8
11.2.1 En övergripande beskrivning av systemet som helhet;Denna//DT|UTR|SIN|DEF//det//15 tjänsteleverantör//NN|UTR|SIN|IND|NOM//nsubj//18 ska//VB|PRS|AKT//aux//18 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//18 lagra//VB|INF|AKT//parataxis//8 information//NN|UTR|SIN|IND|NOM//obj//18 om//PP//mark//23 hur//HA//advmod//23 fordonet//NN|NEU|SIN|DEF|NOM//nsubj:pass//23 används//VB|PRS|SFO//acl//19 på//PP//case//25 vägarna//NN|UTR|PLU|DEF|NOM//obl//23 och//KN//cc//27 rapportera//VB|INF|AKT//conj//23 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//29 information//NN|UTR|SIN|IND|NOM//obj//27 i//PP//case//32 sammanställd//PC|PRF|UTR|SIN|IND|NOM//amod//32 form//NN|UTR|SIN|IND|NOM//nmod//29 till//PP//case//34 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//nmod//32 .//MAD//punct//8
11.2.1 En övergripande beskrivning av systemet som helhet;En//DT|UTR|SIN|IND//det//37 gång//NN|UTR|SIN|IND|NOM//obj//43 per//PP//case//39 månad//NN|UTR|SIN|IND|NOM//nmod//37 ska//VB|PRS|AKT//aux//43 den//DT|UTR|SIN|DEF//det//42 skattskyldige//JJ|POS|MAS|SIN|DEF|NOM//nsubj//43 bekräfta//VB|INF|AKT//parataxis//8 eller//KN//cc//45 ändra//VB|INF|AKT//conj//43 de//DT|UTR/NEU|PLU|DEF//det//47 uppgifter//NN|UTR|PLU|IND|NOM//obj//45 som//HP|-|-|-//obj//51 tjänsteleverantören//NN|UTR|SIN|DEF|NOM//nsubj//51 har//VB|PRS|AKT//aux//51 rapporterat//VB|SUP|AKT//acl:relcl//47 till//PP//case//53 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//obl//51 .//MAD//punct//8
11.2.1 En övergripande beskrivning av systemet som helhet;Ruttbiljetter//NN|UTR|PLU|IND|NOM//nsubj:pass//56 föreslås//VB|PRS|SFO//parataxis//8 för//PP//case//58 sällananvändare//NN|UTR|PLU|IND|NOM//obl//56 och//KN//cc//61 tillfälliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 besökare//NN|UTR|PLU|IND|NOM//conj//58 .//MAD//punct//56
11.2.1 En övergripande beskrivning av systemet som helhet;Ansvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//65 kontrollerar//VB|PRS|AKT//conj//56 att//SN//mark//69 rätt//JJ|POS|UTR|SIN|IND|NOM//amod//68 skatt//NN|UTR|SIN|IND|NOM//nsubj:pass//69 tas//VB|PRS|SFO//ccomp//65 ut//PL//compound:prt//69 ,//MID//punct//75 bland//PP//advmod//75 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//72 genom//PP//case//75 kameraövervakning//NN|UTR|SIN|IND|NOM//obl//69 ,//MID//punct//77 vägkontroller//NN|UTR|PLU|IND|NOM//conj//75 och//KN//cc//80 vanliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 skattekontroller//NN|UTR|PLU|IND|NOM//conj//75 .//MAD//punct//56
11.2.1 En övergripande beskrivning av systemet som helhet;Vidare//AB|KOM//advmod//83 utövas//VB|PRS|SFO//conj//56 tillsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//83 över//PP//case//86 tjänsteleverantörerna//NN|UTR|PLU|DEF|NOM//obl//83 .//MAD//punct//56
11.2.1 En övergripande beskrivning av systemet som helhet;Med//PP//case//3 den//DT|UTR|SIN|DEF//det//3 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 skatten//NN|UTR|SIN|DEF|NOM//obl//4 införs//VB|PRS|SFO//ROOT//4 således//AB//advmod//4 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 skyldigheter//NN|UTR|PLU|IND|NOM//nsubj:pass//4 för//PP//case//9 åkarna//NN|UTR|PLU|DEF|NOM//obl//4 ,//MID//punct//15 men//KN//cc//15 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 ska//VB|PRS|AKT//aux//15 även//AB//advmod//15 framhållas//VB|INF|SFO//conj//4 att//SN//mark//19 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//18 förslag//NN|NEU|PLU|IND|NOM//nsubj//19 innebär//VB|PRS|AKT//ccomp//15 att//SN//mark//33 all//DT|UTR|SIN|IND/DEF//det//23 praktisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 hantering//NN|UTR|SIN|IND|NOM//nsubj:pass//33 av//PP//case//25 skatten//NN|UTR|SIN|DEF|NOM//nmod//23 –//RG|NOM//punct//28 från//PP//case//28 föranmälan//NN|UTR|SIN|IND|NOM//nmod//23 till//PP//case//30 betalning//NN|UTR|SIN|IND|NOM//nmod//28 –//RG|NOM//punct//23 kan//VB|PRS|AKT//aux//33 överlämnas//VB|INF|SFO//ccomp//19 till//PP//case//36 någon//DT|UTR|SIN|IND//det//36 annan//JJ|POS|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//4

11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;De//DT|UTR/NEU|PLU|DEF//det//1 skattskyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//3 ska//VB|PRS|AKT//aux//3 lämna//VB|INF|AKT//ROOT//3 uppgifter//NN|UTR|PLU|IND|NOM//obj//3 om//PP//case//7 sin//PS|UTR|SIN|DEF//nmod:poss//7 användning//NN|UTR|SIN|IND|NOM//obl//3 av//PP//case//9 vägarna//NN|UTR|PLU|DEF|NOM//nmod//7 och//KN//cc//14 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//14 är//VB|PRS|AKT//cop//14 dessa//DT|UTR/NEU|PLU|DEF//det//14 uppgifter//NN|UTR|PLU|IND|NOM//conj//7 som//HP|-|-|-//nsubj:pass//17 sedan//AB//advmod//17 läggs//VB|PRS|SFO//acl:relcl//14 till//PP//case//21 grund//NN|UTR|SIN|IND|NOM//fixed//18 för//PP//fixed//18 beslut//NN|NEU|SIN|IND|NOM//obl//17 om//PP//obl//17 och//KN//cc//24 debitering//NN|UTR|SIN|IND|NOM//conj//22 av//PP//case//26 skatt//NN|UTR|SIN|IND|NOM//nmod//24 .//MID//punct//3
