Ett steg vidare;–//PP//punct//2 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 regler//NN|UTR|PLU|IND|NOM//ROOT//2 och//KN//cc//4 åtgärder//NN|UTR|PLU|IND|NOM//conj//2 för//PP//mark//7 att//IE//mark//7 främja//VB|INF|AKT//acl//2 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//7 av//PP//case//10 handlingar//NN|UTR|PLU|IND|NOM//nmod//8
Ett steg vidare;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 PSI-utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Ett steg vidare;Stockholm//PM|NOM//ROOT//0 2014//RG|NOM//nummod//0

Till statsrådet Stefan Attefall;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 17//RG|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obj//1 2013//RG|NOM//nummod//4 att//IE//mark//7 bemyndiga//VB|INF|AKT//acl//4 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//9 Stefan//PM|NOM//obj//7 Attefall//PM|NOM//flat:name//9 att//IE//mark//12 tillkalla//VB|INF|AKT//xcomp//7 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 föreslå//VB|INF|AKT//advcl//12 de//DT|UTR/NEU|PLU|DEF//det//21 författningsändringar//NN|UTR|PLU|IND|NOM//obj//19 som//HP|-|-|-//nsubj:pass//23 behövs//VB|PRS|SFO//acl:relcl//21 för//PP//mark//26 att//IE//mark//26 genomföra//VB|INF|AKT//advcl//23 ändringarna//NN|UTR|PLU|DEF|NOM//obj//26 i//PP//case//33 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//32 och//KN//cc//31 rådets//NN|NEU|SIN|DEF|GEN//conj//29 direktiv//NN|NEU|PLU|IND|NOM//nmod//33 2003/98//RG|NOM//obl//26 ///MID//cc//35 EG//NN|AN//obl//26 om//PP//mark//37 vidareutnyttjande//NN|NEU|SIN|IND|NOM//advcl//26 av//PP//case//39 information//NN|UTR|SIN|IND|NOM//nmod//37 från//PP//case//43 den//DT|UTR|SIN|DEF//det//43 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 sektorn//NN|UTR|SIN|DEF|NOM//nmod//39 (//PAD//punct//45 PSIdirektivet//NN|NEU|SIN|DEF|NOM//appos//19 )//PAD//punct//45 .//MAD//punct//4
Till statsrådet Stefan Attefall;I//PP//case//49 uppdraget//NN|NEU|SIN|DEF|NOM//obl//50 ingick//VB|PRT|AKT//conj//1 också//AB//advmod//50 att//IE//mark//53 se//VB|INF|AKT//xcomp//50 över//PL//compound:prt//53 lagen//NN|UTR|SIN|DEF|NOM//obj//53 (//PAD//punct//57 2010:566//RG|NOM//conj//55 )//PAD//punct//57 om//PP//mark//60 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//53 av//PP//case//62 handlingar//NN|UTR|PLU|IND|NOM//nmod//60 från//PP//case//66 den//DT|UTR|SIN|DEF//det//66 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//66 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//62 i//PP//advmod//60 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//67 samt//KN//cc//71 att//IE//mark//71 föreslå//VB|INF|AKT//conj//60 åtgärder//NN|UTR|PLU|IND|NOM//obj//71 som//HP|-|-|-//nsubj//74 skapar//VB|PRS|AKT//acl:relcl//72 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//76 förutsättningar//NN|UTR|PLU|IND|NOM//obj//74 för//PP//case//78 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//74 av//PP//case//81 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//81 handlingar//NN|UTR|PLU|IND|NOM//nmod//78 (//PAD//punct//81 dir//NN|AN//appos//81 .//MAD//punct//50
Till statsrådet Stefan Attefall;2013:2//RG|NOM//obl//50 )//PAD//punct//50 .//MAD//punct//1
Till statsrådet Stefan Attefall;Den//DT|UTR|SIN|DEF//det//2 5//RO|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//obl//4 2013//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//7 Göran//PM|NOM//nsubj:pass//4 Gräslund//PM|NOM//flat:name//7 som//KN//mark//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//xcomp//4 .//MAD//punct//4
Till statsrådet Stefan Attefall;Den//DT|UTR|SIN|DEF//det//2 4//RO|NOM//nummod//2 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2013//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//8 utredningen//NN|UTR|SIN|DEF|NOM//nmod//6 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//10 Gustaf//PM|NOM//parataxis//4 Johnssén//PM|NOM//flat:name//10 ,//MID//punct//10 departementssekreterarna//NN|UTR|PLU|DEF|NOM//nmod//14 Anita//PM|NOM//appos//10 Stawarz//PM|NOM//flat:name//14 och//KN//cc//17 Eva//PM|NOM//conj//10 Stengård//PM|NOM//flat:name//17 ,//MID//punct//20 f.d.//JJ|AN//conj//4 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//22 Peder//PM|NOM//nsubj//20 Törnvall//PM|NOM//flat:name//22 och//KN//cc//26 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//26 Staffan//PM|NOM//conj//20 Wikell//PM|NOM//flat:name//26 .//MAD//punct//4
Till statsrådet Stefan Attefall;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 organisationsdirektören//NN|UTR|SIN|DEF|NOM//nmod//4 Michael//PM|NOM//nsubj:pass//2 Borchers//PM|NOM//flat//4 och//KN//cc//8 juristen//NN|UTR|SIN|DEF|NOM//nmod//8 Mikael//PM|NOM//conj//4 Vall//PM|NOM//flat//4 från//PP//case//15 och//KN//fixed//10 med//PP//fixed//10 den//DT|UTR|SIN|DEF//det//15 11//RG|NOM//nummod//15 februari//NN|UTR|SIN|IND|NOM//obl//2 2013//RG|NOM//nummod//15 .//MAD//punct//2
Till statsrådet Stefan Attefall;Juristen//NN|UTR|SIN|DEF|NOM//nmod//19 Martin//PM|NOM//nsubj:pass//21 Brinnen//PM|NOM//flat//19 förordnades//VB|PRT|SFO//parataxis//2 som//KN//case//23 sekreterare//NN|UTR|SIN|IND|NOM//obl//21 från//PP//case//29 och//KN//fixed//24 med//PP//fixed//24 den//DT|UTR|SIN|DEF//det//29 1//RO|NOM//nummod//29 mars//NN|UTR|SIN|IND|NOM//obl//21 2013//RG|NOM//nummod//29 .//MAD//punct//2
