Mutbrott;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 mutor//NN|UTR|PLU|IND|NOM//nmod//2
Mutbrott;Stockholm//PM|NOM//ROOT//0 2010//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obj//1 2009//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//15 bl.a.//AB|AN//advmod//15 se//VB|INF|AKT//advcl//7 över//PL//case//19 den//DT|UTR|SIN|DEF//det//19 straffrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19 regleringen//NN|UTR|SIN|DEF|NOM//obj//15 av//PP//case//22 brotten//NN|NEU|PLU|DEF|NOM//det//22 mutbrott//NN|NEU|SIN|IND|NOM//nmod//19 och//KN//cc//24 bestickning//NN|UTR|SIN|IND|NOM//conj//22 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 f.d.//JJ|AN//amod//5 justitierådet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 Bo//PM|NOM//acl//5 Svensson//PM|NOM//flat:name//6 .//MAD//punct//5
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//10 sekreterare//NN|UTR|SIN|IND|NOM//obl//11 anställdes//VB|PRT|SFO//parataxis//3 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//13 Henrik//PM|NOM//nsubj:pass//11 Karlsson//PM|NOM//flat:name//13 .//MAD//punct//11
Till statsrådet och chefen för Justitiedepartementet;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 medverkande//NN|UTR|PLU|IND|NOM//nsubj:pass//21 i//PP//case//20 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 arbete//NN|NEU|SIN|IND|NOM//nmod//17 anges//VB|PRS|SFO//parataxis//11 på//PP//case//24 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 sida//NN|UTR|SIN|IND|NOM//obl//21 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//13 ,//MID//punct//0 som//HP|-|-|-//nsubj//3 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//5 Utredningen//NN|UTR|SIN|DEF|NOM//obj//3 om//PP//case//7 mutor//NN|UTR|PLU|IND|NOM//nmod//5 (//PAD//punct//0 Ju//NN|AN//advmod//10 2009:05//RG|NOM//appos//0 )//PAD//punct//0 ,//MID//punct//0 överlämnar//VB|PRS|AKT//ROOT//13 härmed//AB//advmod//13 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//16 Mutbrott//NN|NEU|SIN|IND|NOM//obj//13  //_SP////16 (//PAD//punct//19 SOU//PM|NOM//appos//16 2010:38//RG|NOM//punct//19 )//PAD//punct//19 .//MAD//punct//13
Till statsrådet och chefen för Justitiedepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//26 är//VB|PRS|AKT//cop//26 härmed//AB//advmod//26 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//13 .//MAD//punct//13
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2010//RG|NOM//nummod//2
Till statsrådet och chefen för Justitiedepartementet;Bo//PM|NOM//compound//2 Svensson//PM|NOM//flat:name//0 /Henrik//RG|NOM//ROOT//2 Karlsson//PM|NOM//flat:name//2

Förteckning över deltagare i utredningen;Sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//0 (//PAD//punct//0 fr.o.m.//AB|AN//mark//10 den//DT|UTR|SIN|DEF//det//5 20//RG|NOM//nummod//5 maj//NN|UTR|SIN|IND|NOM//nmod//6 2009//RG|NOM//fixed//2 om//SN//mark//10 inte//AB//advmod//10 annat//PN|NEU|SIN|IND|SUB/OBJ//nsubj:pass//10 anges//VB|PRS|SFO//acl:relcl//0 )//PAD//punct//0
Förteckning över deltagare i utredningen;Jur.//NN|AN//amod//1 kand//NN|AN//nsubj//14 .//MID//punct//1
Förteckning över deltagare i utredningen;Kristina//PM|NOM//nmod//4 Ahlström//PM|NOM//conj//1 ,//MID//punct//4 Finansdepartementet//NN|NEU|SIN|DEF|NOM//compound//7 Ambassadören//NN|UTR|SIN|DEF|NOM//nmod//8 Birgitta//PM|NOM//conj//4 Nygren//PM|NOM//flat:name//8 ,//MID//punct//11 Utrikesdepartementet//NN|NEU|SIN|DEF|NOM//conj//1 Ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//13 Patrik//PM|NOM//conj//1 Örnsved//PM|NOM//ROOT//14 ,//MID//punct//16 Justitiedepartementet//PM|NOM//conj//14
Förteckning över deltagare i utredningen;Experter//NN|UTR|PLU|IND|NOM//ROOT//0 (//PAD//punct//0 fr.o.m.//AB|AN//mark//10 den//DT|UTR|SIN|DEF//det//5 20//RG|NOM//nummod//5 maj//NN|UTR|SIN|IND|NOM//nmod//6 2009//RG|NOM//fixed//2 om//SN//mark//10 inte//AB//advmod//10 annat//PN|NEU|SIN|IND|SUB/OBJ//nsubj:pass//10 anges//VB|PRS|SFO//acl:relcl//0 )//PAD//punct//0
Förteckning över deltagare i utredningen;Chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//1 Lars//PM|NOM//nmod:poss//5 Korsell//PM|NOM//flat:name//1 ,//MID//punct//4 Brottsförebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 rådet//NN|NEU|SIN|DEF|NOM//ROOT//5 (//PAD//punct//5 entledigad//PC|PRF|UTR|SIN|IND|NOM//parataxis//5 den//DT|UTR|SIN|DEF//det//10 7//RO|NOM//nummod//10 september//NN|UTR|SIN|IND|NOM//obl//7 2009//RG|NOM//nummod//10 )//PAD//punct//5
Förteckning över deltagare i utredningen;Advokaten//NN|UTR|SIN|DEF|NOM//nmod//1 Kristina//PM|NOM//ROOT//1 Leffler//PM|NOM//flat//1 ,//MID//punct//5 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 advokatsamfundet//NN|NEU|SIN|DEF|NOM//conj//1 Professorn//NN|UTR|SIN|DEF|NOM//nmod//7 Claes//PM|NOM//nmod//5 Sandgren//PM|NOM//flat:name//7 ,//MID//punct//10 Institutet//NN|NEU|SIN|DEF|NOM//conj//1 Mot//PP//case//12 Mutor//NN|UTR|SIN|IND|NOM//nmod//10
