
En kartläggning;Per//PM|NOM//ROOT//0 Andersson//PM|NOM//flat//0 och//KN//cc//3 Nils-Åke//PM|NOM//conj//1 Sjösten//PM|NOM//flat:name//3
Förord;Satsningen//NN|UTR|SIN|DEF|NOM//nsubj//150 skall//VB|PRS|AKT//aux//150 också//AB//advmod//150 bidra//VB|INF|AKT//conj//1 till//PP//mark//153 att//IE//mark//153 utveckla//VB|INF|AKT//advcl//150 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//155 former//NN|UTR|PLU|IND|NOM//obj//153 för//PP//mark//158 att//IE//mark//158 möta//VB|INF|AKT//advcl//153 vuxnas//JJ|POS|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//160 utbildningsbehov//NN|NEU|PLU|IND|NOM//obj//158 i//PP//case//162 framtiden//NN|UTR|SIN|DEF|NOM//obl//158 och//KN//cc//168 därmed//AB//advmod//166 efter//PP//case//166 femårsperioden//NN|UTR|SIN|DEF|NOM//obl//168 kunna//VB|INF|AKT//aux//168 resultera//VB|INF|AKT//conj//158 i//PP//case//172 en//DT|UTR|SIN|IND//det//172 reformerad//PC|PRF|UTR|SIN|IND|NOM//amod//172 vuxenutbildning//NN|UTR|SIN|IND|NOM//obl//168 .//MAD//punct//1
Förord;Den//DT|UTR|SIN|DEF//det//2 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 vuxenutbildningssatsningen//NN|UTR|SIN|DEF|NOM//nsubj//3 innebär//VB|PRS|AKT//ROOT//3 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 förutsättningar//NN|UTR|PLU|IND|NOM//obj//3 för//PP//case//8 Kunskapslyftskommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//8 arbete//NN|NEU|SIN|IND|NOM//nmod//5 .//MAD//punct//3
Förord;Enligt//PP//case//12 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//12 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//15 skall//VB|PRS|AKT//aux//15 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//15 följa//VB|INF|AKT//parataxis//3 den//DT|UTR|SIN|DEF//det//18 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//18 satsningen//NN|UTR|SIN|DEF|NOM//obj//15 på//PP//case//20 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//obl//15 .//MAD//punct//3
Förord;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//3 med//PP//case//24 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//22 är//VB|PRS|AKT//cop//22 att//IE//mark//27 ge//VB|INF|AKT//csubj//22 kommittén//NN|UTR|SIN|DEF|NOM//amod//30 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 erfarenheter//NN|UTR|PLU|IND|NOM//obj//27 för//PP//mark//34 att//IE//mark//34 kunna//VB|INF|AKT//aux//34 dra//VB|INF|AKT//advcl//27 slutsatser//NN|UTR|PLU|IND|NOM//obj//34 och//KN//cc//37 ge//VB|INF|AKT//conj//34 förslag//NN|NEU|SIN|IND|NOM//obj//37 till//PP//case//41 den//DT|UTR|SIN|DEF//det//41 reformering//NN|UTR|SIN|IND|NOM//nmod//38 av//PP//case//43 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//nmod//41 som//HP|-|-|-//nsubj//48 på//PP//case//46 2000-talet//NN|NEU|SIN|DEF|NOM//obl//48 skall//VB|PRS|AKT//aux//48 avlösa//VB|INF|AKT//acl:relcl//41 den//DT|UTR|SIN|DEF//det//51 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//51 satsningen//NN|UTR|SIN|DEF|NOM//obj//48 .//MAD//punct//3
Förord;Kunskapslyftskommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 lade//VB|PRT|AKT//ROOT//1 i//PP//case//3 början//NN|UTR|SIN|DEF|NOM//obl//1 av//PP//case//6 år//NN|NEU|SIN|IND|NOM//nmod//6 1997//RG|NOM//nmod//3 fram//PL//advmod//1 en//DT|UTR|SIN|IND//det//9 sammanställning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//11 svaren//NN|NEU|PLU|DEF|NOM//nmod//9 från//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 enkäter//NN|UTR|PLU|IND|NOM//nmod//11 som//HP|-|-|-//obj//17 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//17 tillställt//VB|SUP|AKT//acl:relcl//14 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 vuxenutbildare//NN|UTR|PLU|IND|NOM//obj//17 .//MAD//punct//19
Förord;Rapporten//NN|UTR|SIN|DEF|NOM//appos//19 –//PM|NOM//punct//23 Vuxenutbildare//NN|UTR|PLU|IND|NOM//nsubj//24 ser//VB|PRS|AKT//conj//1 på//PP//case//26 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//24 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//26  //_SP////27 (//PAD//punct//24 SOU//PM|NOM//nmod//31 1996:188//RG|NOM//appos//24 )//PAD//punct//24 –//RG|NOM//punct//1 har//VB|PRS|AKT//aux//36 förhoppningsvis//AB//advmod//36 stimulerat//VB|SUP|AKT//conj//1 till//PP//case//42 fördjupade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//42 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 och//KN//cc//41 pedagogiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//39 diskussioner//NN|UTR|PLU|IND|NOM//obl//36 hos//PP//case//45 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 vuxenutbildare//NN|UTR|PLU|IND|NOM//nmod//42 och//KN//cc//47 inspirerat//VB|SUP|AKT//conj//36 till//PP//case//49 utveckling//NN|UTR|SIN|IND|NOM//obl//47 av//PP//case//51 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//49 ,//MID//punct//59 speciellt//AB|POS//advmod//59 inför//PP//case//59 och//KN//fixed//54 under//PP//case//59 den//DT|UTR|SIN|DEF//det//59 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//59 vuxenutbildningssatsningen//NN|UTR|SIN|DEF|NOM//obl//36 .//MAD//punct//1
Förord;Som//KN//case//3 ett//DT|NEU|SIN|IND//det//3 fortsatt//PC|PRF|NEU|SIN|IND|NOM//amod//3 stöd//NN|NEU|SIN|IND|NOM//nsubj:pass//10 i//PP//case//5 arbetet//NN|NEU|SIN|DEF|NOM//nmod//3 med//PP//mark//8 att//IE//mark//8 utveckla//VB|INF|AKT//acl//3 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//obj//8 redovisas//VB|INF|SFO//ROOT//10 nu//AB//advmod//10 Vuxenpedagogik//NN|UTR|SIN|IND|NOM//nsubj:pass//10 i//PP//case//14 Sverige//PM|NOM//obl//10 –//RG|NOM//punct//16 Forskning//NN|UTR|SIN|IND|NOM//appos//10 ,//MID//punct//18 utbildning//NN|UTR|SIN|IND|NOM//conj//16 ,//MID//punct//20 utveckling//NN|UTR|SIN|IND|NOM//conj//16  //_SP////20 (//PAD//punct//16 SOU//PM|NOM//nmod//24 1997:120//RG|NOM//appos//16 )//PAD//punct//16 .//MAD//punct//10
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//30 är//VB|PRS|AKT//cop//30 en//DT|UTR|SIN|IND//det//30 kartläggning//NN|UTR|SIN|IND|NOM//parataxis//10 som//HP|-|-|-//nsubj:pass//35 på//PP//case//34 Kunskapslyftskommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//34 uppdrag//NN|NEU|SIN|IND|NOM//obl//35 genomförts//VB|SUP|SFO//acl:relcl//30 av//PP//case//37 Per//PM|NOM//obl:agent//35 Andersson//PM|NOM//flat//37 och//KN//cc//40 Nils-Ake//PM|NOM//conj//37 Sjösten//PM|NOM//flat//37 vid//PP//case//44 Linköpings//PM|GEN//nmod:poss//44 universitet//NN|NEU|SIN|IND|NOM//nmod//37 ,//MID//punct//46 institutionen//NN|UTR|SIN|DEF|NOM//conj//37 för//PP//case//48 pedagogik//NN|UTR|SIN|IND|NOM//nmod//46 och//KN//cc//50 psykologi//NN|UTR|SIN|IND|NOM//conj//48 .//MAD//punct//30
Förord;Per//PM|NOM//nsubj//8 Andersson//PM|NOM//flat//0 ,//MID//punct//3 doktorand//NN|UTR|SIN|IND|NOM//conj//0 i//PP//case//5 pedagogik//NN|UTR|SIN|IND|NOM//nmod//3 ,//MID//punct//0 har//VB|PRS|AKT//aux//8 samordnat//VB|SUP|AKT//ROOT//8 och//KN//cc//10 administrerat//VB|SUP|AKT//conj//8 projektet//NN|NEU|SIN|DEF|NOM//obj//8 .//MID//punct//8
Förord;Han//PN|UTR|SIN|DEF|SUB//nsubj//15 har//VB|PRS|AKT//aux//15 sammanställt//VB|SUP|AKT//conj//8 materialet//NN|NEU|SIN|DEF|NOM//obj//15 och//KN//cc//18 svarat//VB|SUP|AKT//conj//15 för//PP//case//20 huvuddelen//NN|UTR|SIN|DEF|NOM//obl//18 av//PP//case//23 rapportens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 del//NN|UTR|SIN|IND|NOM//nmod//20 I//RG|NOM//nmod//20 ,//MID//punct//29 där//HA//advmod//29 han//PN|UTR|SIN|DEF|SUB//nsubj//29 ensam//JJ|POS|UTR|SIN|IND|NOM//advmod//29 svarat//VB|SUP|AKT//advcl//15 för//PP//case//31 kartläggning//NN|UTR|SIN|IND|NOM//obl//29 av//PP//case//33 utbildning//NN|UTR|SIN|IND|NOM//nmod//31 m.m.//AB|AN//conj//31
Förord;Nils//PM|NOM//nmod//6 Åke//PM|NOM//flat:name//0 Sjösten//PM|NOM//flat:name//0 ,//MID//punct//4 fil//NN|AN//conj//0 .//MAD//punct//0
Förord;dr//NN|AN//nsubj//12 .//MAD//punct//6
Förord;i//PP//case//9 pedagogik//NN|UTR|SIN|IND|NOM//nmod//6 ,//MID//punct//6 har//VB|PRS|AKT//aux//12 fungerat//VB|SUP|AKT//ROOT//12 som//KN//mark//14 medarbetare//NN|UTR|PLU|IND|NOM//obl//12 i//PP//case//16 projektet//NN|NEU|SIN|DEF|NOM//nmod//14 .//MID//punct//12
Förord;Andersson//PM|NOM//nsubj//23 och//KN//cc//20 Sjösten//PM|NOM//conj//18 har//VB|PRS|AKT//aux//23 tillsammans//AB//advmod//23 svarat//VB|SUP|AKT//conj//12 för//PP//case//25 materialet//NN|NEU|SIN|DEF|NOM//obl//23 i//PP//case//29 rapportens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 del//NN|UTR|SIN|IND|NOM//nmod//29 II//RG|NOM//nmod//25 och//KN//cc//31 III//RG|NOM//conj//29 .//MAD//punct//12
Förord;Projektet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 letts//VB|SUP|SFO//ROOT//2 av//PP//case//5 Kunskapslyftskommitténs//PM|GEN//nmod:poss//5 sekretariat//NN|NEU|PLU|IND|NOM//obl//2 genom//PP//case//8 Thorbjörn//PM|NOM//nmod:poss//8 Levin//PM|NOM//nmod//5 .//MAD//punct//2
Förord;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//5 med//PP//case//3 denna//DT|UTR|SIN|DEF//det//3 rapport//NN|UTR|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//5 tvådelat//PC|PRF|NEU|SIN|IND|NOM//ROOT//5 .//MAD//punct//5
Förord;Genom//PP//mark//9 att//IE//mark//9 få//VB|INF|AKT//advcl//15 en//DT|UTR|SIN|IND//det//12 bred//JJ|POS|UTR|SIN|IND|NOM//amod//12 kartläggning//NN|UTR|SIN|IND|NOM//obj//9 inom//PP//case//14 området//NN|NEU|SIN|DEF|NOM//obl//9 får//VB|PRS|AKT//parataxis//5 Kunskapslyftskommittén//NN|UTR|SIN|DEF|NOM//nsubj//15 för//PP//case//19 det//DT|NEU|SIN|DEF//det//19 första//RO|NOM//obl//15 ett//DT|NEU|SIN|IND//det//22 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 underlag//NN|NEU|SIN|IND|NOM//obj//15 för//PP//case//25 fortsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 diskussioner//NN|UTR|PLU|IND|NOM//nmod//22 inom//PP//case//27 kommittén//NN|UTR|SIN|DEF|NOM//nmod//25 och//KN//cc//31 för//PP//case//31 kommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 ställningstaganden//NN|NEU|PLU|IND|NOM//conj//27 då//HA//case//36 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//32 gäller//VB|PRS|AKT//fixed//32 pedagogisk//JJ|POS|UTR|SIN|IND|NOM//amod//36 utveckling//NN|UTR|SIN|IND|NOM//obl//15 .//MAD//punct//15
Förord;Genom//PP//mark//40 att//IE//mark//40 sprida//VB|INF|AKT//advcl//42 rapporten//NN|UTR|SIN|DEF|NOM//obj//40 hoppas//VB|PRS|SFO//parataxis//15 kommittén//NN|UTR|SIN|DEF|NOM//obj//42 också//AB//advmod//46 kunna//VB|INF|AKT//aux//46 ge//VB|INF|AKT//advcl//42 vuxenutbildare//NN|UTR|PLU|IND|NOM//amod//49 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 kunskap//NN|UTR|SIN|IND|NOM//obj//46 om//PP//case//52 vuxenpedagogisk//JJ|POS|UTR|SIN|IND|NOM//amod//52 forskning//NN|UTR|SIN|IND|NOM//nmod//49 och//KN//cc//54 utbildning//NN|UTR|SIN|IND|NOM//conj//52 så//SN//mark//62 att//SN//fixed//55 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//62 i//PP//case//60 sin//PS|UTR|SIN|DEF//fixed//58 tur//NN|UTR|SIN|IND|NOM//obl//62 skall//VB|PRS|AKT//aux//62 få//VB|INF|AKT//advcl//46 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//64 förutsättningar//NN|UTR|PLU|IND|NOM//obj//62 för//PP//mark//67 att//IE//mark//67 utveckla//VB|INF|AKT//advcl//62 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//obj//67 ,//MID//punct//42 speciellt//AB|POS//advmod//74 under//PP//case//74 den//DT|UTR|SIN|DEF//det//74 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//74 vuxenutbildningssatsningen//NN|UTR|SIN|DEF|NOM//obl//42 .//MAD//punct//5
Förord;För//PP//case//1 ordningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 skull//NN|UTR|SIN|IND|NOM//obl//4 bör//VB|PRS|AKT//aux//4 påpekas//VB|INF|SFO//ROOT//4 att//SN//mark//12 Kunskapslyftskommittén//NN|UTR|SIN|DEF|NOM//nsubj//12 genom//PP//mark//9 att//IE//mark//9 publicera//VB|INF|AKT//acl//6 rapporten//NN|UTR|SIN|DEF|NOM//obj//9 inte//AB//advmod//12 tar//VB|PRS|AKT//dep//4 något//DT|NEU|SIN|IND//det//14 ansvar//NN|NEU|SIN|IND|NOM//obj//12 för//PP//case//16 innehållet//NN|NEU|SIN|DEF|NOM//obl//12 i//PP//case//20 den//DT|UTR|SIN|DEF//det//20 gjorda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//20 kartläggningen//NN|UTR|SIN|DEF|NOM//nmod//16 .//MAD//punct//4
